"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261110476/0/60/45/93fbee2a65fc218e13b80ae4d5dff180/15/bac9e4adf03ad7eb820e4b77cb879853/261110476.JPG","F1417109","Residential Detached","S","75 7790 KING GEORGE BOULEVARD","East Newton","24","2","1975","0.00","Manufactured","Surrey","900-571-806","V3W 5Y4","0.00",,,"$7,500","0.50","$9.19","8/1/2014","Manufactured","1","MHP","$14,900"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260542015/0/60/45/cb8fa7d59827bc2f057e3d120195e0ad/13/c68c417df60e44ad74d94db09accaee5/260542015.JPG","N231093","Land Only","S","LOT 26 CAVERLY ROAD","Lac la Hache","335",,,"0.00",,"100 Mile House (Zone 10)","008-148-783","V0K 1T1","267.00","Road Access","Other","$11,000","0.92",,"8/5/2014","Other",,"R1","$11,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260844385/0/60/45/73fc67ccd4333d77199794d9bb89c71e/13/fd2bfeba565bb7662d92c20b3fd45074/260844385.JPG","N234072","Land Only","S","LOT 94 JULSRUD ROAD","Deka/Sulphurous/Hathaway Lakes","143",,,"0.00",,"100 Mile House (Zone 10)","002-668-505","V0K 1X0","0.00","Allowed Access","Recreational","$20,000","1.00",,"8/7/2014","Recreational",,"R-1","$20,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261168093/0/60/45/cc2f1612eaeb6a7e560ad86116968ecc/13/0060929fde4b98eae0dd1fbe7fdd9e4d/261168093.JPG","N238692","Residential Detached","S","35 4619 QUEENSWAY DRIVE","Thornhill","7","2","1978","0.00","Manufactured","Terrace (Zone 88)","800-088-017","V8G 3X5","0.00",,,"$20,000","1.00","$15.87","8/7/2014","Manufactured","2","MHP","$20,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260876245/0/60/45/e1a77846c672fa9459a8e4e92cc7e2da/15/73743984f7ca5ad712e52c8f4b4f5c98/260876245.JPG","F1407620","Residential Detached","S","63 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","117","3","1976","0.00","Manufactured","Surrey","900-566-157","V3W 6E1","0.00",,,"$30,000","0.92","$30.00","7/30/2014","Manufactured","1","MHP","$32,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260970604/0/60/45/689fe9682e68cf431fc646beb477d1a7/13/b0251badc793b44b438cd693e9102697/260970604.JPG","N235757","Residential Detached","S","5 2155 E COMMODORE CRESCENT","Williams Lake - Rural North","88","3","1973","0.00","Manufactured","Williams Lake (Zone 27)","800-085-875","V2G 5E1",,,,"$38,000","0.96","$36.96","8/4/2014","Manufactured","1","MHP","$39,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261052291/0/60/45/6e1ecf542ebd73587a6f76cbaee0b97a/15/7c7ccd19dc5505368bc7237a959bf4ec/261052291.JPG","F1414763","Residential Detached","S","40 9080 198 STREET","Walnut Grove","50","2","1968","0.00","Manufactured","Langley","900-571-452","V1M 3A8","0.00",,,"$38,500","0.91","$33.77","7/31/2014","Manufactured","1","MH-1","$42,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260948527/0/60/45/09cf939b8c39db96dc83373d2090e032/14/a9da0b63f21725946c64cd9bb1f2c1c6/260948527.JPG","H1401752","Residential Detached","S","2 10225 BEAVER DRIVE","Rosedale Popkum","98","2","1969","0.00","Manufactured","Rosedale","700-006-873","V0X 1X1","0.00",,,"$39,900","1.00","$42.90","8/7/2014","Manufactured","1","RMH","$39,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261127998/0/60/45/7965c95438f846182710a9f1141ab2a9/13/aa687b66c2beccf5f5630a17956b38fc/261127998.JPG","N238160","Residential Detached","S","1850 BALSAM CRESCENT","Masset","26","4","9999","3,595.00","House/Single Family","Prince Rupert (Zone 52)","024-086-037","V0T 1M0","40.30",,,"$44,000","0.75","$37.93","8/6/2014","House/Single Family","2","R1","$58,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261021649/0/60/45/4438f57267608c8998fc3d3fdf7d6e3a/15/b95dcebe796c72871fbacbc3ada40400/261021649.JPG","F1413540","Residential Detached","S","46 3031 200TH STREET","Brookswood Langley","64","2","1977","0.00","Manufactured","Langley","900-571-291","V2Z 1N6","0.00",,,"$44,000","0.88","$43.18","7/30/2014","Manufactured","1","MHP","$49,900"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260893888/0/60/45/202f5a0dea19ab61c6047a68eac5206a/15/2067aba62e5e20e669fbab69018d9b6c/260893888.JPG","F1408386","Residential Detached","S","41 15820 FRASER HIGHWAY","Fleetwood Tynehead","118","2","1977","0.00","Manufactured","Surrey","900-570-730","V4N 0Y0","0.00",,,"$45,000","0.95","$50.00","8/3/2014","Manufactured","1","MHP","$47,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261100269/0/60/45/e99b398f88ab85c9dbba201bdbcf1a79/15/28d1ebad77919d18a0e507ced857b00e/261100269.JPG","F1416698","Residential Detached","S","61 15820 FRASER HIGHWAY","Fleetwood Tynehead","30","2","1973","0.00","Manufactured","Surrey","900-571-743","V3S 2W5",,,,"$47,000","0.94","$57.60","8/1/2014","Manufactured","1","MHP","$49,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260463006/0/60/45/03b1760c65d58f0ad48ac59a96aeb54e/13/c1cbf4ff4f49c364f0f306a499aeda82/260463006.JPG","N230137","Land Only","S","LOT 21 CLEARVIEW ROAD","Fraser Lake","357",,,"0.00",,"Vanderhoof And Area (Zone 56)","006-027-016","V0J 1S0","0.00","Road Access","House/Single Family","$49,900","0.83",,"8/1/2014","House/Single Family",,"R4","$59,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260854899/0/60/45/56c5b9a32a589bb2e5a4798e736b3e6d/13/320b45e9b260dd6137f56a2c25f5d8ac/260854899.JPG","N234178","Land Only","S","440 PROCTOR STREET","Williams Lake - City","134",,,"0.00",,"Williams Lake (Zone 27)","013-572-385","V2G 1S2","66.00","Allowed Access","Duplex","$50,000","0.63",,"7/31/2014","Duplex",,"R2","$79,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260923358/0/60/45/e6f8f4c3f081726c7641e035e59bf240/14/ab5d91dd873bf66d7900cd8488bc958e/260923358.JPG","H1401581","Residential Detached","S","22 6900 INKMAN ROAD","Agassiz","108","2","1990","0.00","Manufactured","Agassiz","700-000-300","V0M 1A1","0.00",,,"$51,500","0.98","$50.34","8/4/2014","Manufactured","1","RH","$52,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261143787/0/60/45/086671f58f87983cb75c3a9e46d27be0/13/ee33bf660f9d9ab25201a0d0bbcf5073/261143787.JPG","N238347","Residential Detached","S","575 ROYAL STREET","Fort Fraser","18","3","1970","8,052.00","Manufactured with Land","Vanderhoof And Area (Zone 56)","014-167-913","V0J 1N0","0.00",,,"$54,000","0.95","$43.83","8/8/2014","Manufactured with Land","1","R1","$57,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","F1419404","Residential Detached","S","54 1840 160 STREET","King George Corridor","8","2","1990","0.00","Manufactured","South Surrey White Rock","900-572-163","V4A 4X4","0.00",,,"$54,000","0.92","$40.75","8/8/2014","Manufactured","2","MHP","$58,900"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256726998/0/60/45/291dd33dd1095b9c97e5841ed164fd10/16/1640c78fc97ecba7f0725cb134e6d682/256726998.JPG","V732898","Land Only","S","548 AYA REACH ROAD","Mayne Island","2151",,,"16,988.00",,"Islands-Van. & Gulf","003-042-952","V6N 2J0","81.00","Road Access","House/Single Family","$58,000","0.84","$3.41","8/1/2014","House/Single Family",,"S/R","$69,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261116169/0/60/45/5b265f52da9578878fb20cc3ea6b407a/14/11d9dd1ac163809ee3169ddc8f149de3/261116169.JPG","H1402919","Residential Attached","S","338 1783 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","24","2","1975","0.00","Apartment/Condo","Agassiz","023-570-156","V0M 1A0",,,,"$62,000","0.94","$73.72","7/31/2014","Apartment/Condo","1","RM2","$65,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260765192/0/60/45/f4cdc7ef7fd3c752c3dcf2b04946a2bf/13/89ef0376c9c2d3ea816e2dc3c61cf81b/260765192.JPG","N233194","Residential Detached","S","1154 3RD AVENUE","McBride - Town","191","2","9999","8,676.00","House/Single Family","Robson Valley (Zone 81)","013-917-161","V0J 2E0","0.00",,,"$64,000","0.87","$74.07","8/6/2014","House/Single Family","1","R2","$73,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261100935/0/60/45/848672cbe4253db23a2aa9b760c25506/15/0fe0aada846514afac4276b524fb2483/261100935.JPG","F1416739","Land Only","S","297 8400 SHOOK ROAD","Hatzic","32",,,"1,890.00",,"Mission","900-571-752","V2V 7N1","35.00","Road Access","Recreational","$65,000","0.93","$34.39","8/1/2014","Recreational",,"REC","$69,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260240841/0/60/45/06a82aed4525da95f8ce10a7955e9d7b/13/196e43e1f7f10a0eefaed79c34208091/260240841.JPG","N226951","Land Only","S","7066 POWELL ROAD","Bridge Lake/Sheridan Lake","453",,,"0.00",,"100 Mile House (Zone 10)","007-615-388","V0K 1X1","159.97","Road Access","House/Single Family","$66,250","0.96",,"7/30/2014","House/Single Family",,"R1","$69,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261103829/0/60/45/82c0948a247a7ff07768fd5df2f0efdb/13/165ed066e59b3371b7d1c3920359f0e7/261103829.JPG","N237787","Residential Detached","S","2731 GUNN ROAD","Airport","43","3","9999","9,900.00","House/Single Family","PG City South East (Zone 75)","006-976-573","V2N 2H8","75.00",,,"$67,500","0.90","$38.79","8/6/2014","House/Single Family","2","AF","$75,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261103741/0/60/45/0c658485f54fe90ae6390704ca7a2fe6/13/eac39681d77b849007b0c24dc94dfbea/261103741.JPG","N237786","Residential Detached","S","2739 GUNN ROAD","Airport","43","3","9999","0.00","House/Single Family","PG City South East (Zone 75)","003-701-972","V2N 2H8","0.00",,,"$67,500","0.90","$93.75","8/6/2014","House/Single Family","1","AF","$75,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261113672/0/60/45/12c14f8f54d97569f292c562b3e339dc/15/e355f94d7a54e990f66d3d727e32d5ad/261113672.JPG","F1417244","Residential Detached","S","150 1840 160 STREET","King George Corridor","28","2","1973","0.00","Manufactured","South Surrey White Rock","900-571-887","V4A 4X4",,,,"$75,000","0.94","$89.18","8/4/2014","Manufactured","1","MHP","$79,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261048224/0/60/45/7b44d8410dc02ccded6d5f444ce3b16e/16/7d7a6c2eb89cb69b64acb7279895ae73/261048224.JPG","F1414624","Residential Detached","S","50 9960 WILSON STREET","Stave Falls","53","3","1974","0.00","Manufactured","Mission","900-571-421","V4S 1B3","0.00",,,"$75,000","0.79","$78.13","8/1/2014","Manufactured","1","MHP","$95,500"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261165042/0/60/45/582a075a6c3019badc29218ecfcfccce/13/a6b6e4c2c1dee2b8a79c6b10b67b330b/261165042.JPG","N238637","Residential Attached","S","312 625 REID STREET","Quesnel - Town","9","2","1988","0.00","Apartment/Condo","Quesnel (Zone 28)","004-472-519","V2J 2N2",,,,"$75,000","0.89","$102.88","8/6/2014","Apartment/Condo","1","RM3","$84,700"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261178118/0/60/45/bb367477d9fc57e8a78d18a6e376d6ad/13/265844a50ffcac057c3d2d6971497bff/261178118.JPG","N238840","Land Only","S","8507 74TH STREET","Fort St. John - City SE","0",,,"0.00",,"Fort St. John (Zone 60)","010-771-786","V1J 2V5","49.15","Road Access",,"$80,000","1.00",,"7/31/2014","Other",,"R2","$80,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261098801/0/60/45/dbc3677d11472274a8983b79e7379bb8/15/4419942f7dd20eda8f22b2da4ca61f5f/261098801.JPG","F1416643","Land Only","S","22 WILSON ROAD","FVREB Out of Town","40",,,"13,068.00",,"FVREB Out of Town","004-376-056","V0H 1E2","60.00","Road Access",,"$80,000","0.95","$6.12","8/5/2014","Other",,"R1","$84,200"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260348481/0/60/45/4ad82c9f63303ba9001f5bc150403a9f/13/ec0d85383def5a995a349e11674a8390/260348481.JPG","N228622","Residential Detached","S","4772 MONEEYAW ROAD","108 Ranch","410","3","1976","0.00","Manufactured with Land","100 Mile House (Zone 10)","007-873-824","V0K 2Z0","110.45",,,"$80,000","0.87","$60.29","8/3/2014","Manufactured with Land","2","R1-1","$92,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261168066/0/60/45/e58c774b05be2815a05fe92c2f382213/13/a577ba4c5d0c249b8f476270a58922bb/261168066.JPG","N238690","Residential Detached","S","4405 KALUM LAKE ROAD","Terrace - Northwest/Rosswood","6","2","9999","0.00","House with Acreage","Terrace (Zone 88)","009-979-760","V8G 0G8","0.00",,,"$80,000","1.00","$72.73","8/6/2014","House with Acreage","1","R1","$79,900"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261054987/0/60/45/49626e558b794b1008ea49b77a91db39/13/0b3665dc68440f6a3088b3b9830200f9/261054987.JPG","N237047","Residential Detached","S","117 OSPREY ROAD","Fort St. James - Rural","54","3","9999","0.00","House with Acreage","Fort St. James (Zone 57)","009-678-387","V0J 1P0","0.00",,,"$85,000","0.96","$78.13","8/2/2014","House with Acreage","1","R-1","$89,000"
