"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260607667/0/60/45/46f2466ab4e4b6a0a0f5ad7c916abebd/14/0b1a468d135b69e92a787b4cc35654af/260607667.JPG","H1304043","Residential Detached","S","9 44565 MONTE VISTA DRIVE","Vedder S Watson-Promontory","112","2","1976","0.00","Manufactured","Sardis","700-008-789","V2R 5Y4","0.00",,,"$18,750","0.75","$18.75","2/8/2014","Manufactured","1","RMH","$24,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260342080/0/60/45/322787d6cadce7f3d89af65c9f4b15ed/13/4895761c4687ea253bf822edaa322189/260342080.JPG","N228497","Residential Attached","S","2016 HEMLOCK CRESCENT","Masset","236","4","9999","5,845.00","1/2 Duplex","Prince Rupert (Zone 52)","024-082-694","V0T 1M0","0.00",,,"$21,300","1.07","$11.87","2/4/2014","1/2 Duplex","2","R1","$20,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260690420/0/60/45/2fa511fbb1b8c822a0f81d007da70510/16/3dbccdaab1d7c430facaee914b18f292/260690420.JPG","V1039022","Residential Attached","S","617 4295 BLACKCOMB WAY","Whistler Village","61","0","1995","0.00","Apartment/Condo","Whistler","019-193-653","V0N 1B4",,,,"$32,000","0.65","$100.00","2/12/2014","Apartment/Condo","1","TA8","$49,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260087747/0/60/45/3e44a34874b81b27037b864e24602b7b/13/71086dea067e985584037801d01519a8/260087747.JPG","N225032","Residential Detached","S","1507 E 8TH AVENUE","Prince Rupert - City","351","2","1947","4,160.00","House/Single Family","Prince Rupert (Zone 52)","009-245-022","V8J 2N9","41.60",,,"$34,000","0.86","$47.22","2/12/2014","House/Single Family","1","R2","$39,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260298292/0/60/45/027991d3dfcea470469ad910f3a99817/13/611e5aecf5379e3a47f4dc0c2b39965c/260298292.JPG","N227874","Residential Detached","S","27 3614 KALUM STREET","Terrace - City","253","2","1971","0.00","Manufactured","Terrace (Zone 88)","800-076-966","V8G 4E2","0.00",,,"$34,900","1.00","$42.67","2/4/2014","Manufactured","1","MHP","$34,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260230148/0/60/45/e9e12f1029889016b96c025ff51efdd3/13/47fb43f88cb85d12d4198903f08427c8/260230148.JPG","N226784","Residential Detached","S","6572 WUTKE ROAD","100 Mile House - Rural","287","1","9999","0.00","House/Single Family","100 Mile House (Zone 10)","013-498-100","V0K 2E0","0.00",,,"$35,000","0.88","$27.87","2/6/2014","House/Single Family","2","R2","$39,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260693708/0/60/45/e89a325db38bcfce44417dda5bcd66f6/16/af91ad2204c33ae0250622f05d158d4d/260693708.JPG","V1039230","Residential Detached","S","1 39768 GOVERNMENT ROAD","Northyards","58","3","1969","0.00","Manufactured","Squamish","800-082-465","V8B 1A0","0.00",,,"$38,400","0.79","$43.84","2/12/2014","Manufactured","1","RMH-1","$48,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260459932/0/60/45/59af367b012da05f5b9ecda83f6d6a6d/16/6e4f156212f7d7a68fb2ca94db26fed9/260459932.JPG","V1022034","Land Only","S","533 WAUGH ROAD","Mayne Island","187",,,"0.00",,"Islands-Van. & Gulf","003-241-637","V0N 2J1","80.00","Road Access","House/Single Family","$40,000","0.80",,"2/12/2014","House/Single Family",,"SR","$49,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259329322/0/60/45/ac1b44037af770fb0ae51045d8c44837/13/efd591d70d2dceea46c782b3f9185241/259329322.JPG","N216589","Residential Detached","S","84 HAYS VALE DRIVE","Prince Rupert - City","692","2","1973","6,077.00","Manufactured with Land","Prince Rupert (Zone 52)","012-980-960","V8J 3Z1","100.00",,,"$45,000","0.92","$48.70","2/5/2014","Manufactured with Land","1","RMH","$49,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260778300/0/60/45/0200a34977fff457e7acd124c1857c51/15/50ae28c4272f33c6fbbae3773a1dc6e5/260778300.JPG","F1403510","Residential Detached","S","24 41168 LOUGHEED HIGHWAY","Dewdney Deroche","6","2","1998","0.00","Manufactured","Mission","900-570-086","V0M 1G0",,,,"$47,000","0.94","$50.87","2/13/2014","Manufactured","2","MHP","$49,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260727927/0/60/45/dffcea923bb4098b37c3275219668e0c/16/2864bd4a2037c7aab91bad9f4de613a2/260727927.JPG","V1042450","Residential Detached","S","262 201 CAYER STREET","Maillardville","27","2","9999","0.00","Manufactured","Coquitlam","800-082-984","V3K 2X8","0.00",,,"$50,000","0.91","$43.48","2/10/2014","Manufactured","2","MHP","$55,000"
