"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261083822/0/60/45/1059121248d00e6653e3ec4c98084fe3/15/502688602006ece5196fc7d4eb65d96e/261083822.JPG","F1415953","Residential Detached","S","104 1840 160 STREET","King George Corridor","18","2","1974","0.00","Manufactured","South Surrey White Rock","900-571-614","V4A 4X4",,,,"$13,500","0.73","$13.95","7/7/2014","Manufactured","1","MHP","$18,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260708140/0/60/45/7316f451557a90f014997648906e28cb/13/4365dc0b2ceba4df52507ab3981f13b1/260708140.JPG","N232697","Land Only","S","2900 HART HIGHWAY","Hart Highway","190",,,"0.00",,"PG City North (Zone 73)","013-307-983","V2K 5Z1","0.00","Water Access","House/Single Family","$20,000","0.33",,"7/12/2014","House/Single Family",,"RS2M","$59,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260886425/0/60/45/e770ad8d0efc80aeabb0d64f43d11287/15/ff0058aa36d89cfe8a6f3e959a856f7b/260886425.JPG","H1401280","Residential Detached","S","12 6900 INKMAN ROAD","Agassiz","93","2","1973","0.00","Manufactured","Agassiz","700-004-084","V0M 1A1","0.00",,,"$24,300","0.90","$24.57","7/5/2014","Manufactured","1","MHR","$27,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260895376/0/60/45/ac88f36585458dde7d1ff4b6bd66bc72/15/a90a1231882ac0d61725137f9c463e2b/260895376.JPG","F1408457","Residential Detached","S","17 41168 LOUGHEED HIGHWAY","Dewdney Deroche","100","2","1996","0.00","Manufactured","Mission","900-570-728","V0M 1G0","0.00",,,"$27,000","0.93","$29.22","7/9/2014","Manufactured","1","MHP","$29,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261090464/0/60/45/2eb7e083bf48d551cb449a49f36fd47e/13/5c025fe19a76b014a23c3afd97542a89/261090464.JPG","N237585","Residential Detached","S","7607 MICA PLACE","Deka/Sulphurous/Hathaway Lakes","11","2","9999","0.00","House/Single Family","100 Mile House (Zone 10)","008-323-399","V0K 1X3","0.00",,,"$31,500","0.63","$40.38","7/7/2014","House/Single Family","1","R1","$50,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260696971/0/60/45/53dad541e2522e4c7d12a1ae9e25b11b/16/d58788d45e939906d706c8a74da73980/260696971.JPG","V1039444","Residential Detached","S","4 39768 GOVERNMENT ROAD","Northyards","199","3","1976","0.00","Manufactured","Squamish","800-082-525","V0N 1T0","0.00",,,"$33,000","0.83","$33.50","7/7/2014","Manufactured","1","RMH-1","$40,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261021981/0/60/45/5717437db779b26e580e5d7988fad5f9/16/37be233c4cdd55e28d6997fb68cce7fd/261021981.JPG","V1067617","Residential Detached","S","73 40157 GOVERNMENT ROAD","Garibaldi Estates","43","2","1964","0.00","Manufactured","Squamish","800-086-376","V0N 3G0","0.00",,,"$34,500","0.95","$32.09","7/10/2014","Manufactured","1","MHP","$36,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261103615/0/60/45/72a9547fbdb7fb34f4aa86ba79ca82a8/16/08408e8ed1aa44fc7782abb7365f0261/261103615.JPG","V1073883","Residential Attached","S","910 5911 MINORU BOULEVARD","Brighouse","3","0","1999","0.00","Other","Richmond","024-508-772","V6X 4C7",,,,"$42,300","0.85","$119.49","7/6/2014","Other","1","CDT1","$49,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260974999/0/60/45/de46eb0507b685bd2e0328ad846d9520/13/57f60c0df7e8ae5eba0cbedaa8178bc4/260974999.JPG","N235823","Residential Detached","S","37 4619 QUEENSWAY DRIVE","Thornhill","62","2","1969","0.00","Manufactured","Terrace (Zone 88)","800-085-922","V8G 3X5","0.00",,,"$47,000","0.94","$48.16","7/10/2014","Manufactured","1","MHP","$49,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256148760/0/60/45/9f104220f79356d2b0cc8a7e5a15a68e/13/74884227d1b2eebb5605977b8268423c/256148760.JPG","N177318","Land Only","S","LOT 12 ARIEL DAWN ROAD","Quesnel Rural - South","2460",,,"0.00",,"Quesnel (Zone 28)","024-618-748","V2J 4J6","66.00","Road Access","Other","$48,000","0.90",,"7/11/2014","Other",,"RS1","$53,500"
