"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261177785/0/60/45/d801a6b827fb80de54bc4378a843f91b/13/a9462303f37b685de729c5c4df557f11/261177785.JPG","N238830","Residential Detached","S","422 KOALA PLACE","Bear Lake","63","2","9999","0.00","Manufactured with Land","PG Rural North (Zone 76)","005-261-848","V0J 3G0","0.00",,,"$10,000","0.57","$10.74","10/10/2014","Manufactured with Land","2","UR","$17,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261004013/0/60/45/2323b81c0d63418de3b76220e4aca856/13/ed76b63d09f664d06bd95e4dce5ddd64/261004013.JPG","N236250","Land Only","S","LOT A SHARPE ROAD","Fraser Lake","141",,,"0.00",,"Vanderhoof And Area (Zone 56)","029-034-701","V0J 1S0","0.00","Allowed Access","House/Single Family","$15,000","0.75",,"10/9/2014","House/Single Family",,"H1","$19,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261138539/0/60/45/9a4f7e9767178953c08fae607ea3932b/13/875138501d4b31792a0b3c0b69d07afa/261138539.JPG","N238289","Residential Detached","S","27 2454 GRANTS FRONTAGE ROAD","Vanderhoof - Town","87","2","1972","0.00","Manufactured","Vanderhoof And Area (Zone 56)","800-087-686","V0J 3A1","0.00",,,"$20,000","0.80","$24.04","10/10/2014","Manufactured","1","R-7","$24,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260893814/0/60/45/7a590e88f1c4ff22abec1669a69fffd1/13/204017664251bcea8e6ea4537fd8ba63/260893814.JPG","N234688","Land Only","S","4808 KITWANGA DRIVE","108 Ranch","187",,,"0.00",,"100 Mile House (Zone 10)","007-958-609","V0K 2Z0","130.00","Road Access","House/Single Family","$24,000","0.80",,"10/8/2014","House/Single Family",,"R1-1","$29,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261224918/0/60/45/ad7127db6331e2001246a80fb3705193/15/18952515f44dd3667a2a3c8332027105/261224918.JPG","F1421551","Residential Detached","S","248 1840 160 STREET","King George Corridor","40","4","1975","0.00","Manufactured","South Surrey White Rock","900-572-382","V4A 4X4","0.00",,,"$25,000","0.63","$20.83","10/12/2014","Manufactured","1","MHP","$39,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260743185/0/60/45/821c959331fba7a99811b859faf3e427/15/8f35f6c356f9f62ac77f6de2a1fa38b5/260743185.JPG","F1401893","Residential Detached","S","112 3300 HORN STREET","Central Abbotsford","259","2","1978","0.00","Manufactured","Abbotsford","900-569-846","V2S 7Y6","0.00",,,"$30,000","0.81","$38.96","10/8/2014","Manufactured","1","RH1","$37,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260992072/0/60/45/e7376756ce1e770b9cfb31b9cb78b22a/13/768c1a3bd6914cfd998963f8448e8cff/260992072.JPG","N236096","Residential Detached","S","18319 CINEMA ROAD","Quesnel - Rural North","142","2","1992","0.00","House/Single Family","Quesnel (Zone 28)","009-186-972","V0K 1S1","0.00",,,"$35,000","0.78","$31.25","10/8/2014","House/Single Family","1","R2","$44,900"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261269284/0/60/45/d05a129c9d4bb3c17d074a7473335b26/15/d4ae26793aad205a09929da6a674275e/261269284.JPG","F1423330","Residential Detached","S","70 7790 KING GEORGE BOULEVARD","East Newton","17","3","1975","0.00","Manufactured","Surrey","900-572-567","V3W 5Y4",,,,"$35,000","0.90","$30.38","10/6/2014","Manufactured","1","MHP","$39,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261102893/0/60/45/0e113925334b4f2e73e8c44927abc019/14/4b6e1eaa8fcc9ef74be033799e3bb2d2/261102893.JPG","H1402807","Residential Detached","S","8 6900 INKMAN ROAD","Agassiz","99","3","1978","0.00","Manufactured","Agassiz","700-002-125","V0M 1A1","0.00",,,"$36,000","0.84","$32.03","10/11/2014","Manufactured","2","R4","$42,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260827414/0/60/45/86f9a91c77eb7fd3765a3920f27527c3/16/233bf174059e08e9c7aca8f162468035/260827414.JPG","V1051687","Residential Detached","S","8 39884 GOVERNMENT ROAD","Northyards","212","2","1974","0.00","Manufactured","Squamish","800-084-306","V8B 0A7","0.00",,,"$40,000","0.95","$41.67","10/6/2014","Manufactured","1","RM1","$42,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261270487/0/60/45/39708f6f2539c5f6c0854a400debee19/13/8e073a8e3b085d7d1f21353bfe7c85dd/261270487.JPG","N239975","Residential Detached","S","1324 7TH AVENUE","Valemount - Town","16","1","9999","8,880.00","House/Single Family","Robson Valley (Zone 81)","012-344-435","V0E 2Z0","0.00",,,"$40,000","0.89","$38.54","10/7/2014","House/Single Family","1","R1","$45,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261307830/0/60/45/977b86ebd1ba663e1046f7067f9dbc05/15/82927966baf8c14646ccb74f57fb72eb/261307830.JPG","F1424702","Residential Detached","S","249 1840 160TH STREET","King George Corridor","2","2","1975","0.00","Manufactured","South Surrey White Rock","900-572-750","N0N 0N0","0.00",,,"$41,000","0.91","$56.94","10/6/2014","Manufactured","1","MHP","$45,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261036603/0/60/45/46bc6f25e5b0ef74022fba763949b119/13/f5d1ffdbb9b9a42fb8d6fbf2d60495cd/261036603.JPG","N236716","Residential Detached","S","141 1000 INVERNESS ROAD","Aberdeen PG","130","3","1989","0.00","Manufactured","PG City North (Zone 73)","800-086-618","V2K 4V1","45.00",,,"$42,000","0.92","$37.74","10/11/2014","Manufactured","1","RS5","$45,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261128368/0/60/45/eaaa329816003bfc3808064d59c5219d/15/4405a62db8ea87584da8a81886ec2af7/261128368.JPG","H1402986","Residential Attached","S","202 9282 HAZEL STREET","Chilliwack E Young-Yale","87","1","1982","0.00","Apartment/Condo","Chilliwack","008-041-202","V2P 5N6",,,,"$43,000","0.86","$74.01","10/9/2014","Apartment/Condo","1","R5","$49,900"
