"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260836891/0/60/45/200e7837da03331d6a3e4910c11f7db1/13/dada1c04894df3d42fa6a334b29d0582/260836891.JPG","N233961","Residential Detached","S","4236 14TH AVENUE","Hazelton","31","2","1968","7,920.00","Manufactured with Land","Smithers And Area (Zone 54)","005-797-632","V0J 2J0","66.00",,,"$9,900","1.00","$19.80","4/12/2014","Manufactured with Land","1","R-1","$9,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260655516/0/60/45/8dd7a74266057250d0213c0aeff1ea67/15/e066591240ea24088b9a622d4b592b7b/260655516.JPG","F1325968","Residential Detached","S","114 7790 KING GEORGE BOULEVARD","Bear Creek Green Timbers","145","2","1975","0.00","Manufactured","Surrey","900-569-315","V3W 5X4",,,,"$17,900","0.90","$21.94","4/13/2014","Manufactured","1","MHP","$19,900"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260609232/0/60/45/901419c42137e7d0ac5bdb0d5a449068/15/0d0aee637b079b3bca40cd707ed8dcbb/260609232.JPG","F1324456","Residential Detached","S","77 31313 LIVINGSTONE AVENUE","Abbotsford West","173","2","1975","0.00","Manufactured","Abbotsford","900-569-038","V1T 4T1",,,,"$18,000","0.91","$18.83","4/11/2014","Manufactured","1","RH1","$19,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260721985/0/60/45/5b10ae3e49bdc81b8740d6ff38d86208/14/7e49b71bf58877b1ff395b8514dc550d/260721985.JPG","H1400142","Residential Detached","S","52 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","88","3","1973","0.00","Manufactured","Hope","700-008-998","V0X 1L1","0.00",,,"$22,750","0.76","$21.88","4/11/2014","Manufactured","1","RMH","$29,900"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260875449/0/60/45/c2dfe4407fd53612bd35ceae6ae7a068/15/c0bd1edcd7d51143f6c0e230bd6b3408/260875449.JPG","V1055475","Residential Detached","S","30 5288 SELMA PARK ROAD","Sechelt District","19","2","1975","0.00","Manufactured","Sunshine Coast","800-084-825","V0N 3A6","0.00",,,"$26,000","0.87","$32.83","4/14/2014","Manufactured","1","R-5","$29,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260850011/0/60/45/55cd05352f819e6cfd24414cac3259ed/13/473c45b778ac4dc32a42b2dcff3f7a3e/260850011.JPG","N234124","Residential Detached","S","45 634 S ELM STREET","Red Bluff/Dragon Lake","27","3","1983","0.00","Manufactured","Quesnel (Zone 28)","800-084-590","V2J 6R1","0.00",,,"$27,500","0.92","$29.76","4/14/2014","Manufactured","0","MHP","$29,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260824728/0/60/45/e8753c9cb19ed0e99c91ddd0f2cc4113/16/98f63cd353f76afe53432afccbdf34be/260824728.JPG","V1051330","Residential Detached","S","57 21163 LOUGHEED HIGHWAY","West Central","40","2","1967","0.00","Manufactured","Maple Ridge","800-084-277","V2X 2R4","20.00",,,"$28,000","0.94","$41.67","4/14/2014","Manufactured","1","MOBLE","$29,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260834430/0/60/45/9f57df8906476558000f7fcb3eaed4f8/14/eeba43492f007dad0c9ff98f0db236c5/260834430.JPG","H1400927","Residential Detached","S","30 45111 WOLFE ROAD","Chilliwack W Young-Well","35","2","1989","4,400.00","Manufactured","Chilliwack","700-000-548","V2P 1V6","40.00",,,"$29,500","0.85","$31.86","4/10/2014","Manufactured","1","RMH","$34,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260479009/0/60/45/710ff05f6a841c48d2f9c34a892b1bb9/13/86c61b59439e9accd76c01027641f151/260479009.JPG","N230340","Land Only","S","10105 ROBISON AVENUE","Hudsons Hope","238",,,"0.00",,"Fort St. John (Zone 60)","012-331-139","V0C 1V0","60.00","Road Access",,"$30,000","0.91",,"4/15/2014","Other",,"R1","$33,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260887436/0/60/45/88905c06e0f4b241e13f1a44eb511d21/13/91ee1af0141dd2cf7f37a269403577ac/260887436.JPG","N234619","Land Only","S","LOT 16 WOMACK ROAD","Deka/Sulphurous/Hathaway Lakes","13",,,"0.00",,"100 Mile House (Zone 10)","007-308-426","V0K 1T0","0.00","Road Access",,"$30,000","0.86",,"4/14/2014","Other",,"R1","$35,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260580818/0/60/45/170fff54eba18fb3fbc9819b8edc256f/15/f7aa3a8f522f3882c67eb10b3ecae7e6/260580818.JPG","F1323420","Residential Detached","S","31 9080 198 STREET","Walnut Grove","188","2","1977","0.00","Manufactured","Langley","900-568-756","V1M 3A8","0.00",,,"$31,000","0.89","$31.63","4/15/2014","Manufactured","2","MH-1","$34,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260650881/0/60/45/9ac8b5b0b4c074b3e3289bebff79760e/13/13c246e8e544523f633716c997dc1654/260650881.JPG","N232171","Land Only","S","LOT 22 CLEARVIEW ROAD","Fraser Lake","148",,,"0.00",,"Vanderhoof And Area (Zone 56)","006-027-032","V0J 1S0","0.00","Road Access","House/Single Family","$32,000","0.92",,"4/15/2014","House/Single Family",,"R4","$34,900"
