"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260125804/0/60/45/7c213463c4532c7ef0fdbbb4ae198a4a/15/2367377c0440efcd8551864b3c04daf9/260125804.JPG","F1306246","Residential Detached","S","51 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","361","2","1975","0.00","Manufactured","Surrey","900-566-221","V3W 6E1","0.00",,,"$14,000","0.95","$19.44","3/10/2014","Manufactured","1","MHP","$14,800"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260788299/0/60/45/dd44c0274e92631081e9c94ce5249822/15/5960112548764a8dec83c90b4db0eaff/260788299.JPG","V1048115","Residential Detached","S","56 3295 SUNNYSIDE DRIVE","Anmore","35","2","1979","0.00","Manufactured","Port Moody","800-083-765","V3H 4Z4","0.00",,,"$15,000","0.60","$17.86","3/14/2014","Manufactured","1","RCH1","$24,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260782249/0/60/45/4d080de053eec58690c47afeca0d01dd/13/cd2e9da9a616b6798ca668f3121fb883/260782249.JPG","N233389","Land Only","S","1350 SODA CREEK ROAD","Williams Lake - Rural North","27",,,"0.00",,"Williams Lake (Zone 27)","009-282-432","V2G 2V2","0.00","No Access","House/Single Family","$25,000","0.50",,"3/13/2014","House/Single Family",,"RR1","$49,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260285875/0/60/45/9869838a4203ca166f54f2f3d1d37166/13/a70e1bd50f971ad3e43257e4d9e1f56d/260285875.JPG","N227719","Land Only","S","3071 GLEASON CRESCENT","Williams Lake - Rural East","295",,,"0.00",,"Williams Lake (Zone 27)","023-314-851","V0L 1G0","0.00","Road Access","Mixed","$30,000","0.69",,"3/12/2014","Mixed",,"RR2","$43,500"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260646600/0/60/45/0c1922914eebe9cafa5d65ce698f1df2/13/67745397c96ed15cfaa2ad9e3e152960/260646600.JPG","N232140","Residential Detached","S","3515 WAITE ROAD","Lac la Hache","118","3","1972","0.00","Manufactured with Land","100 Mile House (Zone 10)","007-913-524","V0K 1T0","0.00",,,"$32,000","0.68","$25.68","3/12/2014","Manufactured with Land","1","R-1","$46,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260402999/0/60/45/5b6d5dc00d4445451401b2b6785b88e0/13/ecc56c1da7abad9db59305cf690e6899/260402999.JPG","N229329","Residential Detached","S","9006 JAMIESON AVENUE","Hudsons Hope","243","2","9999","0.00","House/Single Family","Fort St. John (Zone 60)","015-890-571","V0C 1V0","0.00",,,"$32,000","0.91","$38.83","3/14/2014","House/Single Family","1","RU1","$35,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260722603/0/60/45/95cf843a75996d5234001da06af26099/16/3a7c8b1514f0e604a055087d735e22d0/260722603.JPG","V1041948","Residential Detached","S","4 4200 DEWDNEY TRUNK ROAD","Ranch Park","60","2","1969","0.00","Manufactured","Coquitlam","800-082-910","V3H 3E2",,,,"$38,000","0.85","$56.55","3/14/2014","Manufactured","1","MHP","$44,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260390327/0/60/45/e0fda32fdc83690b174c98ccad8906ac/13/279848f0e65756100ad5341c94121f6e/260390327.JPG","N229167","Residential Detached","S","3058 BOSWELL STREET","Horsefly","249","1","9999","0.00","House/Single Family","Williams Lake (Zone 27)","013-817-434","V0L 1L0","99.00",,,"$45,000","0.92","$90.00","3/14/2014","House/Single Family","1","RS1","$49,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","V1051489","Residential Attached","S","217 4122 VILLAGE GREEN BOULEVARD","Whistler Village","7","0","1987","0.00","Apartment/Condo","Whistler","006-932-452","V0N 1B4",,,,"$46,000","0.92","$123.99","3/12/2014","Apartment/Condo","1","CC1","$49,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260786212/0/60/45/695d0e628cba0bee9b6c0cadcd3710f0/16/273284c8d24a8f120145d0f8b88e273f/260786212.JPG","V1047916","Residential Attached","S","214B 2020 LONDON LANE","Whistler Creek","23","1","2008","0.00","Apartment/Condo","Whistler","027-506-002","V0N 1B2",,,,"$47,000","0.91","$78.60","3/11/2014","Apartment/Condo","1","CC2","$51,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260350726/0/60/45/fe73f69d632ab6e30b286392858a9515/13/27c2fe7c3fce7b09e4b6b071cd76b91a/260350726.JPG","N228655","Multifamily","S","1406 N KITWANGA ROAD","Kitwanga","262","2","9999","0.00","Duplex","Smithers And Area (Zone 54)","006-365-221","V0J 1A0","0.00",,,"$50,000","0.84","$30.86","3/8/2014","Duplex","1","R3","$59,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260694438/0/60/45/ee699492a77c8543845445ceaf7c7de5/13/b9c91a673562f96081aea7cc91b23b65/260694438.JPG","N232606","Residential Detached","S","15 YAKOUN STREET","Port Clements","85","2","1983","0.00","Manufactured with Land","Prince Rupert (Zone 52)","013-161-776","V0T 1R0","50.00",,,"$52,500","0.89","$45.57","3/11/2014","Manufactured with Land","2","RL","$59,000"
