"psl_id";"mls";"prop_type";"status";"address";"area";"sub_area";"type_of_dwelling";"sold_price";"list_price";"days_to_sold";"tot_bedrooms";"year_built";"lot_sz_sqft";"sold_date";"pid";"prev_price";"frontage_feet";"gross_tax";"lot_sz_acre";"strata_maint_fee";"days_on_market";"floor_area_fin_total";"no_floor_areas";"tot_baths";"num_of_kitchens";"fireplaces";"total_parking_places";"floor_area_fin_abv_main";"floor_area_fin_basem";"floor_area_fin_below_main";"floor_area_fin_main_fl";"floor_area_fin_main_grand_tot";"status_change_date";"entry_date";"list_date";"expiry_date";"cancel_effective_date_date";"cancel_effective_date";"cancel_protection_date";"postal_code";"ofc_name";"office_code";"list_agent_fname";"list_sales_rep_1_user_code";"list_agent_1_email";"list_agent_1_phone";"list_agent_1_web_page";"list_2_office_name";"list__firm_2_office_code";"list_firm_2_office_code";"list_sales_rep_2_full_name";"list_sales_rep_2_user_code";"list_sales_rep_2_email";"list_sales_rep_2_phone";"list_sales_rep_2_web_page";"selling_office_1_office_name";"selling_office_1_office_code";"sell_sales_rep_1_agent_full_name";"sell_sales_rep_1_agent_email";"sell_sales_rep_1_agent_phone";"sell_sales_rep_1_email";"sell_sales_rep_1_phone";"sell_sales_rep_1_user_code";"sell_sales_rep_1_web_page";"sell_office_2_office_name";"sell_office_2_office_code";"sell_sales_rep_2_agent_full_name";"sell_sales_rep_2_user_code";"sell_sales_rep_2_email";"sell_sales_rep_2_phone";"sell_sales_rep_2_web_page";"commission";"depth";"owner_name";"locker";"realtor_remarks";"public_remarks";"maint_fee_includes";"legal_description";"legal_description_2";"water_supply";"amenities";"bylaw_restrict";"restrictions";"occupancy";"building_only";"address_list_id";"latitude";"longitude";"rets_int_id";"prov_state";"view";"features_incl";"site_influences";"city";"pic_count";"tiny_thumb";"tiny_thumbs_arr";"med_thumbs_arr";"date_of_update";"lnd";"ths";"sfh";"apt";"rrn";"psl";"sfd";"ret";"ofw";"bfs";"cls";"mfd";"hsc";"location_v";"address_street";"pics";"zoning";"permitted_land_use";"access_to_property";"sp_lp_ratio";"sold_price_per_sqft";"type"
"207361";"F1320953";"Residential Detached";"Sold";"23339 FRANCIS AVENUE";"Langley";"Fort Langley";"House/Single Family";"1075000.00";"1075000.00";"419";"5";"2006";"0";"2014-10-22";"012-319-490";"0.00";"65.39";"0.00";"0.00";"0.00";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V1M 2R9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"19";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260509953/0/60/45/19338cc694470edb738896b6579cda94/16/6e6755a2bec25f26c92e186b565fec62/260509953.JPG";"R-1E";"";"";"0.97";"241.79";"House/Single Family"
"207372";"F1404191";"Residential Attached";"Sold";"3 11880 82ND AVENUE";"N. Delta";"Scottsdale";"Townhouse";"312000.00";"312000.00";"252";"2";"1988";"0";"2014-10-26";"009-612-114";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V4C 8C7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"12";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260793230/0/60/45/c5f3ac279603f4d6e3f97bb954a5e6e5/16/5f18bdb99b0dafc184ffd7e6d8bbbe54/260793230.JPG";"RM4";"";"";"0.98";"195.49";"Townhouse"
"207390";"F1413090";"Residential Attached";"Sold";"406 13780 76TH AVENUE";"Surrey";"East Newton";"Apartment/Condo";"135120.00";"135120.00";"156";"2";"1997";"0";"2014-10-25";"023-883-405";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3W 1E5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"16";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261011157/0/60/45/ab7d0f0d5c8f7a06a00ad73d3b1cd734/16/b7035ecfa621f59ab7f2831e7e74b4f0/261011157.JPG";"CD";"";"";"1.04";"158.96";"Apartment/Condo"
"207414";"F1415996";"Residential Attached";"Sold";"22 17097 64 AVENUE";"Cloverdale";"Cloverdale BC";"Townhouse";"412000.00";"412000.00";"117";"4";"2004";"0";"2014-10-21";"025-979-248";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3S 1Y5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"17";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261084419/0/60/45/493bee0bad8eba9498638f91f79a594b/15/0f32dc6f98c537481a028846fad60517/261084419.JPG";"MF";"";"";"0.99";"170.88";"Townhouse"
"207405";"F1414841";"Residential Attached";"Sold";"B301 8929 202 STREET";"Langley";"Walnut Grove";"Apartment/Condo";"239000.00";"239000.00";"135";"2";"2008";"0";"2014-10-25";"027-632-661";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V1M 0B4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"10";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261054822/0/60/45/6d896a5da2ff8054b3a012864dc8ca09/15/2018c2a5e96fe0032052f09587c42a86/261054822.JPG";"MF";"";"";"0.96";"264.38";"Apartment/Condo"
"207449";"F1419497";"Residential Attached";"Sold";"90 4401 BLAUSON BOULEVARD";"Abbotsford";"Abbotsford East";"Townhouse";"250000.00";"250000.00";"78";"3";"2007";"0";"2014-10-23";"027-228-355";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3G 0A4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"13";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261174757/0/60/45/2caf40891998da7fce871de5c13cbc1a/15/526d98b8a5d9be1a1e9d5f13ef4366a5/261174757.JPG";"RM45";"";"";"1.04";"189.39";"Townhouse"
"207508";"F1422160";"Residential Attached";"Sold";"302 7500 COLUMBIA STREET";"Mission";"Mission BC";"Apartment/Condo";"170000.00";"170000.00";"42";"2";"1991";"0";"2014-10-21";"016-812-182";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V2V 4C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"19";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261239507/0/60/45/26596bd873e5cb3b5a1645492819f296/15/db76a9d0aeae93d0a3a678e2f590e5fa/261239507.JPG";"STRATA";"";"";"0.97";"152.47";"Apartment/Condo"
"207406";"F1414895";"Residential Attached";"Sold";"13 2453 163RD STREET";"South Surrey White Rock";"Grandview Surrey";"Townhouse";"640000.00";"640000.00";"140";"4";"2010";"0";"2014-10-27";"028-357-914";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3S 8N6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"10";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261055955/0/60/45/f1a4dd851bf2f48dcc27a003139c50df/15/5c125ccc10d54ab03d837f3f4fca0dbe/261055955.JPG";"MR15";"";"";"0.94";"241.24";"Townhouse"
"207398";"F1414053";"Residential Detached";"Sold";"16149 MORGAN CREEK CRESCENT";"South Surrey White Rock";"Morgan Creek";"House/Single Family";"2222000.00";"2222000.00";"142";"4";"2005";"0";"2014-10-22";"018-989-586";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3S 0J2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"20";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261033901/0/60/45/90a9f64757777c5d892d340971b7c131/15/94ab337b23a77e6d735576283868cf02/261033901.JPG";"CD";"";"";"0.83";"442.54";"House/Single Family"
"207399";"F1414219";"Residential Detached";"Sold";"34478 PICTON PLACE";"Abbotsford";"Abbotsford East";"House/Single Family";"470000.00";"470000.00";"146";"4";"1992";"0";"2014-10-26";"017-507-961";"0.00";"59.00";"0.00";"0.00";"0.00";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V2S 7H6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"19";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261037074/0/60/45/59f79a9aaae464bd96b7bc801b54a696/15/2599d71b9c4c4bb982f3fa449115feb1/261037074.JPG";"RS3";"";"";"0.98";"176.36";"House/Single Family"
