"mls";"prop_type";"status";"address";"area";"sub_area";"type_of_dwelling";"sold_price";"year_built";"days_to_sold";"tot_bedrooms";"sold_date";"postal_code"
"F1320953";"Residential Detached";"Sold";"23339 FRANCIS AVENUE";"Langley";"Fort Langley";"House/Single Family";"1075000.00";"2006";"419";"5";"2014-10-22";"V1M 2R9"
"F1404191";"Residential Attached";"Sold";"3 11880 82ND AVENUE";"N. Delta";"Scottsdale";"Townhouse";"312000.00";"1988";"252";"2";"2014-10-26";"V4C 8C7"
"F1413090";"Residential Attached";"Sold";"406 13780 76TH AVENUE";"Surrey";"East Newton";"Apartment/Condo";"135120.00";"1997";"156";"2";"2014-10-25";"V3W 1E5"
"F1415996";"Residential Attached";"Sold";"22 17097 64 AVENUE";"Cloverdale";"Cloverdale BC";"Townhouse";"412000.00";"2004";"117";"4";"2014-10-21";"V3S 1Y5"
"F1414841";"Residential Attached";"Sold";"B301 8929 202 STREET";"Langley";"Walnut Grove";"Apartment/Condo";"239000.00";"2008";"135";"2";"2014-10-25";"V1M 0B4"
"F1419497";"Residential Attached";"Sold";"90 4401 BLAUSON BOULEVARD";"Abbotsford";"Abbotsford East";"Townhouse";"250000.00";"2007";"78";"3";"2014-10-23";"V3G 0A4"
"F1422160";"Residential Attached";"Sold";"302 7500 COLUMBIA STREET";"Mission";"Mission BC";"Apartment/Condo";"170000.00";"1991";"42";"2";"2014-10-21";"V2V 4C1"
"F1414895";"Residential Attached";"Sold";"13 2453 163RD STREET";"South Surrey White Rock";"Grandview Surrey";"Townhouse";"640000.00";"2010";"140";"4";"2014-10-27";"V3S 8N6"
"F1414053";"Residential Detached";"Sold";"16149 MORGAN CREEK CRESCENT";"South Surrey White Rock";"Morgan Creek";"House/Single Family";"2222000.00";"2005";"142";"4";"2014-10-22";"V3S 0J2"
"F1414219";"Residential Detached";"Sold";"34478 PICTON PLACE";"Abbotsford";"Abbotsford East";"House/Single Family";"470000.00";"1992";"146";"4";"2014-10-26";"V2S 7H6"
"F1414304";"Residential Attached";"Sold";"11 12738 66TH AVENUE";"Surrey";"West Newton";"Townhouse";"289000.00";"2004";"142";"3";"2014-10-25";"V3W 1P3"
"F1414343";"Residential Attached";"Sold";"10570 HOLLY PARK LANE";"North Surrey";"Guildford";"Townhouse";"162000.00";"1977";"138";"2";"2014-10-21";"V3R 6X9"
"F1414500";"Residential Detached";"Sold";"13626 22A AVENUE";"South Surrey White Rock";"Elgin Chantrell";"House/Single Family";"1785000.00";"1994";"134";"4";"2014-10-21";"V4A 9V2"
"F1415249";"Residential Detached";"Sold";"14227 70TH AVENUE";"Surrey";"East Newton";"House/Single Family";"580000.00";"1989";"135";"5";"2014-10-24";"V3W 0P4"
"F1415313";"Residential Detached";"Sold";"20009 46A AVENUE";"Langley";"Langley City";"House/Single Family";"397500.00";"1976";"124";"3";"2014-10-19";"V3A 6J2"
"F1415468";"Residential Attached";"Sold";"28 13239 OLD YALE ROAD";"North Surrey";"Whalley";"Apartment/Condo";"190000.00";"2009";"128";"1";"2014-10-23";"V3T 3C5"
"F1415609";"Residential Attached";"Sold";"234 31955 OLD YALE ROAD";"Abbotsford";"Abbotsford West";"Apartment/Condo";"97000.00";"1984";"128";"2";"2014-10-26";"V2T 4N1"
"F1415754";"Residential Detached";"Sold";"2689 143A STREET";"South Surrey White Rock";"Crescent Bch Ocean Pk.";"House/Single Family";"2260000.00";"2014";"122";"7";"2014-10-20";"V4P 1R6"
