"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261118165/0/120/90/441eeec0527deed22c9485b720347419/13/e94ce017c0eec5a205d2070eb1e158a3/261118165.JPG","N237997","Residential Detached","S","114 1427 DOG CREEK ROAD","Williams Lake - Rural South","1968","Manufactured","1",,,,,,"46",,"250-305-7779",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"KENDAL ACRES","22863",,"Detached",,"11/28/2014",,"GLEN HOLLING","Other","1","$63.00",,,,,"7/8/2014",,,"1",,"800-087-490",,"V2G 3H3",,"BC","This older model 2 bedroom home comes with some new vinyl windows and appliances. Perfect for a couple or single looking for affordable and easy to care for living not too far from town.","Foundation is blocking on pads.","BC Northern","For Sale",,,,,,,,,"8/19/2014","$12,000","$17.24","0.86","9/4/2014","1","2","553","$14,000",,"42",,"696","0.00","0.00","Williams Lake","$17.24","0.86","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260963713/0/120/90/6249cab6ba2fc3cfe09b07832cdd7121/13/650ca69f0faf0c236fd74e99f9acd4d8/260963713.JPG","N235636","Land Only","S","670 S GREEN LAKE ROAD","70 Mile House",,,,,,,,"Road Access",,,"250-644-4242",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"70 Mile House","Land",,,,"No",,"At Lot Line","12/31/2014",,"BRAD",,,"$554.00",,,"Yes",,"4/24/2014","At Lot Line",,,,"007-703-082","House/Single Family","V0K 2K0","No","BC","Great off-shore lot at Green Lake. 100 X 200 ft lot with access to miles and miles of Crown Land behind, and lake access to one of the prettiest lakes in the Cariboo. Property is leased and may be purchased from the government, or you may continue to lease.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/12/2014","$15,000",,"1.00","8/22/2014",,,"R1","$15,000",,"110","200",,"100.00","0.00","Williams Lake Rural",,"1.00","House/Single Family"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261142943/0/120/90/201146d79366ef9a5cba116912e72944/13/31da5d4114bfa9deefc44003cc3c523e/261142943.JPG","N238335","Land Only","S","1234 3RD AVENUE","Valemount - Town",,,,,,,,"Road Access",,,"250-569-7397",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"At Lot Line","7/11/2015",,"IRENE BERNDSEN",,,"$457.00",,,"Yes",,"7/21/2014","Not Available",,,,"009-062-823",,"V0J 2E0","No","BC","Nicely treed building lot in Valemount. Excellent location within walking distance to all amenities. Priced to sell.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","8/18/2014","$24,000","$2.74","0.93","9/19/2014",,,"R1","$25,900",,"28",,,"0.00","0.20","Valemount","$2.74","0.93","Other"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260903790/0/120/90/17a35c59e8d3c2c174afad768ca2df30/13/91728bb71834f44223f15f506797ef47/260903790.JPG","N234858","Residential Detached","S","138 1000 INVERNESS ROAD","Aberdeen PG","1980","Manufactured","1",,,,,,"34",,"250-981-3100",,"PG City North (Zone 73)",,,"0","3",,,,"Prince George","Residential Detached",,"INVERNESS ESTATES","419483",,"Detached",,"9/10/2014",,"CALL/TEXT MIKE","Concrete Block","1","$415.00",,,,,"4/10/2014",,,"1",,"800-085-177",,"V2K 4V1",,"BC","This spotless 3 bedroom mobile feels very modern with modern flooring and paint throughout, plus a fantastic large kitchen with island, breakfast bar and new built-in range and oven. It has 3 bedrooms towards the back that are separated from open concept kitchen and living room. Roof is 3 years old. Located in the all ages section of the great well maintained Inverness park.",,"BC Northern","For Sale",,,,,,,,,"8/19/2014","$31,000","$33.55","0.85","8/27/2014","1","3","MHP","$36,500",,"131",,"924","0.00","0.00","City of Prince George","$33.55","0.81","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261164692/0/120/90/cdc3d10f264259dd4ced171e63e766a1/15/a10edd4f84eafb04fd524270cf2cd504/261164692.JPG","F1419075","Residential Detached","S","76 20071 24TH AVENUE","Brookswood Langley","1986","Manufactured","1",,,,,,"28",,"604-916-8000",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Fernridge Mobile Home Park","445840",,"Detached",,"11/30/2014",,"Kevin Brown/Christine Friesen","Other","1","$817.00",,,,,"8/1/2014",,,"1",,"900-572-181",,"V2Z 2A1",,"BC","Excellent opportunity to retire to the park like atmosphere of Fernridge in beautiful Brookswood. This 55+ community boasts pride in ownership & offers quality amenities such as the outdoor swimming pool for those hot summers & a great yea r round club house. This extremely well cared for 750 sq ft unit features some nice updates including newer vinyl flooring, open floor plan with spacious kitchen & living room, two bedrooms, full bathroom & laundry room. Such a restful place... you'll never know you are just minutes from shopping & downtown. Close to transit. Has covered parking, shed, nice yard, great neighbours. No pets, no rentals.","55+ adult only park. No Pets. No Rentals. Criminal record check & interview with park manager required, means you get a nice community to live. Measurements approximate, Buyer to verify if important.","Fraser Valley","For Sale",,,,,,,,,"8/18/2014","$32,800","$41.84","0.94","9/9/2014","1","2","MH1","$34,900",,"17","0","784","0.00","0.00","Langley","$41.84","0.94","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260863538/0/120/90/cef8913d0f27672c51681c14af7b1b9d/15/18d7c973dbf7a2dd0f1880c7d2e5dd28/260863538.JPG","F1407075","Residential Detached","S","159 7790 KING GEORGE BOULEVARD","East Newton","1977","Manufactured","1",,,,,,"37",,"604-309-4786",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","7026",,"Detached",,"3/31/2015",,"GARY HENNENFENT","Other","2","$387.00",,,,,"3/22/2014",,,"1",,"900-570-433",,"V3W 5Y4",,"BC","Discover! Large double wide 3 Bd + huge den with skylight. You will love that this home offers the following features: over 1400 sq.feet, oak kitchen cupboards, 2 full baths, close to swimming pool and clubhouse and set on corner lot on CDS. Easy living as home is close to all shopping, transportation and schools. Enjoy your future here!","No Touchbase please! Note commission. Call Gary @ 604-309-4786 or 604-572-3005 for showings. Meas are approx and should be verified by buyer's agent if imp.","Fraser Valley","For Sale",,,,,,,,,"8/16/2014","$39,000","$27.08","0.93","9/5/2014","2","3","MHP","$41,900",,"147",,"1,440",,"0.00","Surrey","$27.08","0.78","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261164499/0/120/90/f8c1f406360fdae9b0ea7a136a37ad99/16/14c6176d102f4cd6e6e73dd35c04c321/261164499.JPG","V1078452","Residential Attached","S","1215 5911 MINORU BOULEVARD","Brighouse","1999","Other","0",,,,,,"15",,"604-279-8075",,"Richmond",,,"0","0",,,,"Richmond","Residential Attached",,"THE HILTON HOTEL",,,"Attached",,"1/31/2015",,"SHAFIK","Concrete Slab","1","$1,020.00",,,,,"7/30/2014",,,"1",,"024-508-128",,"V6X 4C7",,"BC","Own a great investment in downtown Richmond. Airport Hilton Hotel, corner unit, completely managed and operated. Great location, close to shopping, transit, restaurants and more.","Measurements are approx. & to be verified by buyer. USE TOUCHBASE FOR QUICKEST RESPONSE.","Greater Vancouver","For Sale",,,,"$0.00",,,,,"8/15/2014","$42,450","$121.98","0.73","8/19/2014","1","0","CDT1","$58,000",,"16",,"348",,"0.00","Richmond","$121.98","0.73","Other"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261052428/0/120/90/9ee81fb4b60b151e21ead30317b95f80/14/617453557a5b35e7aa1d9784de8af287/261052428.JPG","H1402481","Residential Detached","S","208 45835 SLEEPY HOLLOW ROAD","Cultus Lake","1982","Manufactured","1",,,,,,"32",,"604-997-3325","2008","Cultus Lake",,,"0","3",,,,"Cultus Lake","Residential Detached",,"CULTUS LAKE ESTATES","419207",,"Detached",,"12/15/2014",,"BRENDAN","Other","1","$219.00",,,,,"6/9/2014",,,"1",,"700-000-549",,"V2R 4C6",,"BC","Three bedroom with additions! Single mobile that feels bigger than a double! Pad rent is $405. close to golf course & beach. 55+ park, pets allowed with restrictions. Very quiet mobile park, only a minute from Cultus Lake. New roof & new wi ndows are just some of the upgrades. Central air & a detached workshop all in the security of a fully fenced yard. Great place to live.","New roof & new windows. In good shape, bathroom re-done. Quiet park.","Chilliwack","For Sale",,,,,,,,,"8/13/2014","$45,000","$37.63","0.90","8/22/2014","1","3","RMH","$49,900",,"65","0","1,196","0.00","0.00","Chilliwack","$37.63","0.90","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260972253/0/120/90/44b43ac0c5f49811b2a9b1f54e6457b1/13/2464df280f218aa8b500f2fe89ff902c/260972253.JPG","N235794","Land Only","S","3621 PERRIN ROAD","Hart Highway",,,,,,,,"Allowed Access",,,"250-960-8769",,"PG City North (Zone 73)",,,,,"No","Not Available",,"Prince George","Land",,"PERRIN HEIGHTS",,"No",,"At Lot Line","11/15/2014",,"ELAINE KIENZLE",,,"$1,417.00",,,"Yes",,"5/1/2014","At Lot Line",,,,"012-137-766","Mixed","V2K 1N7","No","BC","Attractive 0.328 acre lot located on a quiet cul de sac and only 5 to 10 minutes from downtown. It has an established yard with trees at the back, driveway & homesite are cleared as there was an old house that was removed. The City maps sho w RS1m zoning which will allow manufactured housing. Buyer to satisfy themselves re the zoning, water & sewer. Priced below tax assessed value. This is a perfect building opportunity.","Old home was demolished and the City granted the final in Aug 2013.","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","8/12/2014","$45,000",,"0.83","8/20/2014",,,"RS1M","$54,000",,"103",,,"0.00","0.33","City of Prince George",,"0.76","Mixed"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261159484/0/120/90/c26ca279844811a10ee275b7fea05afd/13/0a6cac9e6f92c40f9fb2bd46bda7ee13/261159484.JPG","N238549","Residential Detached","S","2 704 DOG CREEK ROAD","Williams Lake - City","2001","Manufactured","1",,,,,,"13",,"250-392-5959",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"DOG CREEK ROAD","434343",,"Detached",,"12/31/2014",,"LR","Preserved Wood","1","$439.00",,,,,"7/29/2014",,,"1",,"800-087-926",,"V2G 3G3",,"BC","This is a great little 2 bedroom mobile in quiet park on Dog Creek Road. Updated flooring, kitchen has bright sky light, central air conditioning, and fenced yard for pets or children. Access to endless miles of hiking trails out your back door! Priced to sell, this home will not last!",,"BC Northern","For Sale",,,,,,,,,"8/15/2014","$50,000","$54.11","1.00","8/20/2014","1","2","MHP","$50,000",,"17",,"924","0.00","0.00","Williams Lake","$54.11","1.00","Manufactured"
