"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261090490/0/120/90/bc6c0495d00e39b9e1ae67291f6c59f7/15/b5a22cf1e6b6aef3be98d5dd9b8696f8/261090490.JPG","F1416273","Residential Detached","S","91 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","250030",,"Detached",,"2/28/2015",,"Les Wellman","Concrete Block","1","$107.00",,,,,"6/25/2014",,,"1",,"900-571-662",,"V3W 6E1",,"BC","Crestway Bays. 2 bdrm in family park, 2 small pets OK. F/S, W/D, D/W, storage shed wired freezer included. New roof on storage shed, new furnace and H.W.T. 2012. Club house on bus route only minutes to K.C. Sky train station. Pad rent $805 included water, sewer, garbage p/u, and taxes on the land. Tax on mobile $107. Pen yard.",,"Fraser Valley","For Sale",,,,,,,,,"7/24/2014","$3,500","$4.56","0.35","7/31/2014","1","2","MHP","$9,900",,"29",,"768","0.00","0.00","Surrey","$4.56","0.19","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260839407/0/120/90/7d85e2574d21d2022832d95ce6abd149/13/a4c667ccf6d93e173e56daac30945973/260839407.JPG","N234010","Land Only","S","LOT 2 GRIZZLY ROAD","Hazelton",,,,,,,,"Road Access",,,"250-842-8176",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"New Hazelton","Land",,,,"No",,"At Lot Line","3/11/2015",,"KELLY MATTSON",,,"$57.00",,,"No",,"3/12/2014","Not Available",,,,"009-199-837","House/Single Family","V0J 1Y1","No","BC","Rural 1.18 acre uncleared residential property on steeper hillside with no driveway access from Grizzly Road. Would make good pairing with Lot 1 which has access & is adjacent (see MLS N234009) to double the acreage. This type of land is r are in the Hazeltons so don't delay .",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/22/2014","$8,250",,"0.83","7/31/2014",,,"RR","$10,000","Not Known","132",,,"0.00","1.18","Terrace Rural",,"0.83","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260839408/0/120/90/04727fa120e1301d9a999a83f2fe9216/13/4c7809fd416c1adaa617c98c2000c6c6/260839408.JPG","N234009","Land Only","S","LOT 1 GRIZZLY ROAD","Hazelton",,,,,,,,"Road Access",,,"250-842-8176",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"New Hazelton","Land",,,,"No",,"At Lot Line","3/11/2015",,"KELLY MATTSON",,,"$88.00",,,"No",,"3/12/2014","Not Available",,,,"009-199-764","House/Single Family","V0J 1Y1","No","BC","Rural 1.18 acre residential parcel on hillside with cleared benched area for vehicle access off Sunnyside Road in Two Mile. Great area to build your future home. Lot 2 adjacent is also available to double your acreage! This type of acreage is rare in the Hazeltons.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/22/2014","$8,250",,"0.55","7/31/2014",,,"RR","$15,000","Not Known","132",,,"0.00","1.18","Terrace Rural",,"0.55","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261135639/0/120/90/f91ef2f1306ee6e6c397e294dfba29d6/13/9cc3e4091c78201003241c4991858f15/261135639.JPG","N238272","Land Only","S","1957 BRADFORD ROAD","Bouchie Lake",,,,,,,,"Allowed Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","10/15/2014",,"WILLIAM LACY",,,"$163.00",,,"No",,"7/18/2014","At Lot Line",,,,"023-185-015","House/Single Family","V2J 7B4","No","BC","3 acres of peaceful property, close to town, close to fishing and even closer to the golf course! Build your dream home and live out your days enjoying everything Quesnel and the Cariboo have to offer! With 3 acres there will be plenty of room for anything you can imagine, and priced right!","4634","BC Northern","For Sale","None",,"None",,"No",,,"None","7/27/2014","$15,000",,"0.75","8/5/2014",,,"RR3","$20,000","No","9","0",,"0.00","3.03","Quesnel Rural",,"0.75","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261073665/0/120/90/5ac11a5a7423ffd781828298cee25a42/13/b5f09ff4d982110d96f9bf6c55b92791/261073665.JPG","N237304","Residential Detached","S","DL 4701 ARCHIE CREEK","Horsefly","9999","Recreational","1",,,,,,"999",,"250-620-3440",,"Williams Lake (Zone 27)",,,"0","0",,,,"Williams Lake","Residential Detached",,"HORSEFLY LAKE",,,"Detached",,"6/15/2015",,"LINDA BARTSCH","Other","0","$580.00",,,,,"6/17/2014",,,"1",,"800-087-038",,"V0K 1G0",,"BC","Recreational lot with rustic cabin on Horsefly Lake. Located across from Suey Bay, near Archie Creek Falls. No neighbors, hiking trails nearby, on surrounding Crown land. Unfinished cabin on treed lot with nice beach. Mountain views. BC Govt lease (15-year renewable). Boat access only. Wilderness property ready for adventure.","Foundation is poured concrete blocks.","BC Northern","For Sale",,,,,,,,,"7/20/2014","$16,500","$33.00","0.87","7/22/2014","0","0","RL","$19,000",,"33","300","500","100.00","0.77","Williams Lake Rural","$33.00","0.87","Recreational"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260998141/0/120/90/106ce316cc1af034e9a5a7262b55b554/13/456067f6d5619b05ad61ccbc99340d7b/260998141.JPG","N236184","Residential Detached","S","32 560 SODA CREEK ROAD","Williams Lake - Rural North","1969","Manufactured","1",,,,,,"45",,"250-302-1176",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,,"25037",,"Detached",,"10/31/2014",,"COURT","Other","1","$94.00",,,,,"5/15/2014",,,"1",,"800-086-111",,"V2G 5E5",,"BC","Warm and dry - affordable living! This home offers two bedrooms, large open living/dining/kitchen. The newer thermo-pane windows plus a certified wood heater makes this a warm and cozy home.","Foundation is wood blocking.","BC Northern","For Sale",,,,,,,,,"7/19/2014","$16,500","$19.74","0.97","7/25/2014","1","2","R-5","$17,000",,"65",,"836","0.00","0.00","Williams Lake","$19.74","0.89","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260877412/0/120/90/395c81e0a98625502c61aee54240c9c4/13/c1d0bc050af42add5a911ed359672325/260877412.JPG","N234492","Land Only","S","SWANSON ROAD","Hixon",,,,,,,,"Road Access",,,"250-613-8777",,"PG Rural South (Zone 78)",,,,,"No","Not Available",,"Hixon","Land",,,,"No",,"At Lot Line","3/30/2016",,"ROLF/STEVE",,,"$625.00",,,"Yes",,"3/30/2014","At Lot Line",,,,"015-051-722","House/Single Family","V2K 1S0","Yes - Agricultural Land Reserve","BC","Beautiful waterfront acreage on Naver Creek. Naver historically gold bearing. Close to Village of Hixon.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/22/2014","$18,000",,"0.45","9/8/2014",,,"N/A","$39,900","Not Known","114",,,"0.00","28.00","Prince George Rural",,"0.45","House/Single Family"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261103563/0/120/90/6a8b821dd51c2e8c73914ceeeffc3723/15/10875531d7716e2f867e584310b3221b/261103563.JPG","F1416831","Residential Detached","S","29 32380 LOUGHEED HIGHWAY","Mission BC","1982","Manufactured","1",,,,,,"32",,"604-826-2699",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,"THE GROVE","425416",,"Detached",,"7/2/2015",,"MARTIN ENGH","Other","1",,,,,,"7/2/2014",,,"1",,"900-571-768",,"V2V 1A4",,"BC","The Grove! This park is available for residents 55 years of age or older, centrally located, you can walk to Superstore, Revy and hospital. Spacious 2 bdrm, 1 bathroom mobile with big kitchen and living room, plus 1 car carport! Excellent s pot to retire, call today!","Subject to probate.","Fraser Valley","For Sale",,,,,,,,,"7/22/2014","$19,900","$25.38","1.00","10/21/2014","1","2","MHP","$19,900",,"20",,"784",,"0.00","Mission","$25.38","1.00","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261096741/0/120/90/5362b3e39aab9268a23f3220feec4894/13/7217600fc52f500cff95831ace388165/261096741.JPG","N237654","Residential Detached","S","30 MORRISON STREET","Granisle","1972","House/Single Family","1",,,,,,"42",,"250-692-3530",,"Burns Lake (Zone 55)",,,"0","3",,,,"Burns Lake","Residential Detached",,,,,"Detached",,"7/2/2015",,"Dennis Bock","Concrete Perimeter","1","$1,616.00",,,,,"7/2/2014",,,"2",,"009-395-261",,"V0J 1W0",,"BC","3 bedroom home with a full basement in the village of Granisle. The home still has the original 1972 finishing and can be upgrade to your decor. Granisle is a Recreation / Retirement community and the house is only blocks away from the Ganisle Marina on Babine Lake. Babine Lake is noted for good Salmon, Char and trout fishing.",,"BC Northern","For Sale",,,,,,,,,"7/19/2014","$20,000","$10.27","0.80","7/23/2014","1","3","R1","$25,000",,"17",,"1,948",,"0.00","Granisle","$10.27","0.80","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261033977/0/120/90/fbece930aa6f1d6c1983f99b8d87fab3/13/c2a4c29d2f7ad4f08b068fc6c61720c0/261033977.JPG","N236685","Land Only","S","LOT 27 BAYVIEW ROAD","Fraser Lake",,,,,,,,"Road Access",,,"250-567-9222",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"Nearby","5/22/2015",,"KENT HAWLEY",,,"$97.00",,,"Yes",,"5/22/2014","Not Available",,,,"006-027-211","House/Single Family","V0J 1S0","No","BC","5 acres to build that little getaway you always wanted. Year-round access and just across the road from Dry William Lake. Great hunting, fishing and snowmobiling in the area. Priced right to sell!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/21/2014","$23,000",,"0.92","7/23/2014",,,"H-1","$25,000",,"60",,,"0.00","5.00","Vanderhoof Rural",,"0.92","House/Single Family"
