"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260510179/0/120/90/0cc7c54fdb070e086091145609bc6ab7/15/949cce7052dccdd35c1cad52324b0e70/260510179.JPG","F1320962","Residential Detached","S","5 35584 DURIEU ROAD","Durieu","1972","Manufactured","0",,,,,,"41",,"604-302-5348",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,,"z24037127",,"Detached",,"8/31/2014",,"Deb Vale","None","1","$650.00",,,,,"9/1/2013",,,"1",,"900-568-467",,"V2V 7K9",,"BC","2 bedroom, 1 bathroom mobile located in Cedar Acres Trailer Park that allows no rentals, in a rural setting minutes from downtown Mission. The home has had new paint, light fixtures, HWT and more but does need a new furnace. Situated in the western end of the park sitting on a corner lot with lots of trees and a private side yard. Working wood stove with full lean-to (shed) of fire wood. The monthly rent is $403.80 but can be reduced with Park rebate. Park rules state only 2 occupants allowed in this unit.","Appointments a must. All measurements are approximate and are to be confirmed if deemed important. The unit needs a new furnace and supply tank. NO ONE DAY CODES WILL BE ISSUED.","Fraser Valley","For Sale",,,,,,,,,"7/3/2014","$12,000","$10.68","0.81","7/25/2014","1","2","MHP","$14,900",,"305",,"1,124","0.00","0.00","Mission","$10.68","0.34","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260862982/0/120/90/b59d72877dff00e8617763cfcb6340ea/13/08c7532a325b0edad853ef75935d7098/260862982.JPG","N234284","Land Only","S","LOT 7 WINWORD ROAD","Bouchie Lake",,,,,,,,"Road Access",,,"250-983-3372",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","8/31/2014",,"BOB GRANHOLM",,,"$240.00",,,"Yes",,"3/24/2014","Nearby",,,,"004-520-556","House/Single Family","V2J 7G3","No","BC","Treed 5.13-acre lot located in Bouchie Lake area and within 15 minutes (driving time) to Quesnel.","4462","BC Northern","For Sale","None",,"None",,"No",,,"None","7/4/2014","$17,000",,"0.85","7/9/2014",,,"RR2","$19,900",,"102",,,"0.00","5.13","Quesnel Rural",,"0.68","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256999144/0/120/90/061efdfcc714386147d9525c075e0a9d/13/36baa689706692c2d3e65002d0125269/256999144.JPG","N190264","Land Only","S","LOT 37 KITWANGA DRIVE","108 Ranch",,,,,,,,"Allowed Access",,,"250-395-1173",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"At Lot Line","4/30/2015",,"DEBBIE",,,"$449.00",,,"Yes",,"3/13/2009","Available",,,,"007-955-561","House/Single Family","V0K 2Z0","No","BC","Excellent level building lot in the 108 Mile Ranch. Nicely treed and backs onto greenbelt for privacy. Waterline, power, telephone are at the lot line. An even better price is offered if purchase in conjunction with Seller's second lot on Kallum Drive MLS# N190259",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","6/27/2014","$20,000",,"0.85","6/30/2014",,,"R1-1","$23,500",,"1932",,,,"0.64","Williams Lake Rural",,"0.33","House/Single Family"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260988611/0/120/90/373e99ad7e8c7d3da67d3b2250ac2bcd/16/f2fad80093db2eb5f413de9c138ab201/260988611.JPG","V1065044","Residential Detached","S","129 201 CAYER STREET","Maillardville","1972","Manufactured","1",,,,,,"42",,"604-936-0422","2013","Coquitlam",,,"0","2",,,,"Coquitlam","Residential Detached",,"WILDWOOD PARK","10033",,"Detached",,"12/31/2014",,"LAURIE COPPIN","Other","1","$300.00",,,,,"5/15/2014",,,"1",,"800-086-056",,"V3K 5A8",,"BC","Looking for a great place to call home that is affordable!! Centrally located just minutes from Hwy 1 and Lougheed Hwy this two bedroom and bath home in Coquitlam is just minutes from shopping, transit, skytrain and so much more. Enjoy the relaxed lifestyle at Wildwood Park, very well taken care of with fantastic amenities like swimming pool, Rec Hall, Tennis Courts, Playground and a real sense of community. This well cared for home is nestled in the back of the complex on Greenbelt with a great sized yard. Ideal for pets or children. Relax on the covered patio rain or shine. Storage in the garden shed is perfect for garden tools and bikes.With updated flooring, bathroom vanity, neutral colours, in suite laundry and a nice layout.","Measurements are approximate, as is age. Buyer to verify if important. Serial #10033 Homeco Industry Manf. 1971 Embessy . Small pets OK (2 pets max) Max height is 16 at shoulder..","Greater Vancouver","For Sale",,,,,,,,,"7/4/2014","$23,000","$30.42","0.92","7/9/2014","1","2","MH","$25,000",,"50",,"756",,"0.00","Coquitlam","$30.42","0.81","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260915247/0/120/90/c1842e20106d7b2d2ed5374dbad0286a/13/567dfe2215677167292d42781396d31d/260915247.JPG","N235000","Residential Detached","S","34 4430 16 HIGHWAY","Smithers - Town","1973","Manufactured","1",,,,,,"41",,"250-847-3144",,"Smithers And Area (Zone 54)",,,"0","2",,,,"Smithers","Residential Detached",,,"201868",,"Detached",,"10/15/2014",,"TINA MEINTS","Concrete Slab","1","$612.00",,,,,"4/16/2014",,,"1",,"800-085-359",,"V0J 2N0",,"BC","Why rent when you could own your own home? Affordable, clean, and well kept two bedroom mobile home in Hudson Bay Mobile Home Park. Newer twin sealed vinyl windows throughout. This home has newer laminate flooring and a separate laundry room. Large, covered deck to relax on, and a storage shed to store your stuff in. Fenced yard. Fridge, stove, washer(new) and dryer included.",,"BC Northern","For Sale",,,,,,,,,"7/2/2014","$32,000","$43.01","0.82","7/16/2014","1","2","MHP","$39,000",,"77",,"744","0.00","0.00","Smithers","$43.01","0.68","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260863573/0/120/90/984037223ab9c1a73c03856976f8919e/13/340dc07a631298818e62478590befdbf/260863573.JPG","N234292","Residential Detached","S","252 W BOUCHIE STREET","Quesnel - Town","9999","House/Single Family","0",,,,,,"999",,"250-983-9522",,"Quesnel (Zone 28)",,,"0","3",,,,"Quesnel","Residential Detached",,,,,"Detached",,"9/30/2014",,"BILL INGRAM","Concrete Perimeter","1","$860.00",,,,,"3/24/2014",,,"2",,"013-621-092",,"V2J 1L8",,"BC","Close to schools and shopping, this 3-bedroom home is priced to sell. A comfortable place to live, or for a rental, on city services. Seller says roof is only 4 years old.","Foundation issue in basement. Cracks in the wall.","BC Northern","For Sale",,,,,,,,,"6/27/2014","$34,000","$15.98","0.68","7/17/2014","1","3","RM2","$49,900",,"95",,"2,128","0.00","0.14","Quesnel","$15.98","0.68","House/Single Family"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260730986/0/120/90/9ea975afc346344333e8bdafac6223d4/15/c62820032f5f03db65473d03f7bc188b/260730986.JPG","F1401343","Residential Detached","S","80 9950 WILSON STREET","Stave Falls","1992","Manufactured","1",,,,,,"22",,"604-781-9920",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,,"461465",,"Detached",,"1/17/2015",,"Carol Ann","Other","1","$835.00",,,,,"1/17/2014",,,"1",,"900-563-824",,"V2V 6H5",,"BC","Centrally 1ocated between Mission and Maple Ridge, this 14' X 56' manufactured home is located in a quiet park with an unobstructed view of Stave River and its wildlife. A bright and airy home with open floor plan, vaulted ceilings and skyl ights. Home has hardwood floors in living rm, built-in china cabinet in kitchen. Home boasts of central air conditioning, newer furnaces, roof, fully skirted on a cement pad for plenty of storage. Extra parking, garden shed and only minutes to the highway. Pad rental is $ 510.00/mo","All measurement are approximate and should be verified by the buyer or the buyer's representative Park approval is required","Fraser Valley","For Sale",,,,,,,,,"6/29/2014","$42,000","$53.57","0.94","7/14/2014","1","2","MHP","$44,900",,"163","0","784","0.00","0.00","Mission","$53.57","0.61","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260850195/0/120/90/6a21e831fd8ef80d4629d5b7f090dc3a/16/4d46e55f46c44f00f1f334e3e80b9887/260850195.JPG","V1053534","Residential Attached","S","222 4315 NORTHLANDS BOULEVARD","Whistler Village","1998","Apartment/Condo","0",,,,,,"16",,"604-932-2300",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"CASCADE LODGE",,,"Attached",,"8/15/2014",,"SALLY","Concrete Slab","1","$1,163.00",,,,,"3/18/2014",,,"1",,"024-148-920",,"V0N 1B4",,"BC","Studio suite in the centrally located Cascade Lodge in Whistler village. This suite is overlooking the swimming pool and has an in suite kitchenette. The amenities at the Cascade Lodge include an outdoor pool, 2 outdoor hot tubs, a fitness centre and secure underground parking. Don't miss this opportunity to own your suite in Whistler.",,"Greater Vancouver","For Sale",,,,"$261.00",,,,,"7/4/2014","$50,000","$183.15","0.91","7/15/2014","1","0","CC1","$55,000",,"108",,"273",,"0.00","Whistler","$183.15","0.91","Apartment/Condo"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260974177/0/120/90/f88065bfa938b968e0fe882434781a0a/13/50cdf384be57f58df0b5abd0c24f72bd/260974177.JPG","N235810","Residential Detached","S","58054 KENNEY DAM ROAD","Vanderhoof - Rural","9999","House/Single Family","1",,,,,,"999",,"250-567-9222",,"Vanderhoof And Area (Zone 56)",,,"0","2",,,,"Vanderhoof","Residential Detached",,,,,"Detached",,"8/5/2014",,"JIM ABERCROMBIE","Preserved Wood","0","$187.00",,,,,"5/5/2014",,,"2",,"005-030-498",,"V0J 3A1",,"BC","House and detached garage are to lock up stage and site beside Cathy Lake 57 km. South of Vanderhoof. This 5 acres would make a great recreational getaway.",,"BC Northern","For Sale",,,,,,,,,"7/4/2014","$50,000","$40.19","0.83","7/14/2014","0","2","N/A","$60,000",,"60",,"1,244","0.00","5.14","Vanderhoof Rural","$40.19","0.83","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261108347/0/120/90/b1cb726aa33a9df65f60788d67d8319f/13/00075c16b2ee580d73e149a4e5e318a1/261108347.JPG","N237856","Land Only","S","LOT 4 DESAUTEL ROAD","Williams Lake - Rural East",,,,,,,,"Road Access",,,"250-305-7034",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"At Lot Line","10/3/2014",,"GEORGE BEST",,,"$391.00",,,"Yes",,"7/3/2014","At Lot Line",,,,"005-069-734","House/Single Family","V0K 2G0","No","BC","If you are looking for a beautiful rural property to build on, this one could have the possibilities you are looking for. Just under 5 acres of treed land in the Spokin Lake area. Many great building sites available. Cell service at the road. Great area for a family looking to get back to nature, yet within walking distance of the school bus. Start your dream here.","Call or text George Best 250-305-7034 to view property.","BC Northern","For Sale","None",,"None",,"No",,,"None","7/3/2014","$51,500",,"0.89","7/11/2014",,,"RR2","$58,000","No","0",,,"0.00","4.69","Williams Lake Rural",,"0.89","House/Single Family"
