"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260412697/0/120/90/12902cd1e5ad8a2b27d1a28cffc2e5d6/15/d7ddd9d7530cd6241946e3a5ea652729/260412697.JPG","F1317207","Residential Detached","S","14 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"38",,"604-581-3838",,"Surrey",,,,"2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","253434",,"Detached",,"7/17/2014",,"L.R.","Other","1","$95.00",,,,,"7/17/2013",,,"1",,"900-567-345",,"V3W 5Y4",,"BC","CRISPEN BAYS: Located in upscale family park. Pride of ownership shows here! Current owner has spent over $20,000 in upgrades including: new windows (2008), new gas stove (2008), new torch on roof & gutters (2006), security bars & security system. Family park, small pets ok, monthly pad rent $816.00 September 1, 2013. Don't miss this one!","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer.","Fraser Valley","For Sale",,,,,,,,,"6/11/2014","$17,750","$24.65","0.90","6/23/2014","1","2","MHP","$19,800",,"329","80","720","30.00","0.00","Surrey","$24.65","0.72","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/258501488/0/120/90/270491eb91af77a883a2371b3be18e16/13/1d5675c5ab79dfe63a275f57239d53f8/258501488.JPG","N207517","Land Only","S","LOT 83 JULSRUD ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Road Access",,,"866-593-0131",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"Nearby","11/30/2014",,"BRAD OR DEE",,,"$207.00",,,"Yes",,"2/25/2011","Not Available",,,,"002-517-736","House/Single Family","V0K 1X0","No","BC","Recreational lot backing onto park reserve with an easy walk through mature forest to either Deka Lake or Sulphurous Lake. Easy access to miles and miles of trails. Come experience the beauty of the Cariboo and make this your vacation spot.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","6/9/2014","$23,500",,"0.91","6/11/2014",,,"R1","$25,800",,"1200",,,,"0.45","Williams Lake Rural",,"0.67","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260964098/0/120/90/84ba8186acc1367ab4595256ef085213/13/5fcda2d63c44b7250cf1ef4066654bfb/260964098.JPG","N235642","Land Only","S","LOT 20 CRANBERRY ROAD","Shelley",,,,,,,,"Road Access",,,"250-640-7761",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Prince George","Land",,"SHELLEY",,"No",,"Nearby","4/30/2015",,"SHERYL",,,"$212.00",,,"Yes",,"5/6/2014","Nearby",,,,"007-527-551","House/Single Family","V2K 5E6","No","BC","Large lot priced below assessed value close to recreational trails for the outdoor enthusiast, golf course, and Fraser River close by. Located approximately 15 miles East of Prince George. This property has its own creek running therough wi th a 165 ft (as per seller) well already drilled. Build your dream home today.","Seasonal creek runs through and documentation can be provided from the region ou tlining acceptance of culverts (with criteria). Section 56 of RDFFG zoning by law does require setbacks from water. Call Chris Lodge May 28-June 1 250-614-3727 for info.","BC Northern","For Sale","None",,"None",,"No",,,"Well - Drilled","6/10/2014","$25,000",,"0.84","6/20/2014",,,"SH","$29,900","Not Known","35","3187",,"102.00","7.51","Prince George Rural",,"0.84","House/Single Family"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260738622/0/120/90/37ab610375371653dccb67db46b015ba/14/e6f64301148d27813aea7674f3927c51/260738622.JPG","H1400280","Residential Detached","S","18 62780 FLOOD HOPE ROAD","Hope Center","2004","Manufactured","1",,,,,,"10",,"604-869-1010",,"Hope",,,"0","2",,,,"Hope","Residential Detached",,"LISMORE MHP","436580",,"Detached",,"7/31/2014",,"DIANE LOTHIAN","Other","1","$658.00",,,,,"1/22/2014",,,"1",,"762-780-543",,"V0X 1L2",,"BC","Stunning panoramic mountain views from this 2004, 840 sq ft immaculate, like new, mobile home in the beautiful Lismore Park. This bright 2 bdrm, 1 bath home features an open floor plan with new carpeting in the living room, 4 newer applianc es, large open laundry area & spacious closets in the master bdrm. Fenced yard with low maintenance landscaping. Pet friendly, 55+ park that is only minutes to Hope center, shopping, golf & recreation. Easy freeway access & only 25 minutes to Chilliwack. Retire here!","Measurements are approximate, verify if important. EASY to show & sell.","Chilliwack","For Sale",,,,,,,,,"6/11/2014","$30,000","$35.71","0.75","6/16/2014","1","2","RMH","$39,999",,"140","0.0","840","0.00","0.00","Chilliwack","$35.71","0.67","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261011430/0/120/90/7557836074513dc0e1e16dfc7171fc28/13/90adb339e01c4371f3402ee69e2a6a0c/261011430.JPG","N236344","Land Only","S","900 JUBILEE DRIVE","Port Edward",,,,,,,,"Road Access",,,"250-624-9444",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Port Edward","Land",,,,"No",,"At Lot Line","11/22/2014",,"JEFF CLARKE",,,"$600.00",,,"No",,"5/22/2014","At Lot Line",,,,"005-991-161","House/Single Family","V0V 1G0","No","BC","Whether you're looking for a place to build your dream home or simply for a property to hold as an investment this lot is a great option. Located in a very desirable neighbourhood this corner lot even enjoys glimpses of the harbour. With th e excellent location and affordable price this property is sure to go fast so don't miss out on this opportunity.",,"BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","6/6/2014","$36,000","$5.71","0.90","6/16/2014",,,"R1","$40,000",,"15","100",,"63.00","0.15","Port Edward","$5.71","0.90","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261051756/0/120/90/4a576dda548d90ef41083fda907b119c/15/209bf35dce88b6f9eb86c3b10e91413e/261051756.JPG","F1414738","Residential Detached","S","139 3665 244TH STREET","Otter District","1980","Manufactured","1","0",,,,,"34",,"604-590-2444",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"LANGLEY GROVE ESTATES","39634",,"Detached",,"11/30/2014",,"LENNING","Other","1",,,,,,"6/6/2014",,,"1",,"900-571-426",,"V2Z 1N1",,"BC","Original owner says sell - front kitchen - spacious living room - gas fireplace - tons of kitchen counter and cabinets - private covered deck - good size corner lot - replaced appliances in 2007 - Roof in 2001 - Deck and metal canopy totall y rebuilt in 2007 - Langley Grove is a friendly well managed Park - lots of activities - clubhouse - exercise/sauna/swirlpool area - walk to Otter Coop General Store - Move in and feel right at home. No Age Restrictions - 1 small pet - Seller will pay 2 months pad rental as Buyer Bonus upon Completion - Come, Enjoy 'the Lifestyle'.","New electric label April 2014 - Vacant - Owner in Retirement Facility and Must Sell - Will pay 2 months pad rental for buyer. Bonus - all information deemed correct and should be verified by buyer if pertinent. www.realestatebylennings.com","Fraser Valley","For Sale",,,,,,,,,"6/7/2014","$40,000","$43.29","0.93","6/24/2014","1","2","MHP","$42,900",,"1",,"924","0.00","0.00","Langley","$43.29","0.93","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261040337/0/120/90/75a0a0f3cd4ebacf79cf76e94114a7eb/14/92ab3eefd34dd9be7370e72ec10aac6e/261040337.JPG","H1402409","Residential Detached","S","132 6338 VEDDER ROAD","Sardis East Vedder Rd","1978","Manufactured","1",,,,,,"36",,"604-819-1664",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"MAPLE MEADOWS MHP","35331",,"Detached",,"12/31/2014",,"DOUG","Other","1","$350.00",,,,,"6/5/2014",,,"1",,"700-007-880",,"V2R 1A1",,"BC","2 bedroom home in Maple Meadows. Lots of updates including crown mouldings, flooring, paint inside and outside, bathroom and kitchen countertops, newer appliances and windows. Roof is 5 years old and there are two good sized workshop/storag e areas. Covered deck with recently finished steps. Manicured low maintenance lot with ample parking for 2 vehicles.",,"Chilliwack","For Sale",,,,,,,,,"6/6/2014","$42,500","$46.00","0.95","6/16/2014","1","2","MHP","$44,900",,"1",,"924","0.00","0.00","Chilliwack","$46.00","0.95","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261029144/0/120/90/1eb65bbf6be10027e7f5a3167a39d108/13/0325394b6beca25009c3e3a3c7bb2694/261029144.JPG","N236616","Land Only","S","482 N BLACKBURN ROAD","North Blackburn",,,,,,,,"Road Access",,,"250-961-4400",,"PG City South East (Zone 75)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Available","5/30/2015",,"FRED GORLEY",,,"$355.00",,,"No",,"5/26/2014","Nearby",,,,"012-850-985","House/Single Family","V2N 6B6","No","BC","Affordable 0.45/acre level building lot with most services available for easy connection. Ideal for modular/manufactured home. Just minutes from schools and downtown.","Municipal water (not connected). Sanitary sewer available (as per owner).","BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","6/10/2014","$42,500",,"0.95","6/13/2014",,,"RS1M","$44,900","Not Known","15",,,"0.00","0.45","City of Prince George",,"0.95","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260921725/0/120/90/6df8531fc06eae70d5f3ab02879481b7/13/3ed532e95fe5b377c886e1b6d2f2b7af/260921725.JPG","N235054","Land Only","S","7757 OPAL DRIVE","Emerald",,,,,,,,"Road Access",,,"250-981-3535",,"PG City North (Zone 73)",,,,,"No","Not Available",,"Prince George","Land",,"EMERALD ESTATES",,"No",,"At Lot Line","10/17/2014",,"KIRK",,,"$1,051.00",,,"No",,"4/17/2014","At Lot Line",,,,"008-924-449","Mixed","V2K 3L9","No","BC","Nicely treed 0.27 acre corner lot in Emerald Estates. Older mobile to be removed. Water, sewer and gas are on lot.",,"BC Northern","For Sale","Community",,"None",,"No",,,"Community","6/11/2014","$43,000",,"0.72","6/25/2014",,,"RS1M","$59,900","Not Known","55","130",,"90.54","0.27","City of Prince George",,"0.72","Mixed"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260913754/0/120/90/6624ad76af4aa14ca8944cde2661d58a/13/7f784d19b6d27daff0d3e41dfb26f23d/260913754.JPG","N234982","Residential Detached","S","49530 LLOYD DRIVE","Cluculz Lake","9999","Recreational","1",,,,,,"999",,"250-565-7848",,"PG Rural West (Zone 77)",,,"0","2",,,,"Prince George","Residential Detached",,,,,"Detached",,"10/30/2014",,"DAVID","Other","0","$853.00",,,,,"4/11/2014",,,"1",,"011-364-815",,"V0J 3A3",,"BC","Get away from it all at Cluculz Lake! Ideal retreat located approximately 30 minutes West of Prince George. Well built 2 bedroom cabin on the lake, open concept living room, dining room and kitchen, sundeck out front. Assume existing lease or buy the land. Contact Listing Agent for details.","No appointment necessary. Foundation - pillars.","BC Northern","For Sale",,,,,,,,,"6/11/2014","$49,000","$75.85","0.89","6/19/2014","0","2","R4","$54,900",,"61",,"646","0.00","0.80","Vanderhoof Rural","$75.85","0.76","Recreational"
