"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261177785/0/120/90/3f57b3df222ef6188104cc005adc20fd/13/a9462303f37b685de729c5c4df557f11/261177785.JPG","N238830","Residential Detached","S","422 KOALA PLACE","Bear Lake","9999","Manufactured with Land","1",,,,,,"999",,"250-640-8899",,"PG Rural North (Zone 76)",,,"0","2",,,,"Bear Lake","Residential Detached",,,"12934",,"Detached",,"12/30/2014",,"TIM","Other","2","$412.00",,,,,"8/8/2014",,,"1",,"005-261-848",,"V0J 3G0",,"BC","Affordable home in Bear Lake, 2 bedrooms, 2 bath, storage shed. Large lot, close to outdoor activities.","Pillars are concrete. Sold as is, where is. Sched A to form part of the contract purchase and sale. Subject to court approval. All measurements to be approximate, to be verified if deemed important. Septic to be confirmed. Silver sticker 225909.","BC Northern","For Sale",,,,,,,,,"10/10/2014","$10,000","$10.74","0.57","11/19/2014","2","2","UR","$17,500",,"63",,"931","0.00","0.27","Prince George Rural","$10.74","0.50","Manufactured with Land"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261004013/0/120/90/8c6c87dd9f4aa5e3dc1a41003eeadaea/13/ed76b63d09f664d06bd95e4dce5ddd64/261004013.JPG","N236250","Land Only","S","LOT A SHARPE ROAD","Fraser Lake",,,,,,,,"Allowed Access",,,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"At Lot Line","11/30/2014",,"PHILLIP",,,"$0.00",,,"Yes",,"5/21/2014","Not Available",,,,"029-034-701","House/Single Family","V0J 1S0","Yes - Agricultural Land Reserve","BC","Affordable acreage to build your home on. Enjoy the privacy of this 7.7 acre property. Acreage is mostly treed with poplar and offers access from both Sharpe and Simon Bay Road.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/9/2014","$15,000",,"0.75","10/10/2014",,,"H1","$19,900","No","141",,,"0.00","7.70","Vanderhoof Rural",,"0.58","House/Single Family"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261138539/0/120/90/d5a6ff23724e2a02ed008de8eee6655f/13/875138501d4b31792a0b3c0b69d07afa/261138539.JPG","N238289","Residential Detached","S","27 2454 GRANTS FRONTAGE ROAD","Vanderhoof - Town","1972","Manufactured","1",,,,,,"42",,"250-567-1555",,"Vanderhoof And Area (Zone 56)",,,"0","2",,,,"Vanderhoof","Residential Detached",,,"9000",,"Detached",,"10/31/2014",,"GERRY","Other","1","$146.00",,,,,"7/15/2014",,,"1",,"800-087-686",,"V0J 3A1",,"BC","Affordable and clean. This mobile home is located on a large lot in CJ's Park. The home has elecrtric heat with a newer wood heater. This 2 bedroom home has been well cared for and has a storage and wood shed in the back yard.","Foundation: cement pads.","BC Northern","For Sale",,,,,,,,,"10/10/2014","$20,000","$24.04","0.80","10/22/2014","1","2","R-7","$24,900",,"87",,"832","0.00","0.00","Vanderhoof","$24.04","0.74","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260893814/0/120/90/86f48c44742ff60f397926e1b9582a0e/13/204017664251bcea8e6ea4537fd8ba63/260893814.JPG","N234688","Land Only","S","4808 KITWANGA DRIVE","108 Ranch",,,,,,,,"Road Access",,,"250-395-0685",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"At Lot Line","10/31/2014",,"DIANE COBER",,,"$390.00",,,"Yes",,"4/4/2014","Available",,,,"007-958-609","House/Single Family","V0K 2Z0","No","BC","108 lot for sale on Kitwanga Drive. The lot is level and close to all the amenities. Just a short walk to the west beach and boat launch on the 108 lake. Natural gas, water, high-speed internet available. L 6976",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","10/8/2014","$24,000",,"0.80","10/8/2014",,,"R1-1","$29,900","No","187","200",,"130.00","0.57","Williams Lake Rural",,"0.80","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261224918/0/120/90/d5c2c356a193d09446d136b585ea85f8/15/18952515f44dd3667a2a3c8332027105/261224918.JPG","F1421551","Residential Detached","S","248 1840 160 STREET","King George Corridor","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"South Surrey White Rock",,,"0","4",,,,"Surrey","Residential Detached",,"BREAKAWAY BAYS","39650",,"Detached",,"12/2/2014",,"LES WELLMAN","Concrete Block","1","$193.00",,,,,"9/2/2014",,,"1",,"900-572-382",,"V4A 4X4",,"BC","Breakaway Bays. 3 Bdrm double wide in Family park, 2 small pets ok. F/S and window coverings. The home had a electronic upgrade in Aug.2014 with a electronic inspectors certificate label. Pad Rent currently 915 and going to 925 in Nov. 2014 it includes Electricity, water, sewer, garbage and taxes on the land. You and 5 minutes to beach and US border. Clubhouse, Pool, Exercise room, Activity Centre, library and more.","This home requires some TLC.","Fraser Valley","For Sale",,,,,,,,,"10/12/2014","$25,000","$20.83","0.63","10/24/2014","1","4","MHP","$39,900",,"40",,"1,200","0.00","0.00","Surrey","$20.83","0.56","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260743185/0/120/90/5f0190161fe8aedb0d7d4232462a549f/15/8f35f6c356f9f62ac77f6de2a1fa38b5/260743185.JPG","F1401893","Residential Detached","S","112 3300 HORN STREET","Central Abbotsford","1978","Manufactured","1",,,,,,"36",,"604-835-4436",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"Georgia Park","22730",,"Detached",,"12/31/2014",,"ROB K","Other","1","$291.00",,,,,"1/22/2014",,,"1",,"900-569-846",,"V2S 7Y6",,"BC","Welcome home to Georgian Park. This centrally located adult park is close to all amenities yet still offers quiet peaceful living. This updated home has 2 bedrooms and 1 bath with newer high efficiency furnace, hot water tank, newly installed vinyl windows, appliances, and roof and has recently been repainted. There is a large covered balcony as well as a spacious 5 year old wired shed for additional storage and work space. This location in the park is ideal and is a great place to call home. Call today, This is the lowest price in the park and won't last.","Park Approval Required. Age restricted 55+. If sold for a full price by the end of September, the seller will pay 3 months pad rent for the buyer.","Fraser Valley","For Sale",,,,,,,,,"10/8/2014","$30,000","$38.96","0.81","10/20/2014","1","2","RH1","$37,000",,"259",,"770","0.00","0.00","Abbotsford","$38.96","0.75","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260992072/0/120/90/dafc4713bfac656ce76a1af1e516f19c/13/768c1a3bd6914cfd998963f8448e8cff/260992072.JPG","N236096","Residential Detached","S","18319 CINEMA ROAD","Quesnel - Rural North","1992","House/Single Family","1",,,,,,"22",,"250-991-9063",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"CINEMA",,,"Detached",,"12/31/2014",,"BOBBI","Concrete Perimeter","1","$555.00",,,,,"5/19/2014",,,"1",,"009-186-972",,"V0K 1S1",,"BC","Very affordable 2 bdrm rancher on 1/2 an acre by Cinema store, close to Dunkley & Pinnacle Pellet. Interior is very neat and clean, comes with 5 appliances. Outside needs TLC. Large shop to accommodate the fixer upper or car mechanic in you . Call LS today.","Gravity fed water, source unknown. Water is shut off at the house. Septic needs attention. Sold as is - where is.","BC Northern","For Sale",,,,,,,,,"10/8/2014","$35,000","$31.25","0.78","10/9/2014","1","2","R2","$44,900",,"142",,"1,120","0.00","0.46","Quesnel Rural","$31.25","0.54","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261269284/0/120/90/f6ba2bf18b7cec9d44fe7a89863f7411/15/d4ae26793aad205a09929da6a674275e/261269284.JPG","F1423330","Residential Detached","S","70 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"39",,"604-315-5759",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","53998",,"Detached",,"12/1/2014",,"KRYSTYNA WATTS","Concrete Slab","1","$214.00",,,,,"9/19/2014",,,"1",,"900-572-567",,"V3W 5Y4",,"BC","Crispen Bays - popular non age restrictive family park - three bedrooms, double wide over 1100 sq ft. recent reno's include updated white detailing kitchen, all light fixtures, lower usage power LED lighting, external entry hot water tank in 2010, den/3rd bedroom has sliding doors and custom built cabinetry/bookshelf, 'full' bathroom has large tiled shower and deep bath tub, newer gutters and torch-on roof, exterior is vinyl brick-like design, underneath home is solid panel membrane for better insulation. Two sm pets ok - close to all amenities ie shopping, transit, club house and outdoor pool - Tenanted - please allow 24 hrs notice.","Measurements approximate - vacant - out of province seller. Motivated.","Fraser Valley","For Sale",,,,,,,,,"10/6/2014","$35,000","$30.38","0.90","11/24/2014","1","3","MHP","$39,000",,"17",,"1,152",,"0.00","Surrey","$30.38","0.90","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261102893/0/120/90/b4ce6157d6b8a6231ff61a0c0ba6c12b/14/4b6e1eaa8fcc9ef74be033799e3bb2d2/261102893.JPG","H1402807","Residential Detached","S","8 6900 INKMAN ROAD","Agassiz","1978","Manufactured","1",,,,,,"36",,"604-792-0077",,"Agassiz",,,"0","3",,,,"Agassiz","Residential Detached",,"Continental Trailer Park","287034",,"Detached",,"10/31/2014",,"Diane Jacobi","Concrete Slab","2","$244.00",,,,,"7/4/2014",,,"1",,"700-002-125",,"V0M 1A1",,"BC","This well priced spacious unit is the one for you! With loads of natural light and lots of space inside and out this is a good spot to call home. Covered decks, carport and fenced back yard with a spectacular view of Mt. Cheam await you. See this unit today!","Measurements approximate. Please verify if deemed necessary.","Chilliwack","For Sale",,,,,,,,,"10/11/2014","$36,000","$32.03","0.84","10/27/2014","2","3","R4","$42,900",,"99",,"1,124","0.00","0.00","Chilliwack","$32.03","0.80","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260827414/0/120/90/32888ba8e633894a6a0ad654d6ace460/16/233bf174059e08e9c7aca8f162468035/260827414.JPG","V1051687","Residential Detached","S","8 39884 GOVERNMENT ROAD","Northyards","1974","Manufactured","1",,,,,,"40",,"604-892-6334","2005","Squamish",,,"0","2",,,,"Squamish","Residential Detached",,"Sousters Trailer Park","6535",,"Detached",,"10/31/2014",,"Christina or Christine","Concrete Block","1","$446.00",,,,,"3/8/2014",,,"1",,"800-084-306",,"V8B 0A7",,"BC","Great value in this spacious, two bedroom double-wide mobile home with a large south-facing deck and yard area. Laminate flooring has been installed in the main living area and most of the rooms have been freshly painted. The main bedroom features a walk-in closet and the living room has an electric fireplace.","Roof, propane forced- air furnace and h/w tank are 9 yrs. old. MHR# 029324","Greater Vancouver","For Sale",,,,,,,,,"10/6/2014","$40,000","$41.67","0.95","10/20/2014","1","2","RM1","$42,000",,"212",,"960","0.00","0.00","Dist. of Squamish","$41.67","0.82","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261270487/0/120/90/32703b2febc12ba847fc084db745aa22/13/8e073a8e3b085d7d1f21353bfe7c85dd/261270487.JPG","N239975","Residential Detached","S","1324 7TH AVENUE","Valemount - Town","9999","House/Single Family","1",,,,,,"999",,"250-566-4438",,"Robson Valley (Zone 81)",,,"0","1",,,,"Valemount","Residential Detached",,,,,"Detached",,"9/30/2015",,"JOHN PETERSON","Concrete Perimeter","1","$1,494.00",,,,,"9/21/2014",,,"1",,"012-344-435",,"V0E 2Z0",,"BC","Approximately 1,038 sq ft, 2 bedroom home. Propane/forced air/wood heat. Includes fridge, stove, washer and dryer. Lot is approximately 8,880 sq ft. Centrally located.","Selling in AS IS condition.","BC Northern","For Sale",,,,,,,,,"10/7/2014","$40,000","$38.54","0.89","10/21/2014","1","1","R1","$45,000",,"16",,"1,038","0.00","0.20","Valemount","$38.54","0.89","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261307830/0/120/90/c2be8238ddf313d76f60220ba210402a/15/82927966baf8c14646ccb74f57fb72eb/261307830.JPG","F1424702","Residential Detached","S","249 1840 160TH STREET","King George Corridor","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"BREAKAWAY BAYS","1213185",,"Detached",,"12/15/2014",,"LES WELLMAN","Concrete Block","1",,,,,,"10/4/2014",,,"1",,"900-572-750",,"N0N 0N0",,"BC","Breakaway Bays. 5 minutes to White Rock Beach for Fish & Chips or 5 minutes to Blaine USA for cheap milk and gas. Totally renovated mobile with island in center of kitchen with sink. Loads of natural light, newer fixtures. Pad rent $908 inc ludes electricity, water, sewer, garbage and taxes on the land. Family park and small pets ok (2 pets ok). Pool, clubhouse, activity center, exercise room and walkway thru center of park.",,"Fraser Valley","For Sale",,,,,,,,,"10/6/2014","$41,000","$56.94","0.91","10/29/2014","1","2","MHP","$45,000",,"2",,"720","0.00","0.00","Surrey","$56.94","0.91","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261036603/0/120/90/5ec2bcee309a273a1967a7b762623ca6/13/f5d1ffdbb9b9a42fb8d6fbf2d60495cd/261036603.JPG","N236716","Residential Detached","S","141 1000 INVERNESS ROAD","Aberdeen PG","1989","Manufactured","1",,,,,,"25",,"250-565-4663",,"PG City North (Zone 73)",,,"0","3",,,,"Prince George","Residential Detached",,"INVER MOBILE ESTATES","CSA 454501",,"Detached",,"3/31/2015",,"GORDON","Preserved Wood","1","$572.00",,,,,"6/3/2014",,,"1",,"800-086-618",,"V2K 4V1",,"BC","Manufactured Home with 10 x 18 addtion located in the desirable Inver Mobile Estates. 3 bedrooms/1 bath , with recent updates. New counter tops, furnance, laminate floors and fresh paint. Includes Fridge/stove/washer/dryer/dishwasher. Nicely-landscaped yard, corner lot. Storage shed also included. Shows very well. Immedaite possession. Call Gord for showing. 250-565-4663","Unit is vacant and can be shown anytime. Contact listing broker for park rules and regulations.","BC Northern","For Sale",,,,,,,,,"10/11/2014","$42,000","$37.74","0.92","10/31/2014","1","3","RS5","$45,900",,"130","100","1,113","45.00","0.00","City of Prince George","$37.74","0.88","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261128368/0/120/90/50835c56428824239e15afe28a3e9b73/15/4405a62db8ea87584da8a81886ec2af7/261128368.JPG","H1402986","Residential Attached","S","202 9282 HAZEL STREET","Chilliwack E Young-Yale","1982","Apartment/Condo","1",,,,,,"32",,"604-557-8229",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,"HAZELWOOD MANOR",,,"Attached",,"2/14/2015",,"MAUREEN","Concrete Perimeter","1","$525.00",,,,,"7/14/2014",,,"1",,"008-041-202",,"V2P 5N6",,"BC","Welcome to Hazelwood Manor - an investor friendly building located in the heart of Chilliwack within walking distance of transit & shopping. West facing for plenty of light - this newly vacant 2nd floor, 1 bed/1 bath unit has been freshly p ainted & has brand new carpets. The building has no rental restrictions or age restrictions - & allows no pets. There was a new roof in 2011 & 1 boiler was replaced in 2012. Similar units rent for $550 + hydro (unit has electric heat). Vacant & easy to view. Call today to schedule your private tour.","See attachments for bylaws. Parking lot & storage locker assigned by caretaker upon possession. Laundry & storage off main lobby. Strata replacing heat register in living room.","Chilliwack","For Sale",,"3",,"$217.05",,,,,"10/9/2014","$43,000","$74.01","0.86","10/15/2014","1","1","R5","$49,900",,"87",,"581",,"0.00","Chilliwack","$74.01","0.78","Apartment/Condo"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260913753/0/120/90/fd50aaedb4f627b09452d77b6ef95d43/15/25321a009e599e7dca16a59e5661728e/260913753.JPG","H1401502","Residential Attached","S","108 9282 HAZEL STREET","Chilliwack E Young-Yale","1982","Apartment/Condo","1",,,,,,"32",,"604-855-0800",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,"HAZELWOOD MANOR",,,"Attached",,"6/30/2015",,"MIKE/LISA","Concrete Perimeter","1","$525.00",,,,,"4/16/2014",,,"1",,"008-041-121",,"V2P 5N6",,"BC","1 bdrm (East facing) in fully rentable Hazelwood Manor. Walk to transit & downtown shopping. Building had a new roof in 2011. Similar units rent out for $550 + hydro. Unit has electric heat. Shared laundry in building. Vacant & easy to show .","Measurements are approx & should be verified if important.","Chilliwack","For Sale",,"3",,"$217.05",,,,,"10/13/2014","$46,000","$79.17","0.86","10/24/2014","1","1","R5","$53,500",,"180",,"581",,"0.00","Chilliwack","$79.17","0.84","Apartment/Condo"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261123124/0/120/90/33bf68f34de49f6271a54e4f020be2dd/13/5fd39b5622fcb15f3cb8e4e89fa5fd95/261123124.JPG","N238109","Residential Detached","S","31 3624 OLD LAKELSE LAKE ROAD","Thornhill","1971","Manufactured","1",,,,,,"43",,"250-631-6769",,"Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"WOODLAND HEIGHT","32340",,"Detached",,"10/11/2014",,"JOHN BAILEY","Other","1","$312.00",,,,,"7/11/2014",,,"1",,"800-087-555",,"V8G 5A7",,"BC","Looking for a quiet starter home? Combined with lower than average pad fees, this home is priced right for someone looking to get into the market for the first time. This 2 bedroom 1 bath home features many updates including newer cabinets, fridge and stove in the open concept kitchen/living room. Off the entrance is a large utility room perfect for storing bikes, ski gear, fishing gear or what have you. Down the hall is the bathroom and 2 bedrooms, the master featuring a huge walk in closet. The electrical system has recently been checked, serviced, and registered with the BC Safety Authority. Call today - this will not last!","Foundation: wood. Gas meter removed, hydro turned off.","BC Northern","For Sale",,,,,,,,,"10/6/2014","$50,000","$51.28","1.00","10/10/2014","1","2","MHP","$50,000",,"87",,"975","0.00","0.00","Terrace","$51.28","1.00","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260604320/0/120/90/ca86d3b63fe2c9e15b9f56fdf54dfcd7/13/580163d95e3d912cc3f88e462be7a8b4/260604320.JPG","N231741","Land Only","S","LOT 3 STOCKYARD ROAD","Lone Butte/Green Lk/Watch Lk",,,,,,,,"Road Access",,,"250-593-2253",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lone Butte","Land",,,,"No",,"Available","10/15/2015",,"MARTIN",,,"$570.00",,,"Yes",,"10/22/2013","Available",,,,"028-839-951","House/Single Family","V0K 1X0","No","BC","Great central location! Walking distance to all amenities in Lone Butte. Just off Hwy 24 and only 10 minutes to 100 Mile House. Paved road access, hydro, gas and driveway already in. Parklike level and lightly treed property. Best priced developed 5 acre parcel in the area. Adjacent lots also available.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/12/2014","$52,500",,"0.88","10/29/2014",,,"RR2","$59,900","Not Known","355",,,"0.00","5.02","Williams Lake Rural",,"0.88","House/Single Family"
