"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260229617/0/120/90/eb9b0d22453077a42caa3017dc42fac0/13/7f8499a1002b2700fd1041787b40eb74/260229617.JPG","N226772","Land Only","S","LOT 26 SARGENT CRESCENT","Hazelton",,,,,,,,"Road Access",,,"250-847-0335",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"New Hazelton","Land",,,,"No",,"Available","4/30/2014",,"RON LAPADAT",,,"$403.00",,,"No",,"4/26/2013","Not Available",,,,"005-696-691","House/Single Family","V0J 2J0","No","BC","Beautiful 0.36 acre residential lot in scenic New Hazelton. Located on a paved road near hiking trail and features a year round creek. Municipal sewer and water are at the lot line. Buyer to confirm building approval with the District of Ne w Hazelton.","Buyers to confirm building location on the property per set back requirements fo r creek.","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","3/26/2014","$6,500",,"0.87","4/23/2014",,,"R1","$7,500",,"334",,,"0.00","0.36","New Hazelton",,"0.54","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260688899/0/120/90/f7f762595d2c4de055dd353b04fe0ab8/13/272637089794e6a3a1c76094f91b4f52/260688899.JPG","N232553","Land Only","S","1 2095 KELWAY ROAD","Burns Lake - Rural East",,,,,,,,"Road Access",,,"250-692-7288",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"At Lot Line","12/10/2014",,"RE/MAX WRIGHTWAY",,,"$154.00",,,"Yes",,"12/10/2013","Nearby",,,,"011-636-653","House/Single Family","V0J 1E0","No","BC","Treed lot located 1 km east of Burns Lake at the junction of Kelway Road and Highway 16. Existing mobile home has no value other than salvage. Small wetland in south eastern corner of property, the remainder is nicely covered in mature fore st. Flat piece of Canada awaits your ideas. Investigate today.",,"BC Northern","For Sale","Nearby",,"None",,"No",,,"None","3/24/2014","$7,500",,"0.30","5/14/2014",,,"H1","$25,000",,"104",,,"0.00","0.97","Houston Rural",,"0.30","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260710983/0/120/90/3e8a4534489bd53b7b9f96d1abb98cbe/13/907c08b0a89046a68a2e655444d5a83a/260710983.JPG","N232721","Land Only","S","1175 OMEGA ROAD","Quesnel - Rural North",,,,,,,,"Road Access",,,,,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","4/30/2014",,,,,"$131.00",,,"Yes",,"1/4/2014","At Lot Line",,,,"011-304-987",,"V2J 6V5","No","BC","Great 0.92 acre lot in a quiet area that the seller has priced to sell. Level and well treed for privacy with access to natural gas. Listed below assessed value.","4400","BC Northern","For Sale","None",,"None",,"No",,,"None","3/29/2014","$9,500",,"0.96","4/3/2014",,,"RR3","$9,900",,"84",,,"0.00","0.92","Quesnel Rural",,"0.96","Other"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260716509/0/120/90/3512e069acb283cd9e44988520dff0b3/13/a20369ff6a9abfaa2a97fff81cec09df/260716509.JPG","N232768","Residential Detached","S","146 5130 N NECHAKO ROAD","Nechako Bench","1973","Manufactured","1",,,,,,"41",,"250-563-1000",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,,"38928",,"Detached",,"10/6/2014",,"KEVEN","Other","1","$209.00",,,,,"1/6/2014",,,"1",,"800-082-811",,"V2K 4W1",,"BC","Enjoy all the benefits of living in North Nechako! Close to downtown, but still close to other places like the Wilson Park river trails, Otway Nordic Centre, mountain biking trails and tons of running/walking trails! What a steal of a deal for it's great location! Updated flooring, laminate in the main living area, inviting colours, handy carport, new furnace to keep you cozy and warm with affordable Nat. gas bills.",,"BC Northern","For Sale",,,,,,,,,"3/29/2014","$15,000","$20.16","0.84","4/4/2014","1","2","MHP1","$17,900",,"82",,"744","0.00","0.00","City of Prince George","$20.16","0.84","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260771093/0/120/90/cca536cecea7b6a48917673993cc9a53/16/37100e8de9bc8415d4d9d4de2ea0c042/260771093.JPG","V1046621","Residential Detached","S","9 5294 SELMA PARK ROAD","Sechelt District","1968","Manufactured","1",,,,,,"46",,"604-885-4313",,"Sunshine Coast",,,"0","1",,,,"Sechelt","Residential Detached",,"SELMA VISTA MOBILE HOME PARK","52",,"Detached",,"7/31/2014",,"ARCHIE MACLEAN","Concrete Block","1","$125.00",,,,,"2/7/2014",,,"1",,"800-083-625",,"V0N 3A2",,"BC","Excellent opportunity to get into the real estate market here. Absolutely the best bang for your buck for this clean and tidy 1 bedroom plus den/office. Located just outside Sechelt and close to public transportation and all of Sechelt's am enities, including Capilano University. Beach and boat launch just a few blocks away. Trailer has a small ocean view and is bright and sunny. Excellent possibility for appreciation here, with just a little sweat equity and a little TLC, this could bring a great return on investment.",,"Greater Vancouver","For Sale",,,,,,,,,"3/29/2014","$15,000","$24.19","0.79","4/16/2014","1","1","R5","$18,900",,"50",,"620","0.00","0.00","Sechelt Rural","$24.19","0.79","Manufactured"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260447569/0/120/90/345091702ddb0ce72eb85f83eac3a7ac/15/e07599275986fe251a700e18097a0ff2/260447569.JPG","F1318593","Residential Detached","S","22 2035 MARTENS STREET","Poplar","1983","Manufactured","1",,,,,,"30",,"604-308-5715",,"Abbotsford",,,,"2",,,,"Abbotsford","Residential Detached",,,"421188",,"Detached",,"5/1/2014",,"Mike","Concrete Slab","1","$100.00",,,,,"8/1/2013",,,"1",,"900-568-251",,"V2T 6M3",,"BC","Maplewood Estates is a senior park, must be age 55. Large 10 by 23 feet covered deck. Roof is about 6 years. Furnace is new. Quick possession possible. Pad rent $630. No Pets. Park approval needed. Close to Clearbrook Road & # 1 Freeway In terchange, Tim Hortons Coffee Shop.",,"Fraser Valley","For Sale",,,,,,,,,"3/24/2014","$19,000","$19.39","0.76","4/9/2014","1","2","MHP","$25,000",,"235",,"980","0.00","0.00","Abbotsford","$19.39","0.54","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260643719/0/120/90/63c298e0d79af1b957d958c56b619fc1/15/3df89c29a2323aa67afb6220b1f7c187/260643719.JPG","H1304238","Residential Detached","S","122 3942 COLUMBIA VALLEY ROAD","Cultus Lake","1991","Manufactured","1",,,,,,"22",,"800-668-8661",,"Cultus Lake",,,"0","2",,,,"Cultus Lake","Residential Detached",,"CULTUS LAKE VILLAGE","431396",,"Detached",,"9/30/2014",,"CAROLE OR TOUCHBASE","Concrete Slab","1","$200.00",,,,,"11/6/2013",,,"1",,"700-001-439",,"V2R 5B3",,"BC","Owners says sell! Nice & tidy 2 bedroom mobile home in great park location. Newer appliances, air conditioning. Front and back access for parking. Call realtor for access. Immediate occupancy. Dogs allowed up to 14 at shoulder. Park ap proval required. Detached shop - Approx 8 ft X 8 ft.",,"Chilliwack","For Sale",,,,,,,,,"3/30/2014","$22,400","$28.57","0.90","4/7/2014","1","2","RMH","$24,900",,"144","0","784","0.00","0.00","Chilliwack","$28.57","0.75","Manufactured"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260310915/0/120/90/28e9626f361d48a3f93675a63e92275e/13/56d8a386d8077a9a6ccb62974a929030/260310915.JPG","N228072","Land Only","S","24898 SHERATON SUB'D ROAD","Burns Lake - Rural East",,,,,,,,"Road Access",,,"250-692-3530",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"At Lot Line","6/4/2014",,"DENNIS BOCK",,,"$203.00",,,"No",,"6/4/2013","Not Available",,,,"007-828-918","House/Single Family","V0J 1E3","No","BC","One acre lot with a well and septic field that at one time serviced the manufactured home. The manufactured home was removed 9 years ago. A 24x40 shop with a metal roof is still on the property. The pole for the electrical is still on the p roperty. The yard has a driveway and is landscaped and ready for a dwelling.",,"BC Northern","For Sale","Septic",,"None",,"No",,,"Well - Shallow","3/26/2014","$25,000",,"0.84","4/22/2014",,,"H2","$29,900","No","295",,,"0.00","1.03","Houston Rural",,"0.84","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260716085/0/120/90/f3e7dfae9b1bb3ef70fac86811298212/15/d7a9280aa071777d163040f6e928a8b4/260716085.JPG","F1400643","Land Only","S","190 8400 SHOOK ROAD","Hatzic",,,,,,,,"Road Access",,,"604-820-0555",,"Mission",,,,,"No","Not Available",,"Mission","Land",,"The Everglades Resort Hatzic Lake",,"No",,"Available","1/8/2015",,"Nancy Olson",,,"$1,503.00",,,"Yes",,"1/8/2014","Not Available",,,,"900-569-708","Recreational","V2V 7L3","No","BC","GREAT DEAL AT THE EVERGLADES LAKE RESORT - Nice hedged lot in a gated community at Hatzic Lake. Own your own recreation lot only 1 hour from Vancouver. Enjoy swimming, boating, water skiing, fishing at this gated Community. Close to golfing and snow skiing as well. Won't last at this price!","Flood plain and users interest in land, call Listing Realtor for more info.","Fraser Valley","For Sale","Community",,"Nearby",,"No",,,"None","3/26/2014","$32,500","$26.00","0.93","3/28/2014",,,"REC","$34,900","No","77","50",,"45.00","0.03","Mission","$26.00","0.93","Recreational"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260722550/0/120/90/d49758bf871eb280955dce32d38fdabc/13/0f84849afc84ff3a125deee390f43707/260722550.JPG","N232820","Land Only","S","LOT 17 114TH AVENUE","Fort St. John - City NE",,,,,,,,"No Access",,,,,"Fort St. John (Zone 60)",,,,,"No","Not Available",,"Fort St. John","Land",,,,"No",,"None Available","1/8/2015",,"TOUCHBASE ONLY",,,"$213.00",,,"No",,"1/8/2014","Not Available",,,,"013-341-073",,"V1J 2R4","No","BC","Great potential investment property. Site zoned for duplex or house with legal suite. A lot priced this affordable in Fort St John is a rare find. Desirable north end location. Lot is in pre-development stage and requires access and all services. Buyer will have to wait for further development. Don't wait call today!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","3/25/2014","$34,000","$3.33","0.85","4/23/2014",,,"R2","$40,000",,"76","150",,"68.17","0.24","Fort St John","$3.33","0.85","Other"
