"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260328163/0/120/90/51768874d53182fc5986273e3c81be96/15/5bc3d6d472480d239503a113e625d87e/260328163.JPG","F1314065","Residential Detached","S","183 1840 160 STREET","King George Corridor","1975","Manufactured","1",,,,,,"38",,"604-583-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","150865",,"Detached",,"3/15/2014",,"Les Wellman","Concrete Block","1","$120.00",,,,,"6/10/2013",,,"1",,"900-567-555",,"V4A 4X4",,"BC","Breakaway Bays 2 Bedroom on quiet cul de sac, back yard fenced, small pet ok. Family park. Vacant, all appliances included. New counter tops. Pad Rent of $858 includes electricity, water, sewer, garbage and taxes on the land. 5 minutes to White Rock Beach and US Border. On bus route. Complex has a pool, clubhouse, activity center and exercise room. Double glazed front room windows.","Leswellman@shaw.ca","Fraser Valley","For Sale",,,,,,,,,"1/29/2014","$14,000","$16.24","0.70","2/4/2014","1","2","MHP","$19,900",,"233",,"862","0.00","0.00","Surrey","$16.24","0.70","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260675126/0/120/90/63636d1b345568c8df36561ce52598f6/13/b99d3c784c62b87f4ccc627ade0cd2ca/260675126.JPG","N232422","Land Only","S","LOT 6 GLENEAGLE ROAD","Shelley",,,,,,,,"Road Access",,,"250-613-8777",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"At Lot Line","1/1/2015",,"ROLF OR STEVE",,,"$216.00",,,"Yes",,"11/27/2013","At Lot Line",,,,"004-142-713","House/Single Family","V2K 5G1","Yes - Agricultural Land Reserve","BC","Rectangular 6.95 acre sloping lot which would be well suited for a walk-out basement. Short distance to golf course, outdoor recreation and Fraser River. Shared well and on a quiet country road.",,"BC Northern","For Sale","None",,"None",,"No",,,"Well - Drilled","1/27/2014","$19,000",,"0.83","1/30/2014",,,"RR1","$22,900","Not Known","61",,,"0.00","6.95","Prince George Rural",,"0.83","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260563716/0/120/90/472f87977f51f0d0bf6ff797fe4b930a/14/4be542c5ddd40033b2b6d948e90c754c/260563716.JPG","H1303808","Residential Detached","S","59 45640 WATSON ROAD","Vedder S Watson-Promontory","1974","Manufactured","1",,,,,,"39",,"604-819-3579",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"WESTWOOD","208681",,"Detached",,"3/2/2014",,"JIM","Concrete Block","1","$163.00",,,,,"9/25/2013",,,"1",,"745-640-460",,"V2R 2H1",,"BC","Very affordable home, two good sized bedrooms, also 15x7 flex area which could be another bedroom, family room, kids play area or ?? Close to shopping and bus route. Has two large storage sheds and 12x7 covered deck.","Buyer to confirm measurements if important.","Chilliwack","For Sale",,,,,,,,,"2/1/2014","$19,000","$22.75","0.80","2/24/2014","1","2","RMH","$23,900",,"129",,"835","0.00","0.00","Chilliwack","$22.75","0.71","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260332002/0/120/90/da88db7841471dd2cbf7f281b0ecb896/13/dba3d281030dd565995f1334490e7db1/260332002.JPG","N228353","Residential Attached","S","2018 HEMLOCK CRESCENT","Masset","9999","1/2 Duplex","1",,,,,,"999",,"250-622-7653",,"Prince Rupert (Zone 52)",,,"0","4",,,,"Masset","Residential Attached",,,,,"Attached",,"6/9/2014",,"DOROTHY WHARTON","Concrete Slab","1","$951.00",,,,,"6/10/2013",,,"3",,"024-082-708",,"V0T 1M0",,"BC","Half duplex on 4682 sq ft lot, located centrally in a quiet cul-de-sac; 4 bedrooms, 1 1/2 baths. Home requires renovations - great for the handy person to hone their skills.","This unit is in need of maintenance & repair. There is visible mold noted in var ious locations, including the kitchen & upper bathroom.","BC Northern","For Sale",,,,,,,,,"1/31/2014","$21,000","$11.71","1.05","2/11/2014","2","4","R1","$20,000",,"235",,"1,794","0.00","0.11","Masset","$11.71","1.05","1/2 Duplex"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260729371/0/120/90/d6bb6357cb1b43201c05b58bd78b9f51/16/f685a87b35273475e0d74d2ccacbda34/260729371.JPG","F1401318","Residential Detached","S","32 9267 SHOOK ROAD","Hatzic","1971","Manufactured","1",,,,,,"43",,"778-808-2218",,"Mission",,,"0","4",,,,"Mission","Residential Detached",,"GREEN ACRES","26113",,"Detached",,"9/1/2014",,"KYLE","Other","1","$70.00",,,,,"1/4/2014",,,"1",,"900-569-778",,"V2V 7M3",,"BC","Living at Hatzic Lake. 4 bedroom and mud room in quiet area of park. Boat, swim, water ski, or just enjoy nature at it's best. Large rooms & fenced yard complete with detached shed/workshop. Recent updates include 400 sq ft addition, fresh paint, wide plank floors and mud room.",,"Fraser Valley","For Sale",,,,,,,,,"2/1/2014","$30,000","$24.19","0.77","2/24/2014","1","4","MHP","$39,000",,"28",,"1,240","0.00","0.00","Mission","$24.19","0.77","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260093708/0/120/90/04f3e1ab98de32bac93dfd8534cb6c99/13/24c5cc2c6bcc1bb3919166abf409887d/260093708.JPG","N225093","Land Only","S","LOT B CANIM-HENDRIX LAKE ROAD","Forest Grove",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Forest Grove","Land",,"BUFFALO CREEK",,"Yes",,"Available","2/28/2014",,"DARREL WARMAN",,,"$144.00",,,"Yes",,"2/27/2013","Not Available",,,,"002-943-701","Other","V0K 1M0","Yes - Agricultural Land Reserve","BC","Zoning is RR3 and allows for far more than just a residence here. Perfect location for a portable sawmill, agri-tourism venture, agricultural operations, firehall, church, Bed and Breakfast to name a few. Just minutes from 100 Mile House, E ast out the Canim-Hendrix Lake Road. This lot would also make an ideal recreational get-away. 2.01 acres at a reasonable price, call today for more details!","RR3 zoned allows for many other purposes.","BC Northern","For Sale","None",,"None",,"No",,,"None","1/28/2014","$30,500",,"0.76","2/6/2014",,,"RR3","$39,900","No","335",,,"0.00","2.01","Williams Lake Rural",,"0.76","Other"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260199171/0/120/90/d500ec7ac398b65e2155574baed56b17/14/8173138ae287e7f0896f482fcfcc5de4/260199171.JPG","H1301505","Residential Detached","S","36 6035 VEDDER ROAD","Sardis West Vedder Rd","1972","Manufactured","1",,,,,,"41",,"604-819-1664",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"SELOMAS MHP","36950",,"Detached",,"6/30/2014",,"DOUG","Other","1","$366.00",,,,,"4/16/2013",,,"1",,"700-001-589",,"V2R 1E5",,"BC","Lots of upgrades including roof, siding, some flooring, bathroom fixtures, furnace and more. 2 bedrooms, could be 3 if storage area was converted. Centrally located park with low pad rent within walking distance to all amenities and minute s to the Vedder River and Cultus Lake.",,"Chilliwack","For Sale",,,,,,,,,"2/2/2014","$34,500","$27.27","0.92","2/19/2014","2","2","MHP","$37,500",,"292",,"1,265","0.00","0.00","Chilliwack","$27.27","0.79","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260173643/0/120/90/00f6e50b077bb56eaa671728bc498ea8/16/48057c9c8e4a863f05df7d68870569da/260173643.JPG","V999973","Residential Detached","S","37 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","1968","Manufactured","1",,,,,,"45",,"604-741-2240",,"Sunshine Coast",,,"0","2",,,,"Gibsons","Residential Detached",,"POPLARS ESTATES","3144P",,"Detached",,"5/1/2014",,"TEXT OR CALL FRAN","Other","1",,,,,,"4/5/2013",,,"1",,"800-067-814",,"V0N 1V5",,"BC","All cleaned up and ready to go! Come by and see this home's great potential: a large living room and master addition, open dining/kitchen/family room with wood stove. It's a great time to get into the market with a 1082 sf 2 bedroom home. There's also a good little workshop and storage area added onto back plus lots of yard around whole home that's partially fenced and private. So much better than renting, and this could be such a great investment for you. Owner is motivated and it's easy to show, so call listing realtor today.","Measurements are approximate, buyer to verify if important. Cleaned up and vacan t now.","Greater Vancouver","For Sale",,,,,,,,,"2/2/2014","$35,000","$32.35","0.78","2/25/2014","1","2","RMZ","$45,000",,"303",,"1,082",,"0.00","Gibsons","$32.35","0.50","Manufactured"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260644418/0/120/90/cad6f8a03e4aef0c8dbb2417c45e0044/15/f90e9f2757cd16e938a6ba831b13075f/260644418.JPG","F1325593","Residential Detached","S","42 9080 198TH STREET","Walnut Grove","1990","Manufactured","1",,,,,,"23",,"604-513-2300",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Forest Green Estates","71375",,"Detached",,"11/30/2014",,"Rosemary","Other","1","$307.00",,,,,"11/13/2013",,,"1",,"900-569-256",,"V1M 3A8",,"BC","Come on in, you will be pleasantly surprised! Spacious and inviting, this open floor plan offers large livingroom, party size kitchen with built in buffet and ample cabinets, double walk in shower and generous sized bedrooms. Covered deck o ffers year round use and yard pad ready for storage structure. Amenities include clubhouse, social activities, shared workshop, RV parking. This gated community is for those 55+ and 1 small pet; direct access to Walnut Grove shops and transit. Call soon, this good buy will soon be good bye!","*PRIVACY - DO NOT SOLICIT* quick possession possible. visit www.homesinlangley.ca for pix & tour","Fraser Valley","For Sale",,,,,,,,,"1/27/2014","$35,000","$37.88","0.89","2/7/2014","1","2","MH-1","$39,500",,"75",,"924","0.00","0.00","Langley","$37.88","0.82","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260255119/0/120/90/93435a72099253050ee495c68f82c142/13/3639320f50784fdd05b2dd83b70d33ed/260255119.JPG","N227236","Land Only","S","40 KALUM LAKE ROAD","Terrace - Northwest/Rosswood",,,,,,,,"Mixed",,,"250-638-1400",,"Terrace (Zone 88)",,,,,"No","Not Available",,"Terrace","Land",,"BENCH",,"No",,"Available","12/31/2014",,"JOHN",,,"$696.00",,,"No",,"5/10/2013","Available",,,,"023-638-796","House/Single Family","V8G 4R6","No","BC","R1 Zoned lot on the bench below Mountain Vista subdivision. Great price for just under 1.5 acres.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","1/30/2014","$40,000",,"0.80","2/4/2014",,,"R1","$49,900","No","265","0",,"0.00","1.48","Terrace",,"0.80","House/Single Family"
