"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260778755/0/120/90/4d462db465e8e834bacd8e980db5dbef/13/a890e1b94f0aaa1d922bb1fdf88ac605/260778755.JPG","N233337","Residential Detached","S","2 3642 HILBORN ROAD","Quesnel - Rural North","1978","Manufactured","1",,,,,,"36",,"250-991-9063","1995","Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,,"39748",,"Detached",,"5/12/2014",,"BOBBI","None","1","$180.00",,,,,"2/12/2014",,,"1",,"800-083-686",,"V2J 3P7",,"BC","A bargain for the Do-It-Yourself buyers! This 2 bdrm, 2 bath mobile with addition has a tone of potential. Bring your tools and imagination and turn this mobile into your home.","All offers must be accompanied by a Schedule A.","BC Northern","For Sale",,,,,,,,,"3/4/2014","$15,500","$14.62","1.11","3/7/2014","2","2","MHP","$14,000",,"20",,"1,060","0.00","0.00","Quesnel","$14.62","1.11","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260464586/0/120/90/6bba43ec9b0f3547b6ae4fd185884827/16/9e42491e9d132b7c22ea64226c3b91ff/260464586.JPG","V1022416","Residential Detached","S","18 201 CAYER STREET","Maillardville","9999","Manufactured","1",,,,,,"999",,"604-833-6814",,"Coquitlam",,,"0","1",,,,"Coquitlam","Residential Detached",,,"20625",,"Detached",,"7/31/2014",,"JOE KOGLER","Concrete Slab","1","$138.00",,,,,"8/13/2013",,,"1",,"800-079-013",,"V3K 2X8",,"BC","A great opportunity at this price. A very desirable complex with indoor pool, tennis court and clubhouse with weekly activities in clubhouse. Only short walk to Cineplex and Superstore. Two small pets allowed.","This one bedroom single wide in popular Wildwood Park features large lot, only steps away from indoor swimming pool and clubhouse.","Greater Vancouver","For Sale",,,,,,,,,"3/1/2014","$18,500","$26.62","0.82","4/11/2014","1","1","RES","$22,500",,"200",,"695","0.00","0.00","Coquitlam","$26.62","0.66","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260409488/0/120/90/3f0f8078ab35978e9fee6a5028eb364d/13/98be85d6b32e46b6ed96175840559bdf/260409488.JPG","N229424","Land Only","S","LOT 15 MICHELLE DRIVE","Bella Coola/Hagensborg",,,,,,,,"Road Access",,,"250-982-2314",,"Williams Lake (Zone 27)",,,,,"Yes","Not Available",,"Bella Coola","Land",,"SMITH SUBDIVISON",,"Yes",,"At Lot Line","7/15/2014",,"FAWN GUNDERSON",,,"$345.00",,,"No",,"7/15/2013","Not Available",,,,"001-441-876","House/Single Family","V0T 1H0","No","BC","Treed acre in private, quiet family friendly paved subdivision. Walking distance to park. 5 minutes to shopping. 20 minutes to downtown Bella Coola, 25 minutes to public wharf. Community well. Great potential for building site on a level lot with mountain views.",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","3/3/2014","$25,000",,"0.84","3/6/2014",,,"R2","$29,900","Not Known","231","208",,"208.00","1.00","Bella Coola Rural",,"0.84","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259842771/0/120/90/bbf61e39a8faeed2d24a14e9f75e8b22/13/ea15e6ed7630916fd3bef5934f5e9d31/259842771.JPG","N222994","Land Only","S","LT 40- 43 LEWIS DRIVE","Quesnel - Town",,,,,,,,"Allowed Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Available","4/11/2014",,"LESLIE OR CLAUDIA",,,"$335.00",,,"Yes",,"10/11/2012","Available",,,,"024-299-961","Other","V2J 5W2","No","BC","Developers take notice! Gated, adult oriented community, secure easy living! Several lots to choose from, being sold in blocks of four. Call for maps and full development package. 3981","Additional PID# 024-299-979, 987, 995 3981","BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","2/28/2014","$32,000","$12.34","0.64","4/23/2014",,,"RS1","$49,900","Not Known","505",,,"0.00","0.06","Quesnel","$12.34","0.64","Other"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260691286/0/120/90/9e5f1de6487b07d74f5dbeb7d2962e2f/16/6c467180c5480fa29ab80fd8cd27c284/260691286.JPG","V1039065","Residential Detached","S","35 21163 LOUGHEED HIGHWAY","Southwest Maple Ridge","1970","Manufactured","1",,,,,,"43",,,,"Maple Ridge",,,"0","2",,,,"Maple Ridge","Residential Detached",,"VAL MARIA","31",,"Detached",,"12/31/2014",,"TOUCHBASE","Concrete Block","1",,,,,,"12/13/2013",,,"1",,"800-082-418",,"V2X 2R4",,"BC","Val Maria - 55 yrs + Adult mobile home park in West Maple Ridge near transit, shopping, parks. Partially updated with partial new skirt 2013, new laundry floor 2013, newer blinds, newer pitch roof, 2 bdrms, 6' x 18' addition, full size laundry machines, shed & nice rear yard.","No Pet Restrictions but any pets must be approved by the park manager","Greater Vancouver","For Sale",,,,,,,,,"3/5/2014","$38,750","$48.93","0.92","3/25/2014","1","2","MANUF","$42,000",,"82",,"792","0.00","0.00","Maple Ridge","$48.93","0.92","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260772018/0/120/90/29d548098978b4524dfca63a530281f9/14/1a28796f6f4b2853749de9f632b000e1/260772018.JPG","H1400521","Residential Attached","S","209 9282 HAZEL STREET","Chilliwack E Young-Yale","1980","Apartment/Condo","1",,,,,,"34",,"604-795-0280",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,,,,"Attached",,"8/5/2014",,"HANNE SELBY","Concrete Perimeter","1","$525.00",,,,,"2/9/2014",,,"1",,"008-041-270",,"V2P 5N6",,"BC","Great investment rental, in a well managed building. The renters have been there for some time and never late on rent, would like to stay.No age restrictions, pets with approval.","Please allow notice tenants","Chilliwack","For Sale",,,,"$217.05",,,,,"2/28/2014","$43,000","$74.01","0.89","3/12/2014","1","1","R5","$48,500",,"19",,"581","0.00","0.00","Chilliwack","$74.01","0.89","Apartment/Condo"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260673968/0/120/90/dc866da0c5dd5491097e3fea94703eb9/16/9c39a26948719a75ad343b48d35d13b1/260673968.JPG","V1037884","Residential Attached","S","522 4295 BLACKCOMB WAY","Whistler Village","1995","Apartment/Condo","1",,,,,,"18",,"604-932-0751",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"HOLIDAY INN",,,"Attached",,"12/31/2014",,"BRIGITTA","Concrete Perimeter","1","$1,178.00",,,,,"12/2/2013",,,"1",,"019-193-416",,"V0N 1B4",,"BC","Spacious, fully furnished deluxe Studio in the heart of Whistler Village, sleeps 4 and comes with full kitchen and in-suite washer/dryer. Phase II zoning allows personal owner usage up to 28 days in the winter and 28 days in the summer (which is almost every weekend), otherwise it will be rented out through the Hotel Management and owner earns his share of revenues. This complex is located in the heart of Whistler Village & close to the Whistler & Blackcomb gondolas, shops, and restaurants. Lowest priced Studio in the Holiday Inn and a great Investor-User opportunity. Call today for more details.","Call Brigitta to view, 604-932-0751. No PDS - Buyer to obtain information from Strata Management, owner never lived in the unit.","Greater Vancouver","For Sale",,,,"$440.00",,,,,"2/28/2014","$44,000","$94.22","0.90","3/4/2014","1","0","TA8","$49,000",,"88",,"467",,"0.00","Whistler","$94.22","0.80","Apartment/Condo"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260237281/0/120/90/789d3fe6971720a4a292f3627ea7fe13/13/2974b7e6f0bd81159f8f239795e0b67e/260237281.JPG","N226901","Residential Detached","S","21712 RAILWAY AVENUE","Topley","9999","House/Single Family","1",,,,,,"999",,"250-692-7288",,"Burns Lake (Zone 55)",,,"2","2",,,,"Burns Lake","Residential Detached",,,,,"Detached",,"4/26/2014",,"REMAX WRIGHTWAY","Concrete Perimeter","1","$618.00",,,,,"4/26/2013",,,"2",,"012-698-130",,"V0J 2Y0",,"BC","Well priced solid home in the small community of Topley. 1320 sq ft main floor with 2 bedrooms and 1 full bathroom complimented by a large country kitchen and living room with a 10x30 covered front deck. Full basement with 2 more bedrooms, large unfinished rec room and utility room. This older home needs a few finishing touches but is move in ready as well. Great for a family or an investment property.",,"BC Northern","For Sale",,,,,,,,,"3/4/2014","$50,000","$18.94","0.85","3/20/2014","1","4","R5","$59,000",,"312",,"2,640",,"0.33","Houston Rural","$18.94","0.85","House/Single Family"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260350726/0/120/90/407869fedd5edafbb9c537843cbd5197/13/27c2fe7c3fce7b09e4b6b071cd76b91a/260350726.JPG","N228655","Multifamily","S","1406 N KITWANGA ROAD","Kitwanga","9999","Duplex","1",,,,,,"999",,"250-635-9184",,"Smithers And Area (Zone 54)",,,"0","2",,,"N","Kitwanga","Multifamily",,,,,"Multi-Family Revenue (Max. 4 Units)",,"3/31/2014","No","LR","Concrete Block","1","$561.00",,,,,"6/19/2013",,,"1",,"006-365-221",,"V0J 1A0",,"BC","Great investment opportunity in Kitwanga, BC. This property consists of 2 duplexes set upon a 0.57 acre lot. One building has 2 one bedroom units that are presently rented out and the other is 2 two bedroom units which are vacant. Close to shopping.",,"BC Northern","For Sale",,,,,,,,,"3/8/2014","$50,000","$30.86","0.84","3/26/2014","1","2","R3","$59,900",,"262",,"1,620","0.00","0.57","Terrace Rural","$30.86","0.72","Duplex"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260403861/0/120/90/99525cf6c51e80f01f41673c957df3be/16/b361a791696ed4a3c536eaf8011a248c/260403861.JPG","V1017860","Land Only","S","LOT 98 KLAHANIE DRIVE","Sechelt District",,,,,,,,"Road Access",,,"604-885-4313",,"Sunshine Coast",,,,,"No","Not Available",,"Sechelt","Land",,,,"No",,"At Lot Line","3/31/2014",,"GORD CLAYTON",,,"$1,013.00",,,"No",,"7/12/2013","At Lot Line",,,,"003-249-174","House/Single Family","V0N 3A0","No","BC","A very affordable view potential lot in Sechelt's Sandy Hook subdivision. North facing and sloping lot will allow for a level entry home with a walk out basement. Perc test was successful in the past and likely to pass again. You can't be at this opportunity to get into the land market for building or just holding until the market has corrected. Contact the listing agent for more details.",,"Greater Vancouver","For Sale","Septic",,"None",,"No",,,"City/Municipal","3/5/2014","$54,000",,"0.98","3/14/2014",,,"R1","$54,900",,"236","129",,"58.00","0.17","Sechelt (Village)",,"0.70","House/Single Family"
