"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260675216/0/120/90/c7c87a98b974c935e9d05490b7b682ee/16/936f5ce15a103cb4f2ee8bc335610469/260675216.JPG","V1037999","Residential Detached","S","62 201 CAYER STREET","Maillardville","1973","Manufactured","1",,,,,,"40",,,,"Coquitlam",,,"0","1",,,,"Coquitlam","Residential Detached",,"Wildwood Park","37106",,"Detached",,"2/28/2014",,"Touchbase","Other","1","$156.00",,,,,"11/28/2013",,,"1",,"800-027-438",,"V3K 5A8",,"BC","Priced to sell! Larger 870 sp ft Manufactured Home in Wildwood Park! Conveniently located close to shopping, parks, etc. With a little work, this one could shine again.","Public Guardian and Trustee Sale. See attachments in MLX for required Addendum. Any offers to Listing Agent via email by Tuesdays. Open until Friday of same week.","Greater Vancouver","For Sale",,,,,,,,,"1/2/2014","$7,000","$8.05","0.47","1/13/2014","1","1","RMHI","$14,900",,"35",,"870","0.00","0.00","Coquitlam","$8.05","0.47","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260577668/0/120/90/9532ee3d4fe7cfd65141d38526d3349a/16/3a5c0975c1c9c4b3426a63ab01f4e2f4/260577668.JPG","V1031196","Land Only","S","258 1200 PACIFIC BOULEVARD","Yaletown",,,,,,,,"Road Access",,,"604-340-3816",,"Vancouver West",,,,,"No","Not Available",,"Vancouver","Land",,,,"No",,"None Available","10/3/2014",,"Todd Jackson",,,"$54.00",,,"No",,"10/3/2013","Not Available",,,,"018-383-963","Other","V0V 0V0","No","BC","COURT ORDERED SALE. Secured underground parking spot in Yaletown between Drake & Davie on Pacific. Freehold parking stall with individual title, legal description, property taxes of $54.24 for 2013 and maintenance fees of $637.24 annually. Entrance from Pacific or Hamilton & Exit off Pacific. Located on P3 with 2 secured gates and measures approximately 9'3 wide by 19' long and maximum height of 6'6. The listing Realtor is only representing the Seller and all public inquiries must go through their Realtor.","All offers subject to court approval with accompanying 'Schedule A'. All sizes are approximate.","Greater Vancouver","For Sale","None",,"None",,"No",,,"None","1/9/2014","$16,500",,"0.92","3/10/2014",,,"CD-1","$18,000",,"98",,,,"0.00","City of Vancouver",,"0.59","Other"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260562026/0/120/90/8b84f824e82e906bee6984342bdde8e4/13/72d2a8715e99d0fe54e1347d4b31b32a/260562026.JPG","N231263","Residential Detached","S","53 3001 N MACKENZIE AVENUE","Williams Lake - City","1976","Manufactured","1",,,,,,"37",,"250-398-0571",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"GREEN ACRES MOBILE HOME PARK.","442968",,"Detached",,"3/31/2014",,"JILL/JOY","Other","1","$670.00",,,,,"9/28/2013",,,"1",,"800-080-277",,"V2G 3N9",,"BC","Nicely updated home with newer stainless steel appliances included. Light, bright and sparkling clean-a pleasure to view. The covered sundeck with fenced and gated yard, adds to the value and appeal. Located in a good park, close to bus rou te and all amenities.","Lock box on gate of fenced yard.","BC Northern","For Sale",,,,,,,,,"1/14/2014","$20,000","$26.04","0.91","1/17/2014","1","2","MHP","$21,900",,"108","9999","768","9,999.00","0.00","Williams Lake","$26.04","0.67","Manufactured"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260659519/0/120/90/423eb50d2687894776b7f5440c024bac/14/b6e557c6d1de9dc27a7df9c593a7381e/260659519.JPG","H1304343","Residential Detached","S","7 1884 HEATH ROAD","Agassiz","1976","Manufactured","1",,,,,,"37",,"604-860-9042",,"Agassiz",,,"0","2",,,,"Agassiz","Residential Detached",,"HEATH COURT","2840",,"Detached",,"3/31/2014",,"LINDA MOSSER","Other","1","$177.00",,,,,"11/21/2013",,,"1",,"700-002-289",,"V0M 1L0",,"BC","Very affordable 1 level living. Nice & cozy 2 bdrm 1 bath mobile. Features newer countertops & faucet in kitchen, newer flooring in bdrms, bathroom floor replaced, newer linoleum and toilet, deck & deck roof replaced, private fenced yard & exterior painted 2011. Newer storage shed 8x10. Centrally located in friendly Heath Court Park. 36 Unit park. Shopping, recreation, school, town centre & public transit nearby. 5 Min drive to stunning Harrison Hot Springs Village, Bridal Falls & approx 15 min drive to Chilliwack. Park Manager's approval required. Large pet or more than 1 require manager approval. Will not last long at this price.","All measurements are approximate, please verify if important. Manager approval is required. Large pet or more than 1 require manager approval. Current pad rent will be $445.00 per month for Buyers. All appliances inc. newer dryer.","Chilliwack","For Sale",,,,,,,,,"1/14/2014","$20,000","$26.04","0.77","2/17/2014","1","2","RH","$26,000",,"54",,"768","0.00","0.00","Chilliwack","$26.04","0.77","Manufactured"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260380016/0/120/90/8589a2d2c193a86afd4cf4e20170b302/16/6df3e9bc928bfe464f3f9044c0ca5474/260380016.JPG","V1016102","Residential Detached","S","421 RAINDANCE CRESCENT","Park Royal","1968","Manufactured","1",,,,,,"45",,"604-313-8630",,"West Vancouver",,,"0","2",,,,"West Vancouver","Residential Detached",,"CAPILANO MOBILE HOME PARK","0",,"Detached",,"3/3/2014",,"RHONDA","Concrete Block","1","$402.00",,,,,"7/3/2013",,,"1",,"800-077-881",,"V7P 1C1",,"BC","Here is your chance to live in the Capilano Mobile Home Park! Walk to Park Royal Shopping Centre and Ambleside Beach. This spic & span single wide unit is ready for your decorating ideas. 2 bedrooms and 1 bath with parking for RV, patio area and newly built storage shed. Monthly pad rental fee of $615.86 includes cable. Must be over 50 to live in the park. Small pet is ok.","Lease with Squamish Nation in place until June 1, 2014 and then renews on an annual basis. Measurements are approximate and should be verified by buyer. Buyer must be approved by the Squamish Nation for pad rental.","Greater Vancouver","For Sale",,,,,,,,,"1/15/2014","$27,500","$39.51","0.73","1/21/2014","1","2","MANUF","$37,500",,"196",,"696","0.00","0.00","West Vancouver","$39.51","0.66","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260026490/0/120/90/12137d79e63232886a65fa1d921fb726/13/ea3fba5b9323b997e8c2ec07656bdd5b/260026490.JPG","N224462","Land Only","S","1200 14TH AVENUE","Valemount - Town",,,,,,,,"Road Access",,,"250-566-0021",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"Nearby","1/15/2014",,"TAMMY VAN DE NOBELEN",,,"$473.00",,,"Yes",,"1/29/2013","Not Available",,,,"005-496-624","House/Single Family","V0E 2Z0","No","BC","MOTIVATED VENDORS SAY SELL IT! It will be the best deal in town! Fully serviced, extra large town lot, located in a great location on 14th Ave. Stunning mountain views in a quiet location. Level and ready to build. Make your offer today.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","1/8/2014","$28,000","$2.97","0.80","2/11/2014",,,"R1","$34,900","Not Known","344","131",,"72.00","0.22","Valemount","$2.97","0.80","House/Single Family"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260583290/0/120/90/f8a4f2d4d245299024ac65ef372e2fa8/13/5da332ae8038d8f04d940962efb82856/260583290.JPG","N231528","Residential Detached","S","4 5016 PARK AVENUE","Terrace - City","1969","Manufactured","1",,,,,,"44",,"250-615-1350",,"Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"PARK AVENUE TRAILER PARK","38048",,"Detached",,"4/4/2014",,"DARREN BEAULIEU","Other","1","$159.00",,,,,"10/8/2013",,,"1",,"800-080-549",,"V8G 1X1",,"BC","Be sure to view this move in ready, affordable home. This 2 bedroom, 1 bath home has been well cared for and all maintenance is up to date. Features include newer flooring, countertops, and fresh modern colors throughout. All electrical has been recently inspected and re-certified. All appliances and window coverings are included with this tidy package. Don't delay, this home will not last long on today's market!!!",,"BC Northern","For Sale",,,,,,,,,"1/7/2014","$29,500","$36.88","0.95","1/22/2014","1","2","MHP","$31,000",,"91","0","800","0.00","0.00","Terrace","$36.88","0.84","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260486916/0/120/90/d652cf2bf0503e3e5a71d554be92f473/13/ad5d7fa9eb7506cf2510b383bef073cd/260486916.JPG","N230435","Residential Detached","S","H-17 653 COLUMBIA STREET","Kitimat","1983","Manufactured","1",,,,,,"30",,"250-632-1594",,"Kitimat (Zone 89)",,,"0","3",,,,"Kitimat","Residential Detached",,,"32337",,"Detached",,"4/30/2014",,"MELODY","Other","1","$916.00",,,,,"8/23/2013",,,"1",,"800-079-300",,"V8C 1V4",,"BC","If you are looking for a cozy place to live, take a look at this 1983 manufactured home in the Vista Village trailer court. This mobile has been well maintained and has a large recreation room addition, 3 good sized bedrooms, living room ha s updated laminate flooring and lino in kitchen, most of the windows are vinyl twin seal. Home has a small entry porch. Roof was replaced 6 years ago. A total of 1320 sq.ft. of living space and priced to sell. Make an appointment to view this mobile, it won last long.",,"BC Northern","For Sale",,,,,,,,,"1/16/2014","$30,000","$22.73","0.91","2/4/2014","1","3","R6B","$32,900",,"146",,"1,320","0.00","0.00","Kitimat","$22.73","0.91","Manufactured"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260613604/0/120/90/d21071c834b2c87c417f813c9d4f71ab/14/cb19b4a58868a2793b4ed897ea6a8190/260613604.JPG","H1304072","Residential Detached","S","49 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","1982","Manufactured","1",,,,,,"31",,"604-795-2955",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"Chilliwack River Estates","420456",,"Detached",,"3/31/2014",,"Pat","Other","2","$235.00",,,,,"10/26/2013",,,"1",,"746-484-327",,"V2R 3R8",,"BC","Great value in this 2 bdrm, 2 bath mobile in peaceful, adult oriented Chilliwack River Estates. Perfect for the outdoor enthusiast with world class fishing only steps away. Known for scenic beauty and friendly neighbours, this privately own ed park is sought after by anyone wanting to be away from the hustle bustle yet minutes from shopping. This home features newer roof and furnace, hot water tank, stainless steel fridge. Spacious, open plan with eat in country kitchen, den and large covered porch. Pad rent is a reasonable $392.20/month. Neat, clean and tidy, this home is available for immediate possession.","Propane fireplace is not hooked up at the moment, but can be reconnected.","Chilliwack","For Sale",,,,,,,,,"1/9/2014","$31,500","$34.09","0.90","1/13/2014","2","2","RMH","$34,900",,"75",,"924","0.00","0.00","Chilliwack","$34.09","0.79","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260679071/0/120/90/f45708246243ebd4ff730b25e257aa36/13/26854f2c437919f770b1118c1bb559ae/260679071.JPG","N232449","Residential Detached","S","19 2091 E 16 HIGHWAY","Vanderhoof - Town","1972","Manufactured","1",,,,,,"41",,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,"0","3",,,,"Vanderhoof","Residential Detached",,,"32986",,"Detached",,"4/3/2014",,"JEANNIE, BRITT, CARL","Other","1","$231.00",,,,,"12/3/2013",,,"1",,"800-082-220",,"V0J 3A0",,"BC","This 3 bdrm, 1 bath trailer is move in ready. No furniture? No problem! No appliances? No problem Everything you need to set up your home is here. Upgrades include new windows, flooring, appliances, wiring, plumbing, kitchen cabinets, hot water tank, water softener. There is an air conditioner in every room. Natural gas and electric baseboard heating. There is a covered deck at the front of the trailer. Make an appointment to see this home today as this is priced to sell quick and you can be in by Christmas!!","Tenant in home - 24 hr notice. Currently being used as a foster home. All furnit ure in the home is negotiable. New tin roof put on addition last year and trailer roof has been resealed. All new windows except in master bdrm. Natural gas furnace is serviced yearly.","BC Northern","For Sale",,,,,,,,,"1/14/2014","$33,000","$31.98","1.03","1/29/2014","1","3","R5","$31,900",,"42",,"1,032","0.00","0.00","Vanderhoof","$31.98","1.03","Manufactured"
