"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260125804/0/120/90/b930f609fdd2214f0a3c834fa54f9fc2/15/2367377c0440efcd8551864b3c04daf9/260125804.JPG","F1306246","Residential Detached","S","51 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1975","Manufactured","1",,,,,,"38",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","244140",,"Detached",,"5/16/2014",,"LES WELLMAN","Concrete Block","1",,,,,,"3/14/2013",,,"1",,"900-566-221",,"V3W 6E1",,"BC","Crestway Bays 2 bdrm in family park. 2 small dogs + 1 cat ok. 4 newer appliances. New roof 10 yrs ago. 10x10 wired workshop + insulated as well. Quiet area in park with trees behind, large covered patio for BBQ year round. Clubhouse to get together with great neighbors. On bus route, only minutes to all shopping and skytrain.","leswellman@shaw.ca Pad rent is $780.58.","Fraser Valley","For Sale",,,,,,,,,"3/10/2014","$14,000","$19.44","0.95","3/18/2014","1","2","MHP","$14,800",,"361",,"720","0.00","0.00","Surrey","$19.44","0.78","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260788299/0/120/90/c7085754dbbe1d16c9ddd655d19da365/15/5960112548764a8dec83c90b4db0eaff/260788299.JPG","V1048115","Residential Detached","S","56 3295 SUNNYSIDE DRIVE","Anmore","1979","Manufactured","1",,,,,,"35",,"604-583-2000",,"Port Moody",,,"0","2",,,,"Anmore","Residential Detached",,"COUNTRYSIDE VILLAGE","415294",,"Detached",,"5/7/2014",,"GARY OR LANA SHEPHERD","Other","1","$300.00",,,,,"2/7/2014",,,"1",,"800-083-765",,"V3H 4Z4",,"BC","Great opportunity in Anmore - Older manufactured home on Bare Land Strata lot in Countryside Village. 3106 SF lot zoned RCH-1, high-density housing. You have the option to purchase the land so you can tear down & build new. Steps to Buntzen Lake, hiking, fishing, boating & more. $684 pad rent or a $262 strata fee if lot is purchased from Park Owner/Developer. Home is in very poor condition requiring extensive renovation before living in it. Please allow time for acceptance, park manager approval required, owner must abide by park rules & strata bylaws, no rentals permitted for the manufactured homes.","Buyer to verify all measurements & fees.","Greater Vancouver","For Sale",,,,,,,,,"3/14/2014","$15,000","$17.86","0.60","3/26/2014","1","2","RCH1","$24,900",,"35","0","840","0.00","0.00","Port Moody","$17.86","0.60","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260782249/0/120/90/2840e0f17a2bf4eae014a4d819bbc381/13/cd2e9da9a616b6798ca668f3121fb883/260782249.JPG","N233389","Land Only","S","1350 SODA CREEK ROAD","Williams Lake - Rural North",,,,,,,,"No Access",,,"250-267-1088",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"None Available","12/31/2014",,"SUSAN COLGATE",,,"$9.00",,,"No",,"2/14/2014","Not Available",,,,"009-282-432","House/Single Family","V2G 2V2","Yes - Agricultural Land Reserve","BC","25 acre lot must be sold with neighbouring property 1350 Soda Creek Rd MLS# N232810.","This property is to be sold with N232810. Covenant restricts the property from being sold separate.","BC Northern","For Sale","None",,"None",,"No",,,"None","3/13/2014","$25,000",,"0.50","3/17/2014",,,"RR1","$49,900",,"27",,,"0.00","25.00","Williams Lake Rural",,"0.50","House/Single Family"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260285875/0/120/90/74df5619479d731804d84470172a7f06/13/a70e1bd50f971ad3e43257e4d9e1f56d/260285875.JPG","N227719","Land Only","S","3071 GLEASON CRESCENT","Williams Lake - Rural East",,,,,,,,"Road Access",,,"250-392-0633",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,"LITTLE ROCK ESTATES",,"No",,"At Lot Line","5/21/2014",,"CAROL",,,"$151.00",,,"Yes",,"5/21/2013","Not Available",,,,"023-314-851","Mixed","V0L 1G0","Yes - Agricultural Land Reserve","BC","5 acre parcel ready for you to build your dream home. Close to Big Lake store located just off the Likely road on Gleason Cres. phone and hydro at the lot line. Big Lake offers volunteer fire dept. only 45 minutes from town.","Please let me know when you are showing it.","BC Northern","For Sale","None",,"None",,"No",,,"None","3/12/2014","$30,000",,"0.69","3/17/2014",,,"RR2","$43,500","No","295",,,"0.00","5.01","Williams Lake Rural",,"0.69","Mixed"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260402999/0/120/90/8bd2df26b724c7a2cf52fea2296a09ad/13/ecc56c1da7abad9db59305cf690e6899/260402999.JPG","N229329","Residential Detached","S","9006 JAMIESON AVENUE","Hudsons Hope","9999","House/Single Family","1",,,,,,"999",,"250-783-1076",,"Fort St. John (Zone 60)",,,"0","2",,,,"Hudsons Hope","Residential Detached",,,,,"Detached",,"7/31/2014",,"NICOLE GILLISS","Concrete Perimeter","1","$234.00",,,,,"7/14/2013",,,"1",,"015-890-571",,"V0C 1V0",,"BC","The bungalow on this property has experienced mold, water damage and vacancy. A very skilled person may want to renovate, however if not, the price is right to start fresh on this beautiful private lot in Jamieson Subdivision. There is spac e on this deep 1/2 acre lot to have a house set back on the property to enjoy the quiet privacy of a rural lifestyle.","This home is vacant and taken back to the studs. Most likely a tear down.","BC Northern","For Sale",,,,,,,,,"3/14/2014","$32,000","$38.83","0.91","3/19/2014","1","2","RU1","$35,000",,"243",,"824","0.00","0.50","Hudsons Hope","$38.83","0.91","House/Single Family"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260646600/0/120/90/440f691dbe4842fdc71d4d861930f0d3/13/67745397c96ed15cfaa2ad9e3e152960/260646600.JPG","N232140","Residential Detached","S","3515 WAITE ROAD","Lac la Hache","1972","Manufactured with Land","1",,,,,,"41",,"866-593-0131",,"100 Mile House (Zone 10)",,,"1","2",,,,"Lac La Hache","Residential Detached",,,"24219",,"Detached",,"5/14/2014",,"ROBERT YOUNG","Other","1","$508.00",,,,,"11/14/2013",,,"1",,"007-913-524",,"V0K 1T0",,"BC","You can see Timothy Lake from the yard. Boat launch located right down the road. This 3 bedroom manufactured home has log additions and is located in a quiet residential area minutes from ski hill as well. Would make a great starter home or recreational getaway. Check it out today. Schedule A applies.",,"BC Northern","For Sale",,,,,,,,,"3/12/2014","$32,000","$25.68","0.68","4/29/2014","1","3","R-1","$46,900",,"118",,"1,246","0.00","0.54","Williams Lake Rural","$25.68","0.43","Manufactured with Land"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260574456/0/120/90/b9bcf7f67741749d9b27c19d8d49e053/13/2354bc2daeef9996b1bbbf0e63bc0528/260574456.JPG","N231451","Residential Detached","S","3 4401 NAHANNI DRIVE","Fort Nelson -Town","1982","Manufactured","1",,,,,,"31",,"250-774-7411",,"Fort Nelson (Zone 64)",,,"0","2",,,,"Fort Nelson","Residential Detached",,,"425228",,"Detached",,"4/2/2014",,"CATHLEEN","Other","1","$288.00",,,,,"10/2/2013",,,"1",,"800-080-422",,"V0C 1R0",,"BC","Refuse to rent!! Are you tired of renting? Do you own a company and pay for your crew to stay in hotels? Maybe you work away a lot and need a clean cozy place to call home without a hefty price tag. This home would be perfect for you!! With two bedrooms, 6 appliances, updated flooring and a garden shed, you'll be happy to call this yours. Pay it off in no time and have a fantastic place that's all your own. This home is clean, well cared for and it's ready for a new owner! Call today to have a look.",,"BC Northern","For Sale",,,,,,,,,"3/15/2014","$33,500","$36.26","0.84","3/27/2014","1","2","M-1","$40,000",,"164",,"924","0.00","0.00","Fort Nelson","$36.26","0.74","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260722603/0/120/90/baa77f21244414c6d63336e4ff0a0379/16/3a7c8b1514f0e604a055087d735e22d0/260722603.JPG","V1041948","Residential Detached","S","4 4200 DEWDNEY TRUNK ROAD","Ranch Park","1969","Manufactured","1",,,,,,"45",,"604-618-7303",,"Coquitlam",,,"0","2",,,,"Coquitlam","Residential Detached",,"HIDEAWAY PARK","4776",,"Detached",,"7/13/2014",,"DIANE","Other","1","$111.00",,,,,"1/13/2014",,,"1",,"800-082-910",,"V3H 3E2",,"BC","Affordable adult living - Welcome to Hideaway Park! 2 bedroom single wide mobile home with vinyl frame windows, newer furnace (2011), newer appliances (gas stove, fridge with freezer on the bottom, full sized stacked washer & dryer), laminate floor in living & dining room, newer carport, handy garden beds, storage shed. pad rental $421 per month. Two small pets allowed with approval. Age restricted to 55+ years. Located within walking distance to Suterbrook, Newport Village, Port Moody Centre, bus, library, rec. centre and even future Skytrain station.","Vacant. Easy to show.","Greater Vancouver","For Sale",,,,,,,,,"3/14/2014","$38,000","$56.55","0.85","3/28/2014","1","2","MHP","$44,900",,"60",,"672",,"0.00","Coquitlam","$56.55","0.85","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260390327/0/120/90/9d8e3c79afd8942cc99d13aea9a883c1/13/279848f0e65756100ad5341c94121f6e/260390327.JPG","N229167","Residential Detached","S","3058 BOSWELL STREET","Horsefly","9999","House/Single Family","1",,,,,,"999",,"250-620-3440",,"Williams Lake (Zone 27)",,,"0","1",,,,"Williams Lake","Residential Detached",,"HORSEFLY VILLAGE",,,"Detached",,"7/8/2014",,"LINDA","Other","1","$202.00",,,,,"7/8/2013",,,"1",,"013-817-434",,"V0L 1L0",,"BC","Compact home in Horsefly on a level lot, near the village centre. Paved road, close to river and recreational ares, Ideal for bachelor pad, retirement or starter home. Appliances and some furniture included.",,"BC Northern","For Sale",,,,,,,,,"3/14/2014","$45,000","$90.00","0.92","4/17/2014","1","1","RS1","$49,000",,"249","132.00","500","99.00","0.20","Williams Lake Rural","$90.00","0.92","House/Single Family"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/f80879035fc59a53ab300ff5fad301f0/NoPhotoAvailable.jpg","V1051489","Residential Attached","S","217 4122 VILLAGE GREEN BOULEVARD","Whistler Village","1987","Apartment/Condo","1",,,,,,"27",,"604-905-4009",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"Adara Hotel",,,"Attached",,"6/5/2014",,"Adara front desk","Concrete Perimeter","1","$1,345.00",,,,,"3/5/2014",,,"1",,"006-932-452",,"V0N 1B4",,"BC","The Adara Hotel has been updated with a modern influence and is located centrally in the main Whistler Village. This suite offers a bar fridge and microwave and coffee maker. An outdoor pool and hot tub situated on a rooftop deck is desirab le for either winter or summer season. This is a Phase II property with pooled revenue and a maximum of 56 days per year of owner usage. It is one of a very few pet friendly hotel/condo complexes.","Courtesy call to Doug @ 604-905-8626 or Laura @ 604-905-8777. For viewing avail ability call the Adara Front Desk @ 604-905-4009","Greater Vancouver","For Sale",,,,"$335.94",,,,,"3/12/2014","$46,000","$123.99","0.92","3/24/2014","1","0","CC1","$49,900",,"7",,"371",,"0.00","Whistler","$123.99","0.92","Apartment/Condo"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260786212/0/120/90/4ceae7eebf3c6b95d26b54b2410358b1/16/273284c8d24a8f120145d0f8b88e273f/260786212.JPG","V1047916","Residential Attached","S","214B 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","1",,,,,,"6",,"604-938-9999",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"EVOLUTION",,,"Attached",,"12/10/2014",,"LODGING OVATIONS","Concrete Perimeter","1",,,,,,"2/16/2014",,,"1",,"027-506-002",,"V0N 1B2",,"BC","Talk about a contemporary design in a fantastic location! Evolution checks all the boxes when you're seeking a modern suite which offers great owner usage. You have access to all the amenities you could want, from a movie theatre and games room to hot tubs and pool with a view. Whether you're spending quality time with the family or entertaining friends, everyone's sure to have a great time.","Call frontdesk manager Lodging Ovations @ 604-938-9999. Courtesy call to Jimmy 905.2856.","Greater Vancouver","For Sale",,"4",,"$383.00",,,,,"3/11/2014","$47,000","$78.60","0.91","3/19/2014","1","1","CC2","$51,900",,"23",,"598",,"0.00","Whistler","$78.60","0.91","Apartment/Condo"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260460071/0/120/90/256089322211dacc3f0b42b13e91f093/13/a3d5bb4360840a0765890d70d4a3a644/260460071.JPG","N230096","Land Only","S","CUISSON LAKE ROAD","McLeese Lake",,,,,,,,"Allowed Access",,,"250-392-0633",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"McLeese Lake","Land",,,,"No",,"Nearby","4/6/2014",,"CAROL TAPHORN",,,"$425.00",,,"Yes",,"8/9/2013","Not Available",,,,"018-518-427","Recreational","V0L 1P0","No","BC","Waterfront property on Cuisson Lake, approximately 50 km North of Williams Lake, only a short trail off the Gibraltar Mine Road. Stunning view of the lake with great sunsets, there are 2 level spots to put your RV and enjoy the peaceful set ting, waterfront approximately 85 feet. Maps and covenants available at Listing Brokerage.","For access, title search or Property Disclosure Statement, contact Listing Agent : Carol Ann.Email: ctaphorn@wlake.com or send a text message to 250-392-0633.","BC Northern","For Sale","None",,"None",,"No",,,"None","3/15/2014","$50,000",,"0.77","4/7/2014",,,"RL","$65,000","No","218","220",,"85.00","0.44","Quesnel Rural",,"0.77","Recreational"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260350726/0/120/90/407869fedd5edafbb9c537843cbd5197/13/27c2fe7c3fce7b09e4b6b071cd76b91a/260350726.JPG","N228655","Multifamily","S","1406 N KITWANGA ROAD","Kitwanga","9999","Duplex","1",,,,,,"999",,"250-635-9184",,"Smithers And Area (Zone 54)",,,"0","2",,,"N","Kitwanga","Multifamily",,,,,"Multi-Family Revenue (Max. 4 Units)",,"3/31/2014","No","LR","Concrete Block","1","$561.00",,,,,"6/19/2013",,,"1",,"006-365-221",,"V0J 1A0",,"BC","Great investment opportunity in Kitwanga, BC. This property consists of 2 duplexes set upon a 0.57 acre lot. One building has 2 one bedroom units that are presently rented out and the other is 2 two bedroom units which are vacant. Close to shopping.",,"BC Northern","For Sale",,,,,,,,,"3/8/2014","$50,000","$30.86","0.84","3/26/2014","1","2","R3","$59,900",,"262",,"1,620","0.00","0.57","Terrace Rural","$30.86","0.72","Duplex"
