"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261246319/0/120/90/700f60d57625cf05e5bfa7a31373f8d1/15/457d535cc0e208fa73a7f6e2945d2b36/261246319.JPG","F1422452","Residential Detached","S","137 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","291522",,"Detached",,"2/28/2015",,"LES WELLMAN","Concrete Block","1",,,,,,"9/8/2014",,,"1",,"900-572-481",,"V3W 5Y4",,"BC","CRISPEN BAYS family park, 2 small pets allowed. Stones throw to both schools grades 1 thru 12. Complex has pool and clubhouse, a workshop to kill for. Double door so you can ride your motor cycle in. 220 volt for heavy equipment with its ow n sub panel. Pad rent $836.",,"Fraser Valley","For Sale",,,,,,,,,"9/9/2014","$16,000","$20.83","0.95","9/29/2014","1","2","MHP","$16,900",,"1",,"768","0.00","0.00","Surrey","$20.83","0.95","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260714394/0/120/90/6a7154f96c02c9a75ee25ef6dd33269b/13/9afbab04dedbc2c3167f6b08fab7e8b6/260714394.JPG","N232750","Land Only","S","LOT 2 PINCHI MINE ROAD","Fort St. James - Rural",,,,,,,,"Road Access",,,"250-996-8618",,"Fort St. James (Zone 57)",,,,,"No","Not Available",,"Fort St. James","Land",,,,"No",,"Available","12/31/2014",,"EVELYN",,,"$141.00",,,"Yes",,"1/8/2014","Not Available",,,,"005-034-728","Mixed","V0J 1P0","No","BC","Level building lot in a small subdivision of similar properties. Located 15 minutes north of Fort St. James.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/10/2014","$18,000",,"0.72","9/12/2014",,,"RR","$24,900","Not Known","245",,,"0.00","5.00","Vanderhoof Rural",,"0.72","Mixed"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260804448/0/120/90/d65485ad2f433c01d01b7cc2601817d6/13/0baf6a527ffea06639542b90642b5c5b/260804448.JPG","N233588","Land Only","S","LOT 16 MUDDIMAN ROAD","Fort St. James - Rural",,,,,,,,"Road Access",,,"250-567-9222",,"Fort St. James (Zone 57)",,,,,"No","Not Available",,"Fort St. James","Land",,,,"No",,"At Lot Line","3/1/2015",,"KENT",,,"$141.00",,,"No",,"2/21/2014","Not Available",,,,"005-123-526","House/Single Family","V0J 1P0","No","BC","5 acres lot close to great hunting and fishing. A perfect place to building a home so you can enjoy the outdoors year round.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/10/2014","$18,000",,"0.72","9/15/2014",,,"N/A","$24,900",,"201",,,"0.00","5.02","Vanderhoof Rural",,"0.72","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261206053/0/120/90/5b7e7a7daea678af499567f33d7fa328/13/9534a62491866b8a3dbbd90dfdb4770b/261206053.JPG","N239236","Land Only","S","LOT 4 E KIRBY ROAD","Quesnel - Rural North",,,,,,,,"Road Access",,,"250-992-8818",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,"PARK RIDGE ESTATES",,"No",,"At Lot Line","12/31/2014",,"ARCHIE HLADY",,,"$229.00",,,"Yes",,"8/18/2014","Not Available",,,,"006-461-166","House/Single Family","V2J 6X9","No","BC","Very nice building lot. Lightly treed. Fairly level.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/10/2014","$25,000",,"0.89","10/2/2014",,,"RR2","$28,000","No","23","757",,"272.00","5.05","Quesnel Rural",,"0.89","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261139200/0/120/90/334b429e8fd95de52f83ae50267f6728/13/7e841334a72c9403405aab27417724ff/261139200.JPG","N238307","Land Only","S","LOT 31 NICKEL RIDGE AVENUE","Quesnel - Town",,,,,,,,"Road Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,"CARSON",,"No",,"At Lot Line","10/16/2014",,"LR",,,"$514.00",,,"No",,"7/16/2014","Available",,,,"027-127-273",,"V2J 6P6","No","BC","Start your dream home today on this fully serviced 0.18 acre lot in Carson Sub. Newer homes in the area will enhance this family oriented location. Close to school, college & just minutes' drive to downtown. No thru road provides for little traffic.","4638","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","9/9/2014","$26,000",,"0.88","9/26/2014",,,"RS1","$29,500",,"55",,,"0.00","0.18","Quesnel",,"0.88","Other"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261236415/0/120/90/7f6a13e52577033a828428b5188b47e6/15/d8753ff22b89eb6ed2265eadcc38a49e/261236415.JPG","F1422027","Residential Detached","S","97 8560 156 STREET","Fleetwood Tynehead","1976","Manufactured","1",,,,,,"38",,"604-760-4611",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"WESTVILLA ESTATE","98032",,"Detached",,"6/29/2015",,"Dennis Graham","Other","1","$135.00",,,,,"9/8/2014",,,"1",,"900-572-431",,"V3S 5K4",,"BC","Move in ready this 2 bedroom 1 bath unit. Updates kitchen cupboards, flooring, paint, new hot water tank, covered parking for 2 cars, nice private rear yard. Great park with clubhouse, sauna, billiard room. Age restriction 55+, Pad rent $ 572.50 No rentals. Small pet welcome.","If important age & size to be verified by Buyers or Buyers Agent before subject removal. Park approval is required.","Fraser Valley","For Sale",,,,,,,,,"9/12/2014","$30,000","$41.67","0.87","9/17/2014","1","2","MHP","$34,500",,"4",,"720",,"0.00","Surrey","$41.67","0.87","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260693182/0/120/90/9012ceaf46c9cf5f6beb94987b679592/13/f95e9d0ccdcef57f1ab342321c886efb/260693182.JPG","N232598","Residential Detached","S","32 1322 DOG CREEK ROAD","Esler/Dog Creek","1974","Manufactured","1",,,,,,"39",,"250-395-5959",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"MOUNTVIEW MOBILE HOME PARK","29901",,"Detached",,"11/3/2014",,"PAULINE","Other","1","$312.00",,,,,"12/17/2013",,,"1",,"800-082-455",,"V2G 3G9",,"BC","What a great buy! Check out this little gem of a home in Mountview Trailer Park. 3 bedroom home with addition, has had BC Electrical inspection, brand new furnace and heat tape put in just prior to winter. Don't miss out on this, call to day!",,"BC Northern","For Sale",,,,,,,,,"9/8/2014","$30,000","$33.67","0.91","9/22/2014","1","3","MHP","$33,000",,"265",,"891","0.00","0.00","Williams Lake","$33.67","0.79","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261087935/0/120/90/a452d39eda7512ce2529056ad9d29387/15/4ee5c603dc19322c04e1d95fdb1c70e9/261087935.JPG","F1416179","Residential Detached","S","27 20071 24TH AVENUE","Brookswood Langley","1970","Manufactured","1",,,,,,"44",,"604-607-5214",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"FERNRIDGE PARK","39640",,"Detached",,"9/25/2014",,"EMMA","Concrete Block","1",,,,,,"6/25/2014",,,"1",,"900-571-648",,"V2Z 2A5",,"BC","PRICED TO SELL - With the park-like setting and great community amenities, including an outdoor pool, this is the perfect 55+ community to call home. This spacious mobile boasts an open layout, a bright kitchen, good sized bedrooms and a hu ge laundry/storage room. Relax on the oversized covered deck and enjoy the tranquil ambiance of Fernridge Park. Close to shopping and transit, call today to set up your private viewing.","SUBJECT TO PROBATE. All measurements are approximate, buyers agent to verify if important. Adult only park (55+). No pets. 2 people maximum. Criminal backyard check & interview with park manager required.","Fraser Valley","For Sale",,,,,,,,,"9/10/2014","$32,000","$40.51","0.89","9/26/2014","1","2","MHP","$36,000",,"77",,"790","0.00","0.00","Langley","$40.51","0.89","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261175789/0/120/90/c604e945fecb03a93059d7cecbcd66b4/15/01ee4ebadc9e6a6d6223a5d3171d32b9/261175789.JPG","F1419551","Residential Detached","S","33 15820 FRASER HIGHWAY","Fleetwood Tynehead","1976","Manufactured","1",,,,,,"38",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"GREEN TREE ESTATES","17728",,"Detached",,"2/15/2015",,"LES WELLMAN","Concrete Block","1",,,,,,"8/6/2014",,,"1",,"900-572-191",,"V4N 0Y0",,"BC","Greentree Estates, 2 bdrm in Seniors Park. Small pets ok. Pad rent $455 per month includes water and sewer, garbage and taxes on the land. Vacant, A/C, F/S, W/D, newer flooring throughout huge huge yard. Parking for 3 vehicles side by side. Walk to all shopping, bus stop out front of park. Only mins to skytrain.",,"Fraser Valley","For Sale",,,,,,,,,"9/5/2014","$34,000","$39.53","0.97","9/23/2014","1","2","MHP","$34,900",,"30",,"860","0.00","0.00","Surrey","$39.53","0.97","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261226738/0/120/90/684fb1c2d78ec3fa8c11ca4a3bd6138e/16/ca22003edef6dcced58e5a8dddfad419/261226738.JPG","V1083077","Residential Detached","S","33 201 CAYER STREET","Maillardville","9999","Manufactured","1",,,,,,"999",,"604-833-6814",,"Coquitlam",,,"0","3",,,,"Coquitlam","Residential Detached",,,"1235",,"Detached",,"12/31/2014",,"JOE KOGLER","Concrete Slab","1","$193.00",,,,,"8/30/2014",,,"1",,"800-088-584",,"V3K 5A9",,"BC","Looking for a great place to call home that is affordable?? Centrally located just minutes from Hwy 1 and Lougheed Hwy this 3 bedroom home in Coquitlam is just minutes from Superstore and only 2 blocks from bus stop. Enjoy the relaxed lifestyle of Wild Wood Park. Wild Wood Park features Clubhouse - indoor Swimming Pool - Tennis Courts. Two small pets allowed.",,"Greater Vancouver","For Sale",,,,,,,,,"9/11/2014","$36,500","$34.56","0.92","9/19/2014","1","3","MHP","$39,500",,"12",,"1,056","0.00","0.00","Coquitlam","$34.56","0.92","Manufactured"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/f80879035fc59a53ab300ff5fad301f0/NoPhotoAvailable.jpg","F1422167","Residential Detached","S","60 9080 198TH STREET","Walnut Grove","1993","Manufactured","1",,,,,,"21",,"604-889-4874",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"FOREST GREEN ESTATES","464007",,"Detached",,"2/4/2015",,"LORRAINE","Other","1",,,,,,"9/6/2014",,,"1",,"900-572-443",,"V1M 3A8",,"BC","Lovely 2 bdrm Mobile Home in Forest Green Estates! Nice large open plan Kitchen with oak cabinets & spacious eating area. Living room is accented with Vaulted Ceilings. Outdoor Shed, Roof 2009, Hotwater Tank 2011. Great park with Clubhouse with full kitchen, workshop & social room. Close to all Shopping, Restaurants & Theaters. Off Leash Doggie Park nearby. Pad rent is $668/month. Small pets ok, 55+ Age Rest. Great Place to Call Home! Call NOW to view!!!","All measurements are approx, buyer/agent to verify if important.","Fraser Valley","For Sale",,,,,,,,,"9/9/2014","$40,000","$43.29","0.93","9/17/2014","1","2","MHP","$42,900",,"3",,"924","0.00","0.00","Langley","$43.29","0.93","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260728654/0/120/90/44add53a8cf72c426f6d148cc63359b2/16/947e399e87138ba9a054ecad42ddcbc3/260728654.JPG","V1042531","Residential Detached","S","75 40157 GOVERNMENT ROAD","Garibaldi Estates","1971","Manufactured","1",,,,,,"43",,"604-848-4279","2010","Squamish",,,"0","3",,,,"Squamish","Residential Detached",,"SPIRAL MANUFACTURED HOME PARK","37136",,"Detached",,"1/10/2015",,"PETER","Other","1","$430.00",,,,,"1/13/2014",,,"1",,"800-083-013",,"V0N 3G0",,"BC","Wonderfully renovated 3 bdrm/1 bath home in Spiral Manufactured Home Park. This home has been updated with newer siding, windows, roof, fencing, storage shed, skirting, and a beautifully renovated kitch en and bathroom. One of the few parks in Squamish that allows dogs. Enjoy the many nearby trails and the natural surroundings of the neighbourhood. This home is also a very short walk to a school, shopping, and many great cafes/restaurants. Squamish is growing, friendly, vibrant, and very safe community. With the new Sea to Sky Gondola opening this spring now is the time to invest in this great location. Please call the listing realtor today. Thank you for your interest.","TENANTED, MIN. OF 24HRS NOTICE PLEASE. For appointments please phone Peter @ 604 -848-4279. All measurements are approximate, buyers to verify independently. Very nice home in very good condition. Please call today to set up a viewing appt. Thank you. MH Reg # 028086.","Greater Vancouver","For Sale",,,,,,,,,"9/10/2014","$43,500","$38.16","0.89","9/10/2014","1","3","MHP","$49,000",,"240",,"1,140","0.00","0.00","Dist. of Squamish","$38.16","0.67","Manufactured"
