"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260951935/0/120/90/e659edeba361e73c471f55ab7ca5904c/15/fbe34f9e2fea1d271cd5be57bfafd3bd/260951935.JPG","F1410838","Residential Detached","S","6 8266 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1974","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"THE PLAZA","198676",,"Detached",,"11/5/2014",,"TOUCHBASE RAY","Other","1","$122.00",,,,,"5/1/2014",,,"1",,"900-570-969",,"V3W 5C2",,"BC","THE PLAZA, 45+: Well maintained, single wide with newer kitchen cupboards and new front window. Estate sale, quick possession ok, all reasonable offers entertained. Pad rent is only $625 per mo. & one small pet welcome. Some furniture may be included.","Please TOUCHBASE to book your appts. I have a very poor memory & am not supposed to use my phone while driving. I need to know you are a Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer. Subject to Probate.","Fraser Valley","For Sale",,,,,,,,,"6/21/2014","$9,000","$11.72","0.92","6/25/2014","1","2","MHP","$9,800",,"51","70","768","30.00","0.00","Surrey","$11.72","0.61","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260899987/0/120/90/10fa9a828336f25d0c03c32049109780/13/c8ced3ba227b5184e10876dd58b41a70/260899987.JPG","N234787","Residential Detached","S","28 803 HODGSON ROAD","Esler/Dog Creek","1981","Manufactured","1",,,,,,"33",,"250-392-0371",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,,"420684",,"Detached",,"10/3/2014",,"TANYA RANKIN","None","1","$326.00",,,,,"4/3/2014",,,"1",,"800-085-085",,"V2G 3R2",,"BC","Fabulous unexpected floor plan that just feels like home! This well laid out 2 bedroom mobile is surprisingly spacious with lots of storage. Located in the top row of a private park backing onto Crown Land, mountain biking and trails galore . Updated kitchen and flooring add to the charm of this efficient small space living. Pad rent is $286.83. Owner states furnace updated 2003, h/w updated 2006. Come check it out!","Wood burning stove in the living room does not work.","BC Northern","For Sale",,,,,,,,,"6/19/2014","$16,000","$16.33","0.82","6/27/2014","2","2","MHP","$19,500",,"77",,"980",,"0.00","Williams Lake","$16.33","0.42","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260922951/0/120/90/0b1c765e462b152e019678b159541ad0/14/6f9cafd239a406b7203eca0ade870325/260922951.JPG","H1401578","Residential Detached","S","60 5742 UNSWORTH ROAD","Sardis West Vedder Rd","1976","Manufactured","1",,,,,,"38",,"604-858-7179",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,,"284026",,"Detached",,"10/16/2014",,"RON OR HEIDI","Concrete Block","1","$300.00",,,,,"4/16/2014",,,"1",,"700-004-741",,"V2R 3A2",,"BC","Affordable living in Cedar Grove Mobile Home Park. Spacious mobile home with a good size yard, featuring 2 bedrooms, 1 bathroom, over 1,000 sq.ft. of living space, enclosed porch with hot tub area and much more. Come see today.","All meas. are approx. and should be verified independently by the buyer if deemed important. Park Manager approval required.","Chilliwack","For Sale",,,,,,,,,"6/24/2014","$18,000","$17.21","0.95","6/24/2014","1","2","RMH","$19,000",,"69","90","1,046","50.00","0.00","Chilliwack","$17.21","0.86","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259842825/0/120/90/9e791f17821f9651755af192f1743ce6/13/4a007caa6493078c416076cf4960153c/259842825.JPG","N222995","Land Only","S","LT 44- 47 LEWIS DRIVE","Quesnel - Town",,,,,,,,"Allowed Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Available","8/31/2014",,"LESLIE OR CLAUDIA",,,"$283.00",,,"Yes",,"10/11/2012","Available",,,,"024-300-004","Other","V2J 5W2","No","BC","Developers take notice! Gated, adult oriented community, secure easy living! Several lots to choose from, being sold in blocks of four. Call for maps and full development package.","Additional PID# 024-300-012, 021, 039 3982","BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","6/25/2014","$20,000","$7.71","0.50","8/13/2014",,,"RS1","$39,900","Not Known","622",,,"0.00","0.06","Quesnel","$7.71","0.50","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256999076/0/120/90/047feb2e69cc2b6667c1aa4772305a2e/13/dec38e3f4e3b650f73596063e5434ce6/256999076.JPG","N190259","Land Only","S","LOT 44 KALLUM DRIVE","108 Ranch",,,,,,,,"Allowed Access",,,"250-395-1173",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"At Lot Line","4/30/2015",,"DEBBIE",,,"$440.00",,,"Yes",,"3/13/2009","Available",,,,"007-958-331","House/Single Family","V0K 2Z0","No","BC","Excellent level building lot in the 108 Mile Ranch. Nicely treed and located across the road form greenbelt with miles of walking and recreational trails. Waterline, power, telephone are at the lot line. An even better price is offered if purchased in conjunction with Seller's second lot on Kitwanga Drive MLS# N190264.",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","6/25/2014","$20,000",,"0.85","6/30/2014",,,"R1-1","$23,500",,"1930","250",,"94.00","0.69","Williams Lake Rural",,"0.34","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261039183/0/120/90/4b267cf95c94650aeb5e75aff75fe180/13/c415d411a15eadd81dcb2cade44bb731/261039183.JPG","N236773","Land Only","S","LOT 104 JULSRUD ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Allowed Access",,,"250-644-4242",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"Nearby","5/31/2015",,"BRAD",,,"$192.00",,,"Yes",,"5/30/2014","Not Available",,,,"007-346-361","Recreational","V0K 1X0","No","BC","Elevated lot with panoramic view facing south overlooking Deka Lake. Power is into next door property and no driveway in as yet. A blank slate for you to develop into your little hide-away. Fully serviced cottage next door is also available - see MLSN228296.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","6/23/2014","$22,000",,"1.00","6/24/2014",,,"R1","$22,000",,"24","200",,"90.00","0.00","Williams Lake Rural",,"1.00","Recreational"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260457323/0/120/90/77143bb4a44406a96f2e36da537a8b56/13/eb0da161c07cff32b7448ab778f6f71b/260457323.JPG","N230073","Residential Detached","S","345 BIRCH STREET","Fort St. James - Town","9999","House/Single Family","1",,,,,,"999",,"250-996-8617",,"Fort St. James (Zone 57)",,,"0","1",,,,"Fort St. James","Residential Detached",,,,,"Detached",,"6/30/2014",,"EVELYN","Concrete Perimeter","1","$585.00",,,,,"8/6/2013",,,"1",,"011-647-272",,"V0J 1P0",,"BC","Great location across from Goodwin Park and just a stone's throw away from David Hoy Elementary, perfect for someone just starting out, downsizing or as a rental unit. The house was put through the power smart program and additional insulation and venting in the attic to help with heat and cooling.",,"BC Northern","For Sale",,,,,,,,,"6/19/2014","$30,000","$49.26","0.75","6/23/2014","1","1","R-1","$40,000",,"317","145.00","609","55.00","0.00","Fort St James","$49.26","0.38","House/Single Family"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260900236/0/120/90/4261f9faa59f52dc2bf3212f05cd7a2a/14/ba767ccfaa6229d4880ac6ca11795079/260900236.JPG","H1401395","Residential Detached","S","8 6338 VEDDER ROAD","Sardis East Vedder Rd","1975","Manufactured","1",,,,,,"39",,"604-819-1664",,"Sardis",,,"0","3",,,,"Sardis","Residential Detached",,"MAPLE MEADOWS MOBILE HOME PARK","12352",,"Detached",,"10/31/2014",,"DOUG SAWCHUK","Other","2","$563.00",,,,,"4/7/2014",,,"1",,"700-009-144",,"V2R 4M8",,"BC","Spacious 1440 sq.ft., 3 bedroom, 2 bathrooms home in central Sardis. Bright open design, with separate living and family rooms, 3 bedrooms including a large master bedroom. Central air conditioning and comes with 4 appliances and window cov erings. Large 10x22 covered deck and 8x8 storage shed. This complex is on the bus route and within walking distance to malls and all amenities.","Home being sold by POA, purchasers are advised to make all necessary inquiries to satisfy themselves as to the condition of the home prior to purchase.","Chilliwack","For Sale",,,,,,,,,"6/20/2014","$38,000","$26.39","0.85","6/24/2014","2","3","RMH","$44,900",,"74",,"1,440","0.00","0.00","Chilliwack","$26.39","0.85","Manufactured"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260871053/0/120/90/d46174ea5ba1cf1916179aa0f0fed75e/13/2a763add840ca873110a3422a098d4f3/260871053.JPG","N234455","Residential Detached","S","46 4430 16 HIGHWAY","Smithers - Town","1973","Manufactured","1",,,,,,"41",,"250-877-2471",,"Smithers And Area (Zone 54)",,,"0","3",,,,"Smithers","Residential Detached",,,"33927",,"Detached",,"3/28/2015",,"JESSE BUTLER","Other","1","$647.00",,,,,"3/28/2014",,,"1",,"800-084-798",,"V0J 2N0",,"BC","This 3 bedroom, 1 bathroom mobile has had many upgrades, including an addition with mud room, office and bedroom. All windows were replaced in 2006. Upgrades in 2011 include new metal roof, skirting & furnace. The home also has updated lami nate flooring and many new fixtures. The pad has raised garden beds and a storage shed. Appliances included in sale: fridge, stove, washer, dryer, freezer, drapes and window coverings. This is a great opportunity to get into the market for an affordable price. Quick Possession Available.","Foundation is wooden blocking.","BC Northern","For Sale",,,,,,,,,"6/24/2014","$41,000","$40.51","1.00","7/3/2014","1","3","MHP","$41,000",,"88",,"1,012","0.00","0.00","Smithers","$40.51","0.91","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260974782/0/120/90/675e089cdb534da14e45055af57f1032/13/0f08c16298ed2f0c079417a6392a66b3/260974782.JPG","N235817","Residential Detached","S","2 602 ELM STREET","Red Bluff/Dragon Lake","1994","Manufactured","1",,,,,,"20",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","3",,,,"Quesnel","Residential Detached",,,"465792",,"Detached",,"7/31/2014",,"BOB MARSH","Concrete Block","2","$587.00",,,,,"5/9/2014",,,"1",,"800-085-927",,"V2J 3X1",,"BC","1994 Moduline Gibralter 14x66 - 2 bdrms plus 4 pc bath at one end. Master bdrm plus 3 pc ensuite at the other. Lomar Mobile Home Park. Very clean and well cared for. Pad rent $216. Living rm has N/G space heater, skylights in kitchen & main bath, hot water tank 2 yrs old. Fridge, stove, washer, dryer incl. 8x39'6 covered sundeck.",,"BC Northern","For Sale",,,,,,,,,"6/21/2014","$42,000","$45.45","0.90","7/2/2014","2","3","MHP","$46,900",,"43",,"924","0.00","0.00","Quesnel","$45.45","0.90","Manufactured"
