"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/f80879035fc59a53ab300ff5fad301f0/NoPhotoAvailable.jpg","N233918","Land Only","S","LOT 6 SALMON VALLEY ROAD","Salmon Valley",,,,,,,,"Road Access",,,"250-640-8899",,"PG Rural North (Zone 76)",,,,,"No","Not Available",,"Salmon Valley","Land",,,,"No",,"Nearby","3/1/2015",,"TIM",,,"$66.00",,,"Yes",,"3/3/2014","Not Available",,,,"013-050-117","Other","V2K 5W3","Yes - Agricultural Land Reserve","BC","Good building lot in Salmon Valley.","Unserviced lot (as per seller), buyer to verify all information.","BC Northern","For Sale","Unknown",,"None",,"No",,,"None","4/28/2014","$11,500",,"0.89","5/8/2014",,,"CR-1","$12,900","Not Known","56",,,"0.00","2.02","Prince George Rural",,"0.89","Other"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260887095/0/120/90/b0f6340251fd7ea06f13453088c37ad1/13/2a8d3d60bf9ab0110f779dba80fb657d/260887095.JPG","N234614","Residential Detached","S","U9 160 E 16 HIGHWAY","Burns Lake - Town","1977","Manufactured","1",,,,,,"37",,"250-692-3530",,"Burns Lake (Zone 55)",,,"0","3",,,,"Burns Lake","Residential Detached",,"BLUE SPRUCE MANUFACTURED HOME PARK","407406",,"Detached",,"4/4/2015",,"DENNIS BOCK","Preserved Wood","1","$162.00",,,,,"4/4/2014",,,"1",,"800-084-956",,"V0J 1E0",,"BC","Move into an ideal location at the end of the road. Landscaped, fenced yard and a covered deck with a fantastic view over the town (with mountains in the background). Own a 3 bedroom mobile featuring laminated kitchen and living room floors, some updated windows. All the bathroom fixtures are upgraded, and a metal roof was added in 2005. The back door covered entrance and the covered deck are recent. The deck has a nice view, and the yard is fenced. Set up with W/D/F/DW, and sofa. Some other furnishings are negotiable. White dining room curtains are not included. PNG has been $132/month year average payment. Hydro has been $45.00",,"BC Northern","For Sale",,,,,,,,,"4/26/2014","$20,000","$21.65","0.80","5/21/2014","1","3","R4","$25,000",,"22",,"924","0.00","0.00","Burns Lake","$21.65","0.80","Manufactured"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260800717/0/120/90/c747bb5bd7ea609da035dc5c3b0a7b60/16/4da0ba8c204526c6c60398f438c749a4/260800717.JPG","V1049172","Residential Detached","S","80 201 CAYER STREET","Maillardville","9999","Manufactured","1",,,,,,"999",,"604-942-0606",,"Coquitlam",,,"0","1",,,,"Coquitlam","Residential Detached",,"WILDWOOD PARK","08114",,"Detached",,"12/31/2014",,"Gord Reimer","Concrete Block","1","$217.00",,,,,"2/22/2014",,,"1",,"800-083-992",,"V3K 5A9",,"BC","*WILDWOOD PARK** Clean and spacious double wide manufactured home in a stable well established park. This unit is immaculate and well maintained both inside and out. Lots of parking and open space here! Features an open concept layout with big rooms and big bright windows. Massive master suite could be two bedrooms. Electric fireplace in living room. This park is very popular with many outstanding amenities such as a clubhouse, playground, indoor swimming pool and tennis court. Great location with easy access to Highway 1, Lougheed Highway, Port Mann Bridge, New Westminster, etc. Conveniently located in historic Maillardville near churches, parks, movie theatres, Superstore, Canadian Tire, etc. WOW!","**Commission: $2,000 WITH PHYSICAL INTRODUCTION TO THE PROPERTY AND ALL SUBSEQUENT SHOWINGS, OTHERWISE $500. http://marketing.remaxdesigncenter.com/85/63285/2088192/","Greater Vancouver","For Sale",,,,,,,,,"4/27/2014","$21,500","$22.21","0.72","5/26/2014","1","1","RMH-1","$29,900",,"64",,"968","0.00","0.00","Coquitlam","$22.21","0.72","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877575/0/120/90/8127e9abe59f866cd77cbbc5e777b0d7/13/0cd4541cac27f458a17a38489120a8c6/259877575.JPG","N223303","Land Only","S","LOT 25 GOLD DIGGER DRIVE","150 Mile House",,,,,,,,"Allowed Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"150 Mile House","Land",,"FRONTIER ESTATES",,"No",,"At Lot Line","10/26/2014",,"LINDA",,,"$301.00",,,"Yes",,"10/26/2012","At Lot Line",,,,"023-898-640","House/Single Family","V0K 2G0","No","BC","1.9 acre lot in Frontier Estates at 150 Mile House. Southern exposure, nice view of the valley, easy access, desirable area with acreage lots, quality homes, good school & close to town.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/24/2014","$24,000",,"0.83","5/1/2014",,,"RR3","$29,000","No","545","110",,"213.27","1.90","Williams Lake Rural",,"0.62","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260885083/0/120/90/9e08b2739875f7b32b05f98e3a1ebeb1/16/866c1ee805b52e584bfd28271554d4a4/260885083.JPG","V1056362","Residential Detached","S","57 40157 GOVERMENT ROAD","Garibaldi Estates","1973","Manufactured","1",,,,,,"41",,"604-815-6826",,"Squamish",,,"0","2",,,,"Squamish","Residential Detached",,"SPIRAL TRAILER COURT","37086",,"Detached",,"10/30/2014",,"NANCI","Other","1","$272.00",,,,,"4/1/2014",,,"1",,"800-084-920",,"V8B 0K8",,"BC","Perfect home for starting out or your weekend getaway home in the Outdoor Recreation Capital of Canada. 2 bedroom mobile home with large detached garage for all the toys! Upgraded electrical, siding, roof, oil tank, hot water tank, some flo oring and appliances. Backs onto designated park. Quiet park in a central location in Garibaldi Estates West. Close to shops, trails, river, and transportation.","Easy to show. Call Nanci for lockbox location and code.","Greater Vancouver","For Sale",,,,,,,,,"4/30/2014","$26,000","$43.33","0.88","4/30/2014","1","2","MHP1","$29,500",,"29",,"600",,"0.00","Dist. of Squamish","$43.33","0.88","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877586/0/120/90/a2f4bb7e1768f0ab98581c9e52193240/13/1125fa3674eb91d460eb82c3e6570b30/259877586.JPG","N223304","Land Only","S","LOT 26 GOLD DIGGER DRIVE","150 Mile House",,,,,,,,"Allowed Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"150 Mile House","Land",,"FRONTIER ESTATES",,"No",,"At Lot Line","10/26/2014",,"LINDA",,,"$301.00",,,"Yes",,"10/26/2012","At Lot Line",,,,"023-898-658","House/Single Family","V0K 2G0","No","BC","1.9 acre lot in Frontier Estates at 150 Mile House. Southern exposure, nice view of the valley, easy access, desirable area with acreage lots, quality homes, good school & close to town.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/24/2014","$27,000",,"0.93","4/30/2014",,,"RR3","$29,000","No","545","130",,"196.86","1.90","Williams Lake Rural",,"0.69","House/Single Family"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260839703/0/120/90/ca46583ed953b3394b42c96ec3df3d1e/16/48c90ab034f6b069f4f30f30be2f9a73/260839703.JPG","V1052648","Residential Detached","S","295 201 CAYER STREET","Maillardville","1973","Manufactured","1",,,,,,"41",,"604-833-6814",,"Coquitlam",,,"0","3",,,,"Coquitlam","Residential Detached",,,"2240",,"Detached",,"12/31/2014",,"Joe Kogler","Concrete Slab","1","$186.00",,,,,"3/12/2014",,,"1",,"800-084-473",,"V3K 2X8",,"BC","Affordable housing could not get any better. This single wide Manufactured home is a great way to own your affordable home. This home offers 3 bedrooms with large add on storage room 9 x 19 (could be den or hobby room or other). Large covered deck. Large fully fenced backyard with two sheds. Park features indoor pool, clubhouse, playground & tennis court. Walk to Superstore, theatres, bowling alley and bus.","Single wide with add on in popular Wildwood Park with large backyard.","Greater Vancouver","For Sale",,,,,,,,,"4/26/2014","$28,500","$30.32","0.88","5/7/2014","1","3","MHP","$32,500",,"45",,"940",,"0.00","Coquitlam","$30.32","0.88","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260747431/0/120/90/ced39118948c03dd6db6942c17cc9d61/15/d7ad9e02cffe52a25028ed070ad197c7/260747431.JPG","F1402092","Residential Detached","S","39 2035 MARTENS STREET","Poplar","1975","Manufactured","1",,,,,,"39",,"604-859-2341",,"Abbotsford",,,"0","1",,,,"Abbotsford","Residential Detached",,"Maplewood Estates","043795",,"Detached",,"10/23/2014",,"Susan Pelzer","Other","1","$152.00",,,,,"1/23/2014",,,"1",,"900-569-891",,"V2T 6M4",,"BC","Well maintained, clean mobile in Maplewood Estates. Large living room and extension, nice U-shaped kitchen, large den and masterbedroom. Spacious bathroom has door to master bedroom. The double lot has a 10x10 wired garden shed plus an addition. The 10x20 covered deck offers lovely outdoor living and there is a 10x10 laundry room attached. Quiet peaceful country setting 10 minutes to shopping and easy freeway access. Age restricted 55+ and no pets allowed.","All measurements approximate. Buyer to verify, if important.","Fraser Valley","For Sale",,,,,,,,,"4/30/2014","$30,000","$34.09","0.75","5/13/2014","1","1","MHP","$39,900",,"97",,"880","0.00","0.00","Abbotsford","$34.09","0.75","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260900986/0/120/90/4f1eba31d57d7e477b6ccc349f9fec86/15/9d530859cd033d3c04fe502259352328/260900986.JPG","F1408691","Residential Detached","S","A 41721 TAYLOR ROAD","Dewdney Deroche","1969","Manufactured","1",,,,,,"45",,"604-820-0555",,"Mission",,,"0","3",,,,"Mission","Residential Detached",,,"23830",,"Detached",,"12/31/2014",,"David Wansink","Concrete Block","1","$350.00",,,,,"4/8/2014",,,"1",,"900-570-743",,"V0M 1G0",,"BC","Looks and feels like a rancher style home. Over 1400 sq.ft. mobile home with addition. 2 big bay windows, large kitchen, 3 bedrooms, updated furnace and pellet stove in living room. Newer roof, laminate floors, covered deck, fully fenced yard for kids & pets. Across the street from Nicomen slough. Feels like water front. Home is in good shape, nice floor plan, low pad rent of $230 month.","Estate sale-Subject to probate.","Fraser Valley","For Sale",,,,,,,,,"4/25/2014","$39,900","$28.20","0.89","5/8/2014","1","3","MHP","$44,900",,"17",,"1,415","0.00","0.00","Mission","$28.20","0.89","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260926065/0/120/90/89086a2535d2fe142c9227e3ba24f9f8/13/be6aac3e925defbc422f47b8aadc227c/260926065.JPG","N235110","Residential Attached","S","409 398 RODDIS DRIVE","Quesnel - Town","1980","Apartment/Condo","1",,,,,,"34",,"250-992-8818",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Attached",,"WILKINSON APARTMENTS",,,"Attached",,"8/31/2014",,"RAY","Concrete Perimeter","1","$531.00",,,,,"4/17/2014",,,"1",,"004-603-893",,"V2J 1A6",,"BC","1 bedroom suite on the upper floor in this quiet building close to schools, transit and shopping. Property is managed and building has good caretakers in place. Currently in rental pool.",,"BC Northern","For Sale",,,,"$188.16",,,,,"4/25/2014","$40,000","$48.37","0.98","5/6/2014","1","2","RM2","$41,000",,"8",,"827","0.00","0.02","Quesnel","$48.37","0.98","Apartment/Condo"
