"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260747482/0/120/90/5dadd428c426e0d00278f64ef4f594c2/15/d8b1b9b3516459bea42c1d41bda551a7/260747482.JPG","F1402094","Residential Detached","S","74 10221 WILSON ROAD","Mission-West","1981","Manufactured","1",,,,,,"33",,"604-855-2472",,"Mission",,,"0","3",,,,"Mission","Residential Detached",,"TRIPLECREEK","39655",,"Detached",,"6/24/2014",,"BRIAN ROCK","Other","1","$415.00",,,,,"1/24/2014",,,"1",,"900-569-898",,"V4S 1L8",,"BC","Great opportunity. Well priced 1540 sq/ft 3BDR mobile, located in Family portion of Triplecreek Estates. Electrical has just been upgraded. Roof 3 years old. Large family room and spacious kitchen. Pad rental $480/month. This property is sold AS IS WHERE IS.","Sale is only subject to Court Approval if purchased by a relative of the bankrupt's. This property is sold AS IS WHERE IS. The vendor provides no representation or warranties of any kind.","Fraser Valley","For Sale",,,,,,,,,"6/1/2014","$18,500","$12.01","0.56","6/13/2014","1","3","MOB","$32,900",,"128",,"1,540",,"0.00","Mission","$12.01","0.39","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260693050/0/120/90/ad203ed1eaaf0465603cb820b6f5048a/14/316cc3cd55142f82b61655a677977242/260693050.JPG","H1304515","Residential Detached","S","81 5742 UNSWORTH ROAD","Vedder S Watson-Promontory","1990","Manufactured","1",,,,,,"24",,"604-858-7179",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"CEDAR GROVE MOBILE HOME PARK","457002",,"Detached",,"6/15/2014",,"RON OR HEIDI","None","1","$1,040.00",,,,,"12/15/2013",,,"1",,"700-006-241",,"V2R 3A2",,"BC","Incredible Value in this bright and spacious 2 Bedroom, 1 Bathroom home. Family friendly park located right across the street from an elementary school and the large yard is perfect for the kids to play in. Country living feel yet still clo se to all the amenities you could possibly need. This one must be seen, get in for your private tour today!","All measurements are approximate and should be verified independently by Buyer if deemed important. Park management approval required.","Chilliwack","For Sale",,,,,,,,,"6/4/2014","$24,500","$25.00","0.82","6/4/2014","1","2","RMH","$29,900",,"171",,"980","0.00","0.00","Chilliwack","$25.00","0.99","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260952608/0/120/90/1552bb873cc951a6099efb7456d456e1/16/c538f22f5c4c8d5e34f2d65c2486593c/260952608.JPG","V1062082","Residential Detached","S","42 21163 LOUGHEED HIGHWAY","West Central","1968","Manufactured","1",,,,,,"46",,"604-377-7765",,"Maple Ridge",,,"0","2",,,,"Maple Ridge","Residential Detached",,"VAL MARIA MOBILE HOME PARK","4674",,"Detached",,"10/1/2014",,"RANDALL DIDIUK","Other","1","$152.00",,,,,"5/1/2014",,,"1",,"800-085-734",,"V2X 2R4",,"BC","Your New Home situated at Grappa Grove & Val Maria Drive in West Central Maple Ridge... a Quiet & Secure Adult Orientated 55+ Community... New Kitchen Stove... New Roof 4 Months old with Warranty... New Hot Water Tank 2012 with Warranty... Newer Laminate Flooring... Comfortable Living Inside & Out with Large Patio Deck that has a 20' x 6' Secure Lighted Storage Room / Freezer Room... a Gardener's Paradise with Prepared Garden Beds - Potter's Shed - Greenhouse Boxes - 8' x 10' Metal additional Storage Shed and a Wooden 6' x 8 Garden Tool Shed... Got a dog?... Fenced in Dog Run... Very Close to Transportation and all the Shopping & Recreational Amenities of Beautiful Maple Ridge... This one will Not Last Long!!","Call L.R Randall Didiuk to View, Seller works Late Shifts on Weekdays.. No Showings before 11:00AM requested... Lease Assignment & Tenancy Documents will be required prior to Mobile Park Approval. NOTE: #2 BDRM Wall removed to Create Larger Activity Area... Easily replaced.","Greater Vancouver","For Sale",,,,,,,,,"6/4/2014","$25,000","$36.55","0.90","6/25/2014","1","2","MFD","$27,888",,"34",,"684",,"0.06","Maple Ridge","$36.55","0.90","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260407590/0/120/90/c84c38e985cbaff38a42cae595dd5daf/13/d74d2f27d7252676f687877dd63f7165/260407590.JPG","N229402","Land Only","S","LOT 5 HORSEFLY ROAD","Horsefly",,,,,,,,"Road Access",,,"604-901-6916",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,"HORSEFLY ROAD",,"No",,"At Lot Line","8/31/2014",,"MICHELLE WONG",,,"$210.00",,,"Yes",,"7/11/2013","Not Available",,,,"010-771-671","House/Single Family","V0L 1L0","No","BC","1 acre sunny building lot with beautiful view of Cariboo Mountains and Harper's Lake. Prime location within walking distance of Horsefly village. Cleared pasture land is mostly level. Driveway in with easy access off paved Horsefly Road. Trees along the road provide privacy. Country living with convenience. You can have it all!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","6/2/2014","$29,900",,"1.00","6/17/2014",,,"RS2","$29,900","Not Known","326","219",,"200.00","1.01","Williams Lake Rural",,"0.81","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260631818/0/120/90/7b35cf121e2f39ee8479a8e4e0abd6e8/14/2de97831b1a993aa387cb3270471d99a/260631818.JPG","H1304189","Residential Detached","S","206 45835 SLEEPY HOLLOW ROAD","Cultus Lake","1983","Manufactured","1",,,,,,"30",,"604-858-7179","1997","Cultus Lake",,,"0","3",,,,"Cultus Lake","Residential Detached",,"CULTUS LAKE ESTATES","424674",,"Detached",,"10/25/2014",,"ALEX","Other","1","$181.00",,,,,"10/29/2013",,,"1",,"745-836-130",,"V2R 5A9",,"BC","Completely re-done inside! Drywall interior, electrical, kitchen appliances, all like new, re-done in 1997. Good sized outdoor patio covered, large yard, RV plenty of parking. Located in scenic Cultus Lake Estates. This place is solid & in great shape!","Quality upgrades throughout includes drywall & electrical. Measurements are approximate & should be verified by the Buyer.","Chilliwack","For Sale",,,,,,,,,"6/2/2014","$31,000","$33.55","0.89","6/6/2014","1","3","RMH","$35,000",,"216",,"924","0.00","0.00","Chilliwack","$33.55","0.81","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260926566/0/120/90/4235ea743e629cf2e4cb2d90ca9be01a/15/45323412a11f82633dac851867639e35/260926566.JPG","F1409783","Residential Detached","S","302 864 160 STREET","King George Corridor","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"South Surrey White Rock",,,"0","3",,,,"Surrey","Residential Detached",,"SEA CREST","83170",,"Detached",,"10/31/2014",,"Les Wellman","Concrete Block","1","$97.00",,,,,"4/22/2014",,,"1",,"900-570-869",,"V4A 4W4",,"BC","Seacrest Park. 5 min walk to White Rock Beach and 5 min drive to U.S. Border, pad rent 633 includes cable vision, large covered deck and carport. Jetted tub, fireplace, gen-air range, B/I Vacuum system. Small pet O.K. family park.",,"Fraser Valley","For Sale",,,,,,,,,"6/3/2014","$32,000","$41.67","0.92","6/9/2014","1","3","MHP","$34,900",,"42",,"768","0.00","0.00","Surrey","$41.67","0.92","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260539372/0/120/90/b2e75779deed26680787d84de303fb33/13/f17d564a0503cec10bde4181a6ad275c/260539372.JPG","N231070","Land Only","S","LOT B GRAYFAIR ROAD","Salmon Valley",,,,,,,,"Road Access",,,"250-961-8643",,"PG Rural North (Zone 76)",,,,,"No","Not Available",,"Salmon Valley","Land",,"SALMON VALLEY",,"No",,"At Lot Line","8/31/2014",,"MONICA FRASER",,,"$146.00",,,"Yes",,"9/18/2013","Nearby",,,,"005-978-530","House/Single Family","V2K 5W4","Yes - Agricultural Land Reserve","BC","Excellent building site with southern exposure and terrific view! 8.16 treed acres. Shared well with Lot 'A'. Tons of privacy. Driveway is in and some services available at lot line. This is an excellent opportunity for someone seeking peac e and tranquility! Zoning allows for manufactured/mobile homes. Lot size taken from BC Tax Assessment.","Internet tower at back of property pays current owner lease of $1800 yearly. Lease renewed March 2014 & is transferrable. Property is in the ALR. Lot size stated by RDFFG is 6.75 ac, lot size stated by BC Tax Assessment is 8.16 ac.","BC Northern","For Sale","None",,"None",,"No",,,"Well - Drilled","6/5/2014","$32,000","$0.09","1.00","6/16/2014",,,"RR1","$32,000","Not Known","260",,,"0.00","8.16","Prince George Rural","$0.09","0.91","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/258032966/0/120/90/5a9a4aacd0015e61c1e54a2cf6be52fb/13/3229c678a21e6f2e1f093514d09ec424/258032966.JPG","N203516","Land Only","S","771 PACIFIC AVENUE","Port Edward",,,,,,,,"Road Access",,,"250-624-1202",,"Prince Rupert (Zone 52)",,,,,"Yes","Not Available",,"Port Edward","Land",,,,"No",,"At Lot Line","2/28/2015",,"VICTOR",,,"$425.00",,,"Yes",,"7/27/2010","At Lot Line",,,,"008-644-306","Duplex","V0T 1G0","No","BC","Located in sunny Port Edward directly across from the manicured grounds of the District office this R-2 zoned flat fully serviced 35x120 property enjoys a great SW exposure. Adjacent 35x120 lot also available!",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","6/4/2014","$33,000","$7.86","0.77","6/12/2014",,,"R-2","$43,000","No","1408","120",,"35.00","0.10","Port Edward","$7.86","1.00","Duplex"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260752136/0/120/90/7f67aeb5f0f2888e6d34d693ff5215b1/13/15412e311442c8b2ae3f350aff269aba/260752136.JPG","N233071","Land Only","S","775 PACIFIC AVENUE","Port Edward",,,,,,,,"Road Access",,,"250-624-1202",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Port Edward","Land",,,,"Yes",,"At Lot Line","2/28/2015",,"VICTOR",,,"$0.00",,,"Yes",,"1/28/2014","At Lot Line",,,,"008-644-314","House/Single Family","V0T 1G0","No","BC","Located in Sunny Port Edward directly across form the manicured grounds of Port Edward's District Office this R-2 zoned fully serviced 35x120 property enjoys a great SW exposure. Adjacent 35x120 lot also available.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","6/4/2014","$33,000","$7.86","0.77","6/12/2014",,,"R-2","$43,000",,"127","120",,"35.00","0.10","Port Edward","$7.86","0.77","House/Single Family"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261011430/0/120/90/7557836074513dc0e1e16dfc7171fc28/13/90adb339e01c4371f3402ee69e2a6a0c/261011430.JPG","N236344","Land Only","S","900 JUBILEE DRIVE","Port Edward",,,,,,,,"Road Access",,,"250-624-9444",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Port Edward","Land",,,,"No",,"At Lot Line","11/22/2014",,"JEFF CLARKE",,,"$600.00",,,"No",,"5/22/2014","At Lot Line",,,,"005-991-161","House/Single Family","V0V 1G0","No","BC","Whether you're looking for a place to build your dream home or simply for a property to hold as an investment this lot is a great option. Located in a very desirable neighbourhood this corner lot even enjoys glimpses of the harbour. With th e excellent location and affordable price this property is sure to go fast so don't miss out on this opportunity.",,"BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","6/6/2014","$36,000","$5.71","0.90","6/16/2014",,,"R1","$40,000",,"15","100",,"63.00","0.15","Port Edward","$5.71","0.90","House/Single Family"
