"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260570132/0/120/90/968bca33834ba432e81ed7f83c834129/15/ce605311b4fe276573aa1e00a511204d/260570132.JPG","F1323065","Residential Detached","S","78 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"38",,"604-590-2444",,"Surrey",,,,"2",,,,"Surrey","Residential Detached",,"Crispen Bays","246131",,"Detached",,"9/30/2014",,"Whitehead Team","Concrete Slab","2","$109.00",,,,,"10/3/2013",,,"1",,"900-563-863",,"V3W 5Y4",,"BC","BEST PRICE IN TOWN! This 774 sq. ft. unit in Crispen Bay features 2 bedrooms AND 2 bathrooms with a central living area leading out on to a 12 x 24 covered deck. Don't miss the best priced listing in all of the Fraser Valley with this unit located near all the shopping and amenities that you'll need, including Costco, Super Store, Newton Transit Exchange, Schools and Recreation Centre.","*S.Comm. 4% + $500 SELLING BONUS upon 1st physical introduction otherwise $100.00 All measurements are approximate and should be confirmed if considered important. Note Selling commission","Fraser Valley","For Sale",,,,,,,,,"4/19/2014","$8,900","$11.50","0.94","5/2/2014","2","2","RM-M","$9,500",,"198",,"774","0.00","0.00","Surrey","$11.50","0.89","Manufactured"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260771760/0/120/90/a6a0ad073fbaab30545dd1b268ff3c89/15/372b7c2eff3833c3706b13fb242699e6/260771760.JPG","F1403285","Residential Detached","S","4 32380 LOUGHEED HIGHWAY","Mission BC","9999","Manufactured","1",,,,,,"999",,"604-820-0555",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,"The Grove Mobile Park","23719",,"Detached",,"2/11/2015",,"Nancy Olson","Concrete Perimeter","1","$0.00",,,,,"2/11/2014",,,"1",,"900-570-034",,"V2V 1A4",,"BC","THE GROVE PARK BEST LOCATION IN MISSION. Over 55 park walking distance to all amenities. Hospital, medical buildings, shopping, restaurants centrally located. Nice 2 bd 1 bath home with nice deck out back with storage shed. Updated windows and is willing to do an update on the electrical system and an inspection upon an offer Also leaving the state of the art Beno Dip 120 HD 3d projection TV system. This clean 2 Bdrm has laminate flooring & is ready to move into. New microwave, newer stove & fridge. Call today for a showing.","*S.COMM. $850 FLAT RATE. Home includes Projection TV..if measurements important please have clients verify. Park Approval Required..Criminal Record Check and Credit Check..Call Listing Realtor for more info.","Fraser Valley","For Sale",,,,,,,,,"4/23/2014","$11,000","$14.82","0.65","5/8/2014","1","2","MHP","$16,900",,"71",,"742",,"0.00","Mission","$14.82","0.65","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260909191/0/120/90/bda3b5b8c8a301fe9d79ce5bbd211ace/15/aa430b455d6d4eefda5d4529761a538b/260909191.JPG","F1409064","Residential Detached","S","75 1840 160TH STREET","King George Corridor","1976","Manufactured","1",,,,,,"38",,"604-803-0424",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"BREAKAWAY BAYS","41576",,"Detached",,"11/30/2014",,"DIANE","Concrete Slab","1",,,,,,"4/8/2014",,,"1",,"900-570-788",,"V4A 4X4",,"BC","If you are looking for a minium investment, are comfortable with a higher monthly rent, this could be for you. No age restriction, so kids are not a problem. This unit has not been remodeled, but is in great shape. Definitely worth consider ation.","Subject to probate.","Fraser Valley","For Sale",,,,,,,,,"4/18/2014","$22,500","$31.25","0.90","5/5/2014","2","2","MFH","$24,888",,"10",,"720",,"0.00","Surrey","$31.25","0.90","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877575/0/120/90/8127e9abe59f866cd77cbbc5e777b0d7/13/0cd4541cac27f458a17a38489120a8c6/259877575.JPG","N223303","Land Only","S","LOT 25 GOLD DIGGER DRIVE","150 Mile House",,,,,,,,"Allowed Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"150 Mile House","Land",,"FRONTIER ESTATES",,"No",,"At Lot Line","10/26/2014",,"LINDA",,,"$301.00",,,"Yes",,"10/26/2012","At Lot Line",,,,"023-898-640","House/Single Family","V0K 2G0","No","BC","1.9 acre lot in Frontier Estates at 150 Mile House. Southern exposure, nice view of the valley, easy access, desirable area with acreage lots, quality homes, good school & close to town.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/24/2014","$24,000",,"0.83","5/1/2014",,,"RR3","$29,000","No","545","110",,"213.27","1.90","Williams Lake Rural",,"0.62","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260821734/0/120/90/46ea1507d01022704e1033a01a8b1c74/15/723495cf03659c8c2d3357137e2ca040/260821734.JPG","F1405330","Residential Detached","S","18 1840 160TH STREET","King George Corridor","1972","Manufactured","1",,,,,,"42",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","37870",,"Detached",,"9/30/2014",,"Les Wellman","Concrete Block","1","$94.00",,,,,"3/3/2014",,,"1",,"900-570-318",,"V4A 4X4",,"BC","Breakaway Bays. 2 bedroom, 1 bath, home in central location, throw a stone to club house. Furnace has been replaced, all windows double glazed thermo. Fridge & stove 2 yrs. old. 2 pets ok, children ok. Complex has a clubhouse, exercise center, pool & activity centre. You are 5 minutes to WR Beach and U.S. Border, pad rent $888 per month includes electricity, water, sewer, garbage and taxes on the land, sewer, garbage and taxes on the land, taxes on mobile $94 per year. Call for viewing.","Vacant. leswellman@shaw.ca","Fraser Valley","For Sale",,,,,,,,,"4/21/2014","$26,200","$34.11","0.80","4/23/2014","1","2","MHP","$32,900",,"49",,"768","0.00","0.00","Surrey","$34.11","0.80","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877586/0/120/90/a2f4bb7e1768f0ab98581c9e52193240/13/1125fa3674eb91d460eb82c3e6570b30/259877586.JPG","N223304","Land Only","S","LOT 26 GOLD DIGGER DRIVE","150 Mile House",,,,,,,,"Allowed Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"150 Mile House","Land",,"FRONTIER ESTATES",,"No",,"At Lot Line","10/26/2014",,"LINDA",,,"$301.00",,,"Yes",,"10/26/2012","At Lot Line",,,,"023-898-658","House/Single Family","V0K 2G0","No","BC","1.9 acre lot in Frontier Estates at 150 Mile House. Southern exposure, nice view of the valley, easy access, desirable area with acreage lots, quality homes, good school & close to town.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/24/2014","$27,000",,"0.93","4/30/2014",,,"RR3","$29,000","No","545","130",,"196.86","1.90","Williams Lake Rural",,"0.69","House/Single Family"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260427814/0/120/90/bd866772c939bf87e1cdc9ee46227c4f/13/61d238791c8845970bfa2a48c97bcd33/260427814.JPG","N229646","Residential Detached","S","1176 4TH AVENUE","McBride - Town","9999","House/Single Family","1",,,,,,"999",,"250-569-2735",,"Robson Valley (Zone 81)",,,"0","1",,,,"McBride","Residential Detached",,,,,"Detached",,"7/18/2014",,"RODGER","None","1","$705.00",,,,,"7/18/2013",,,"1",,"013-917-692",,"V0J 2E0",,"BC","Good starter home. Priced at BC Assessed value. 1 bedroom home. Great for single person or couple. Excellent location close to school, shopping and hospital. Enjoy the ability to walk to wherever you need to go! Beautiful lot 50' frontage a nd 125' depth. Town services.",,"BC Northern","For Sale",,,,,,,,,"4/17/2014","$29,000","$42.15","0.81","4/23/2014","1","1","R-1","$35,750",,"273","125","688","50.00","0.00","Mcbride","$42.15","0.67","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260680770/0/120/90/3c500b9c6b58338247f97dae3f72ccd7/13/652ba51234ccdfca25be5432b7c4ca3c/260680770.JPG","N232465","Land Only","S","LOT 64 KITWANGA DRIVE","108 Ranch",,,,,,,,"Road Access",,,"250-395-0685",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RACH",,"No",,"At Lot Line","6/30/2014",,"DIANE COBER",,,"$373.00",,,"Yes",,"12/2/2013","At Lot Line",,,,"007-484-658","House/Single Family","V0K 1Z0","No","BC","108 building lot close to the 108 Lake, the golf course and the greenbelt trails. Build your dream home here and enjoy all the recreational activities the 108 has to offer.",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","4/17/2014","$30,000",,"0.75","4/29/2014",,,"R1-1","$39,900","No","136","207",,"109.00","0.00","Williams Lake Rural",,"0.75","House/Single Family"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260855155/0/120/90/49cf45d9f9671b854c3dcb4e1cfd393e/15/d9078b4dd2d2e4aa029e45a3d74e997f/260855155.JPG","F1406715","Residential Detached","S","103 7790 KING GEORGE BOULEVARD","East Newton","1978","Manufactured","1",,,,,,"36",,"604-309-4786",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","405485",,"Detached",,"8/31/2014",,"Gary Hennenfent","Other","1","$113.00",,,,,"3/18/2014",,,"1",,"900-570-429",,"V3W 5Y4",,"BC","Discover 2 bedroom gem totally renovated with style! $30,000 invested...show home condition! You will love the new kitchen complete with new cabinets, back splash, sink, hood fan and faucet, new Italian ceramic and slate floors. Safety ensured with new electrical, plumbing thermal windows, screens, locks and doors. Enjoy your future with home's lovely, proven exterior...new siding, deck, gutters and down spouts; 2 sheds for handyman; new Maytag washer and dryer. Easy living as home is close to all shopping, transportation and schools.","No touch base please! Call Gary at 604-309-4786 or 604-572-3005 for showings. Meas. Approx. and should be verified by buyer's agent if imp.","Fraser Valley","For Sale",,,,,,,,,"4/21/2014","$30,000","$30.61","0.91","5/1/2014","1","2","MHP","$32,888",,"34",,"980","0.00","0.00","Surrey","$30.61","0.91","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260899008/0/120/90/65db5627e4d94c64ddaf6e75fd0c588a/13/8f380f1a87ad17db9f8b3d5d2e988aac/260899008.JPG","N234778","Land Only","S","LOT 4 HILLSIDE DRIVE","Forest Grove",,,,,,,,"Road Access",,,"250-395-6599",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Forest Grove","Land",,,,"No",,"At Lot Line","10/31/2014",,"RON KELLY",,,"$311.00",,,"No",,"3/28/2014","Not Available",,,,"002-952-441","House/Single Family","V0K 1M0","No","BC","10-acre parcel near Forest Grove. Perfect for home or recreational use. At the very end of a no-thru road for peace and quiet. Lots of trees, power on property, some old buildings of little value could be converted to a cabin.. L6788",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/17/2014","$32,000",,"0.91","4/22/2014",,,"RR2","$35,000",,"20",,,"0.00","9.94","Williams Lake Rural",,"0.91","House/Single Family"
