"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260638731/0/120/90/5433a494e4429d232775ae4c4ddc13d0/15/3db602290d2ac9944f231accd907e12d/260638731.JPG","F1325431","Residential Detached","S","105 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1976","Manufactured","1",,,,,,"37",,"604-590-2444",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crestway Bays","285487",,"Detached",,"5/30/2014",,"Sharon Lenning","Other","1","$124.00",,,,,"11/7/2013",,,"1",,"900-569-242",,"V3E 6E1",,"BC","Clean, clean and very nice-new laminate flooring, sparkling white kitchen cabinets, spacious living room, everything you need to just move in and feel comfy. Nice covered deck, wired workshop, even a raised garden bed. No work needed here - Move in ready. Flexible possession too.","All information deemed correct, buyer should confirm if important.","Fraser Valley","For Sale",,,,,,,,,"2/25/2014","$19,900","$25.91","0.91","3/26/2014","1","2","MHP","$21,900",,"110",,"768","0.00","0.00","Surrey","$25.91","0.80","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259993627/0/120/90/60ecce4fac85fe749bf57e5ad635f3ed/13/eb0d46319e0cdfd89f3a4a54f0c4e2d5/259993627.JPG","N224165","Land Only","S","MILE 456 HIGHWAY","Fort Nelson - Remote",,,,,,,,"Road Access",,,"250-500-1312",,"Fort Nelson (Zone 64)",,,,,"No","Not Available",,"Fort Nelson","Land",,"W",,"No",,"None Available","12/9/2014",,"JIM",,,"$207.00",,,"No",,"1/12/2013","Not Available",,,,"025-781-847","Recreational","V0C 1Z0","No","BC","Looking for your own personal paradise? This strata lot subdivision is located at Mile 456 of the Alaska Highway at Muncho Lake. One of the most beautiful places on earth! Only a 2 1/2 hour drive North of Fort Nelson and 1/2 hour South of t he world famous Liard Hotsprings. Tucked away from it all behind Double G Services, where you'll always find great personal service and incredible food. Lot has water to the property line and has been tested and approved for a septic system of its own.",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","2/27/2014","$20,000",,"0.71","3/4/2014",,,"N/A","$28,000","Not Known","411",,,"0.00","0.47","Fort Nelson",,"0.67","Recreational"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260791016/0/120/90/a7171f10e6b011654b557f9e1ca57a5b/13/fa5fdc21bc7a20e5b758c1a444bd9ad0/260791016.JPG","N233476","Residential Detached","S","E-11 653 COLUMBIA AVENUE","Kitimat","1975","Manufactured","1",,,,,,"39",,"250-632-7000",,"Kitimat (Zone 89)",,,"0","3",,,,"Kitimat","Residential Detached",,,"EL-087654-2014",,"Detached",,"5/17/2014",,"SHANNON/MELODY","Other","1","$771.00",,,,,"2/17/2014",,,"1",,"800-083-837",,"V8C 1V4",,"BC","Cute and cozy three bedroom mobile home in a quiet park. Very well maintained and does contain some updates to the flooring and is located close to the Dike Road which leads to all kinds of outdoor trails that lead your right down to the Kitimat River. This mobile does have 2 bathrooms. Priced to sell quickly so call today to view.",,"BC Northern","For Sale",,,,,,,,,"2/20/2014","$23,000","$23.47","0.84","2/28/2014","2","3","R6B","$27,500",,"3",,"980",,"0.00","Kitimat","$23.47","0.84","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260367343/0/120/90/5ae30272baee6d213853e926bcf4b9a4/13/c0834b2edff511a2ed9d9da29948fc35/260367343.JPG","N228885","Residential Detached","S","A 1510 N KITWANGA ROAD","Kitwanga","1970","Manufactured with Land","1",,,,,,"43",,"250-635-9184",,"Smithers And Area (Zone 54)",,,"0","2",,,,"Kitwanga","Residential Detached",,,"15233",,"Detached",,"3/31/2014",,"JAMES","Other","1","$274.00",,,,,"6/19/2013",,,"1",,"025-586-131",,"V0J 2A0",,"BC","Small mobile home park centrally located in Kitwanga, close to store, post office and school. Two units on property consist of 2 bedroom mobile home and 12 bedroom ATCO bunkhouse. Third unit presently on property has little or no value. Mob ile home park has not been operated for a number of years as this is an estate sale.",,"BC Northern","For Sale",,,,,,,,,"2/26/2014","$27,000","$40.18","0.90","3/4/2014","1","2","MHP","$29,900",,"252",,"672","0.00","1.86","Terrace Rural","$40.18","0.77","Manufactured with Land"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259842771/0/120/90/bbf61e39a8faeed2d24a14e9f75e8b22/13/ea15e6ed7630916fd3bef5934f5e9d31/259842771.JPG","N222994","Land Only","S","LT 40- 43 LEWIS DRIVE","Quesnel - Town",,,,,,,,"Allowed Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Available","4/11/2014",,"LESLIE OR CLAUDIA",,,"$335.00",,,"Yes",,"10/11/2012","Available",,,,"024-299-961","Other","V2J 5W2","No","BC","Developers take notice! Gated, adult oriented community, secure easy living! Several lots to choose from, being sold in blocks of four. Call for maps and full development package. 3981","Additional PID# 024-299-979, 987, 995 3981","BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","2/28/2014","$32,000","$12.34","0.64","4/23/2014",,,"RS1","$49,900","Not Known","505",,,"0.00","0.06","Quesnel","$12.34","0.64","Other"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259952691/0/120/90/c15a9fd9078dccaf9448e7696b7849e6/13/99ed6f98ca0db0fbecc985de996b508a/259952691.JPG","N223891","Land Only","S","W UPPER FRASER","Willow River",,,,,,,,"Road Access",,,"250-617-3926",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Willow River","Land",,"GISCOME-PENNY",,"No",,"At Lot Line","12/11/2014",,"STEVE",,,"$240.00",,,"No",,"12/11/2012","Not Available",,,,"006-120-377","House/Single Family","V2K 1C2","No","BC","Good value for 87 acres located between Hansard Lake and Upper Fraser with hydro and telephone available along the paved road access.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","2/27/2014","$33,000",,"0.70","3/10/2014",,,"RU1","$47,500",,"443",,,"0.00","87.40","Prince George Rural",,"0.70","House/Single Family"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260770065/0/120/90/75ac8bdd5d729cedbad42546e386b74f/16/c6c32c3771fd0bfd725adc4eacd31643/260770065.JPG","V1046505","Residential Detached","S","33 40157 GOVERNMENT ROAD","Garibaldi Estates","1980","Manufactured","1",,,,,,"34",,"604-815-8846",,"Squamish",,,"0","2",,,,"Squamish","Residential Detached",,"SPIRAL MOBILE PARK","11748",,"Detached",,"2/7/2015",,"ELEANORE MCKENZIE","Concrete Block","2","$433.00",,,,,"2/7/2014",,,"1",,"800-083-602",,"V0N 1T0",,"BC","Great starter home in centrally located Spiral Park. This spacious double wide offers a large living area with a separate rec room/spare bedroom area. New fridge & stove, breakfast bar, new oil tank, certified electrical and in-suite laundry make this home a great buy for the years to come. Spiral is a pet friendly park, home to numerous young families, and retirees. Bring your ideas and transform and diamond in the rough!","Access through sliding door only.","Greater Vancouver","For Sale",,,,,,,,,"2/26/2014","$35,000","$30.38","0.88","3/17/2014","2","2","RMH","$39,900",,"19",,"1,152","0.00","0.00","Dist. of Squamish","$30.38","0.88","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260514435/0/120/90/430b677d6f3a331bd10ceba9aec22212/15/a89545e10fd3e8829a9a7a2446d41573/260514435.JPG","F1321142","Residential Detached","S","28 3031 200 STREET","Brookswood Langley","1972","Manufactured","1",,,,,,"41",,"604-590-2444",,"Langley",,,,"2",,,,"Langley","Residential Detached",,"Cedar Creek Estates","25115",,"Detached",,"9/1/2014",,"Whitehead Team","Other","1","$215.00",,,,,"9/6/2013",,,"1",,"900-564-578",,"V2Z 1N5",,"BC","See inside this bright 992 sf. mobile home to appreciate the open layout. Features include a family room with skylight and gas fireplace, bright kitchen, spacious living room with skylight and air conditioning for comfortable summers, in-s uite laundry and 4 storage sheds. It is located on a corner lot with two parking spaces and room for an RV. The complex is adult oriented (55+) and the clubhouse offers plenty of activities for the owners. 1 pet allowed.","*S.Comm 5% upon first physical introduction otherwise $500.00. All Measurements are approximate and should be verified. 55+ one person must be minimum age. One pet/unit 17 max. at shoulder.","Fraser Valley","For Sale",,,,,,,,,"2/25/2014","$39,500","$39.82","0.92","3/13/2014","1","2","MH-1","$42,900",,"172",,"992","0.00","0.00","Langley","$39.82","0.92","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260714368/0/120/90/0a9329bca2cfb95ebaa5751ca650c92f/13/464c310d1ab0dcc365c6e6b620f55c9c/260714368.JPG","N232751","Land Only","S","10107 114TH AVENUE","Fort St. John - City NW",,,,,,,,"No Access",,,"250-785-8051",,"Fort St. John (Zone 60)",,,,,"No","Not Available",,"Fort St. John","Land",,,,"No",,"None Available","9/30/2014",,"CHAD/CHERYL",,,"$168.00",,,"No",,"1/6/2014","Not Available",,,,"013-341-014",,"V1J 2R4","No","BC","Check out this 50x150 building lot in Northwest area of Fort St. John, Area is not yet developed. This R2 lot has great future potential, the surrounding area is currently under development with a mix midsized executive single family and du plex homes. P2 lot across the street. Close to walking trails & college school.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","2/25/2014","$40,000",,"0.80","2/27/2014",,,"R3","$49,900",,"50","150",,"50.00","0.00","Fort St John",,"0.80","Other"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260671810/0/120/90/57a633fc86e10c5608f10fcef616ceaf/13/01f09b03e0bb57c7093cdaaf3c8abdae/260671810.JPG","N232410","Residential Detached","S","5 7170 HART HIGHWAY","Hart Highway","1980","Manufactured","1",,,,,,"33",,"250-617-3926",,"PG City North (Zone 73)",,,"0","3",,,,"Prince George","Residential Detached",,"IRVINEDALE MOBILE HOME PARK","225904",,"Detached",,"5/31/2014",,"STEVE","Other","1","$715.00",,,,,"11/28/2013",,,"1",,"800-082-068",,"V2K 3A8",,"BC","This 3 bedroom home with an office will make a great home for it's new owners. It is conveniently located 1 block to Kelly Road Secondary and 2 blocks from Heather Park Elementary plus walking distance to shopping. Updates include Vinyl sid ing, windows, kitchen, roof (summer 2013) and a 12x20 addition with a large master bedroom, walk in closet and covered rear entrance. Your kids or small pet will be safe in the fenced yard and you will enjoy the Strawberries, Raspberries and herb garden in the Summer months. Pad rent $360 per month.",,"BC Northern","For Sale",,,,,,,,,"2/24/2014","$43,000","$36.63","0.91","3/7/2014","1","3","MHP","$47,500",,"88",,"1,174","0.00","0.00","City of Prince George","$36.63","0.86","Manufactured"
