"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261120472/0/120/90/a45c0ee3cd3c3db80a55974e1392ae37/13/5e871a42a96d2f858491e573c36adb05/261120472.JPG","N238039","Residential Detached","S","20 8474 BUNCE ROAD","Lafreniere","1973","Manufactured","1",,,,,,"41",,"250-649-9520",,"PG City South (Zone 74)",,,"0","2",,,,"Prince George","Residential Detached",,"HALDI","34657",,"Detached",,"2/28/2015",,"LAURA","Other","1","$152.00",,,,,"7/9/2014",,,"1",,"800-087-531",,"V2N 6P1",,"BC","Quick possession available and certainly cheaper than paying rent. Quiet park in the Haldi area with access to unlimited ATV trails. Nice sized yard that is fenced and has a firepit, large deck at the back. Needs some TLC, but has a newer w asher, newer stove, HWT 2013, and could be a great place to call home. Pad rental is $310 a month which includes water and garbage. The park has a large center play area and lots of mature trees.","Verify all measurements if deemed important to buyer. No lock box by request, ow ner will go out when you are showing. Foundation is pillars.","BC Northern","For Sale",,,,,,,,,"8/29/2014","$7,500","$9.77","0.77","9/5/2014","1","2","MHP","$9,800",,"51",,"768","0.00","0.00","City of Prince George","$9.77","0.58","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261140168/0/120/90/893a030a20629c04e58358024891f569/13/779f0379d765a85b265db2c5c833d199/261140168.JPG","N238318","Land Only","S","13870 GISCOME ROAD","Tabor Lake",,,,,,,,"No Access",,,"250-565-4668",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"At Lot Line","12/31/2014",,"HELEN LECKIE",,,"$127.00",,,"Yes",,"7/18/2014","At Lot Line",,,,"012-139-840","House/Single Family","V2N 6W6","No","BC","A blank canvas! 1.09 acres to develop as you wish. Treed with no lane access. Land size taken from BC Assessment. Adjacent to MLS # N238317","Separate titles for each lot. Additional PID: 008-915-652.","BC Northern","For Sale","None",,"None",,"No",,,"None","8/29/2014","$10,000",,"0.67","9/12/2014",,,"R2","$14,900","Not Known","42",,,"0.00","1.09","Prince George Rural",,"0.67","House/Single Family"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261142106/0/120/90/be44b610ee77d757e2b1974922d3659c/14/ec38b4e9584485076f2ce20d0dd90e91/261142106.JPG","H1403067","Residential Detached","S","48073 RIVERSIDE ROAD","Boston Bar - Lytton","9999","House/Single Family","1",,,,,,"999",,"604-316-3411",,"Hope",,,"0","3",,,,"Boston Bar","Residential Detached",,,,,"Detached",,"10/16/2014",,"LISA KALINSKI","Concrete Perimeter","0","$376.00",,,,,"7/16/2014",,,"1",,"011-355-492",,"V0K 1C0",,"BC","Inexpensive waterfront property! Situated on the bank of the Fraser River with beautiful views. No value in house, land value only.","SUBJECT TO COURT APPROVAL. Land value only, house is uninhabitable & unsafe to enter. DO NOT ENTER! Measurements approximate, unable to measure due to condition of home. SCHEDULE 'A' MUST BE ATTACHED TO ALL OFFERS.","Chilliwack","For Sale",,,,,,,,,"9/4/2014","$10,000","$6.25","1.00","9/5/2014","0","3","N/A","$10,000",,"50","256","1,600","50.00","0.00","Chilliwack","$6.25","1.00","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261059558/0/120/90/93d068cb0c1c9427bf5719f45849fcbd/15/49c9f264168dea78537f4411eedddbec/261059558.JPG","F1415066","Residential Detached","S","22 6571 KING GEORGE BOULEVARD","West Newton","1971","Manufactured","1",,,,,,"43",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"NEWTON PARK","1618227",,"Detached",,"10/31/2014",,"Les Wellman","Concrete Block","1","$75.00",,,,,"6/13/2014",,,"1",,"900-571-476",,"V3W 4Z4",,"BC","Newton mobile home Park, age registered 50+, dogs, 2 bedrooms, located quiet cul de sac. On bus route, quick possession, newer fridge & stove. Hoop up for washer and dryer.",,"Fraser Valley","For Sale",,,,,,,,,"8/29/2014","$12,000","$20.00","0.86","9/4/2014","1","2","MHP","$13,900",,"77",,"600","0.00","0.00","Surrey","$20.00","0.86","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261192245/0/120/90/0d874c49639d6f52ca62f1a1e84e53e8/15/b5c33784be40979f17cd9808cdb32c40/261192245.JPG","F1420297","Residential Detached","S","108 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1977","Manufactured","0",,,,,,"37",,"604-581-3838",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","13482",,"Detached",,"2/28/2015",,"LES WELLMAN","Concrete Block","1","$220.00",,,,,"8/15/2014",,,"1",,"900-572-250",,"V3W 6E1",,"BC","Crestway Bays 3 bdrm double wide 1/1/2 bath, family park newer roof & furnace, gas f/p, covered patio, pad rent at $838.00, 2 small pets ok. Location on quiet cul-de-ac nice yard. Great family deal. Reduced for quick sale!",,"Fraser Valley","For Sale",,,,,,,,,"8/29/2014","$30,000","$26.04","0.86","9/4/2014","2","3","MHP","$35,000",,"14",,"1,152","0.00","0.00","Surrey","$26.04","0.75","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261175789/0/120/90/c604e945fecb03a93059d7cecbcd66b4/15/01ee4ebadc9e6a6d6223a5d3171d32b9/261175789.JPG","F1419551","Residential Detached","S","33 15820 FRASER HIGHWAY","Fleetwood Tynehead","1976","Manufactured","1",,,,,,"38",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"GREEN TREE ESTATES","17728",,"Detached",,"2/15/2015",,"LES WELLMAN","Concrete Block","1",,,,,,"8/6/2014",,,"1",,"900-572-191",,"V4N 0Y0",,"BC","Greentree Estates, 2 bdrm in Seniors Park. Small pets ok. Pad rent $455 per month includes water and sewer, garbage and taxes on the land. Vacant, A/C, F/S, W/D, newer flooring throughout huge huge yard. Parking for 3 vehicles side by side. Walk to all shopping, bus stop out front of park. Only mins to skytrain.",,"Fraser Valley","For Sale",,,,,,,,,"9/5/2014","$34,000","$39.53","0.97","9/23/2014","1","2","MHP","$34,900",,"30",,"860","0.00","0.00","Surrey","$39.53","0.97","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261079834/0/120/90/ed2d577348fbbee2a5eedfe7522cae5a/16/f94f138952a26a0034b22f27d71ac8f1/261079834.JPG","V1072139","Residential Detached","S","255 201 CAYER STREET","Maillardville","9999","Manufactured","1",,,,,,"999",,"604-833-6814",,"Coquitlam",,,"0","3",,,,"Coquitlam","Residential Detached",,,"AL0023",,"Detached",,"12/31/2014",,"JOE KOGLER","Concrete Slab","1","$312.00",,,,,"6/19/2014",,,"1",,"800-087-058",,"V3K 5A9",,"BC","This three bedroom double wide manufactured home features new roof, dry wall through out, near new washer & dryer-new fridge - new stove and dish washer, laminated floor in front room-furnace newly reconditioned (gas), large covered deck & shed. This unit is opposite the play ground just perfect for small children. Close to transportation, walking distance to Superstore and Cineplex and only 2 blocks to transportation. The park offers year round heated pool - club house - weekly bing and card games-two small pets allowed.","New carpeting - new laminated flooring - dry walls and new stove. Call me for viewings 604-833-6814.","Greater Vancouver","For Sale",,,,,,,,,"9/4/2014","$35,000","$40.51","0.82","9/19/2014","1","3","MHP","$42,500",,"77",,"864",,"0.00","Coquitlam","$40.51","0.82","Manufactured"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260912385/0/120/90/e75d9078ac8d84d2d6280c04951ef18c/14/f41724ab60aba6d08ae6e44221e5e2ed/260912385.JPG","H1401493","Residential Detached","S","84 5742 UNSWORTH ROAD","Vedder S Watson-Promontory","1971","Manufactured","1",,,,,,"43",,,"2009","Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"CEDAR GROVE","19289",,"Detached",,"10/11/2014",,"TOUCHBASE","Other","1","$148.00",,,,,"4/11/2014",,,"1",,"700-004-858",,"V2R 3A2",,"BC","Gardener's Delight 2+ bdrm & 1 bath mobile located in the popular Cedar Grove Park. Directly across from Unsworth Elementary. Great location in the park. Very private landscaped fenced yard. Enough parking for 3 vehicles. Awesome sun-de ck! Park approved additional 11'4x7'7 storage & an 11'9x7'11 Shop (attached). Freshly painted throughout inside & shutters, steps & trim outside. Family friendly with no age restrictions. Small pets okay. Includes all appliances. Come check it out.","24 hours notice to show. Touchbase pls. Park approval required. NOTE: Pad fee goes up to $491.28 in JUNE. Children's play house stays. Thank you. Buyer or Buyer agent to verify measurements if deemed important.","Chilliwack","For Sale",,,,,,,,,"8/27/2014","$35,500","$38.97","0.91","9/3/2014","1","2","RMH","$39,000",,"138",,"911","0.00","0.00","Chilliwack","$38.97","0.66","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260779570/0/120/90/57782028ff3728f4cd65d8533b387ae1/13/23c9d56393b19e24f5205f9c862fa05c/260779570.JPG","N233358","Residential Attached","S","1848 BALSAM CRESCENT","Masset","9999","1/2 Duplex","1",,,,,,"999",,"604-557-3597",,"Prince Rupert (Zone 52)",,,"0","4",,,,"Masset","Residential Attached",,,,,"Attached",,"1/29/2015",,"BRIAN BUSSIERE","Concrete Perimeter","2","$936.00",,,,,"1/30/2014",,,"3",,"024-086-029",,"V0T 1M0",,"BC","Nice home in a quiet cul-de-sac, with a park. Large back yard. Bright sunny kitchen! Close to marina and best fishing in the world!!! A must see. Call for a viewing.",,"BC Northern","For Sale",,,,,,,,,"9/5/2014","$44,000","$25.29","0.75","9/22/2014","2","4","R1","$58,900",,"218","92.1","1,740","40.30","0.09","Masset","$25.29","0.67","1/2 Duplex"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260835932/0/120/90/ca2a567f35d307377bd877895236195a/14/6b1a07dc74e4becfab09642164ef40cc/260835932.JPG","H1400940","Residential Detached","S","32 45111 WOLFE ROAD","Chilliwack W Young-Well","1993","Manufactured","1",,,,,,"21",,"604-795-2955",,"Chilliwack",,,"0","2",,,,"Chilliwack","Residential Detached",,"FRASER VILLAGE","22888",,"Detached",,"12/31/2014",,"LAURA","Concrete Slab","2","$516.00",,,,,"3/8/2014",,,"1",,"700-004-499",,"V2P 1V6",,"BC","2 bdrm, 2 bath mobile home in a 55+ complex. Features included brand new roof, skylights which provides lots of natural light, vaulted ceiling & living room, newer fridge & built in china cabinet in kitchen. Large carport with covered deck, attached storage shed AND a detached 12 x 10 storage workshop. Central location close to everything! Near Hospital, recreation, cultural centre, shopping & freeway access. This home is easy to enjoy, view today!","Measurements are approximate Buyer to verify if deemed important. Probate complete.","Chilliwack","For Sale",,,,,,,,,"8/30/2014","$49,000","$50.00","0.94","9/10/2014","2","2","RMH","$51,900",,"175",,"980","0.00","0.00","Chilliwack","$50.00","0.94","Manufactured"
