"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261202190/0/120/90/4275ae10ffab17575d573052e9136da9/13/f0d9b1ed1eec933080c92ff09ec24673/261202190.JPG","N239178","Residential Detached","S","217 PIONEER WAY","Burns Lake - Town","9999","House/Single Family","1",,,,,,"999",,"250-692-7288",,"Burns Lake (Zone 55)",,,"0","2",,,,"Burns Lake","Residential Detached",,,,,"Detached",,"11/18/2014",,"REMAX WRIGHTWAY","Concrete Perimeter","1","$1,089.00",,,,,"8/18/2014",,,"1",,"009-068-937",,"V0J 1E0",,"BC","Level, landscaped lot in an area close to the recreation center, tennis courts and the beach. Existing 1188 sq ft home has been vacant for an extended period of time and has significant issues. If you can swing a hammer, and have a vision, then you mayt be able to renovate this 2 bedroom, 1 bath home and make something of it. Or perhaps you could purchase it as a lot and start from scratch...the price is right! Call today.","Court-ordered sale...as is, where is.","BC Northern","For Sale",,,,,,,,,"9/19/2014","$18,577","$15.64","1.17","10/2/2014","1","2","R1","$15,900",,"32",,"1,188","0.00","0.18","Burns Lake","$15.64","1.17","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260854093/0/120/90/d778eca080f6692cb319fc2b217b6256/13/9fc50d99bc6d828420a47d3b822d9326/260854093.JPG","N234174","Land Only","S","6 BERYL PRAIRIE ROAD","Hudsons Hope",,,,,,,,"Road Access",,,"250-793-4270",,"Fort St. John (Zone 60)",,,,,"No","Not Available",,"Hudsons Hope","Land",,,,"No",,"Available","3/18/2015",,"LANNA TUCKER",,,"$112.00",,,"No",,"3/18/2014","Available",,,,"011-693-479",,"V0C 1V0","Yes - Agricultural Land Reserve","BC","Attractive & affordable! This secluded spot on treed acreage is perfect to build your new home. Natural gas, electricity & telephone available at paved road. Beautiful views of Bullhead Mountain and Butler Ridge to the West. District operat ed treated water stands just a few blocks away, with septic system in area. Don' wait, call LS today for more information on this great piece of paradise!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/15/2014","$30,000",,"0.75","9/19/2014",,,"RU2","$39,900",,"181",,,,"1.01","Hudsons Hope",,"0.75","Other"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261057321/0/120/90/f7ead0f35acf96bb59cd130aef08e2e2/16/82063d2dd07edfed1b11b5596133f960/261057321.JPG","V1070487","Residential Detached","S","95 201 CAYER STREET","Maillardville","9999","Manufactured","1",,,,,,"999",,"604-833-6814",,"Coquitlam",,,"0","3",,,,"Coquitlam","Residential Detached",,,"349",,"Detached",,"12/31/2014",,"JOE KOGLER","Concrete Slab","1","$213.00",,,,,"6/8/2014",,,"1",,"800-086-924",,"V3K 5A9",,"BC","This affordable 3 bedrooms with built in closets in all bedrooms, new laminate flooring in living room, kitchen & master bedroom. All near new appliances (fridge-stove dishwasher). Large covered deck 20x8, small storage shed - All this for the asking price of $38,500. Close to all amenities. Walk to the Superstore, Cineplex-shopping and restaurants - Two blocks to bus. Two small pets allowed.","Small double wide in popular Wildwood Park. Call Joe at 604-833-6814.","Greater Vancouver","For Sale",,,,,,,,,"9/18/2014","$35,502","$41.09","1.00","9/24/2014","1","3","MHP","$35,500",,"102",,"864",,"0.00","Coquitlam","$41.09","0.92","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260956128/0/120/90/ca7c0063b50d49efe5b3dab027ba1e37/15/91f420e5ad53b91cc08671e6c2b0d50e/260956128.JPG","F1411007","Residential Detached","S","20 24330 FRASER HIGHWAY","Otter District","1975","Manufactured","1","0,0",,,,,"39",,"604-590-2444","9999","Langley",,,"0","2",,,,"Langley","Residential Detached",,"LANGLEY GROVE ESTATES","236488",,"Detached",,"9/30/2014",,"Lenning","Other","1","$268.00",,,,,"5/4/2014",,,"1",,"900-569-180",,"V2Z 1N2",,"BC","ALL THE RENOS HAVE BEEN DONE FOR YOU! FLOORING-GYPROC-KITCHEN CABINETS-VINYL SIDING-DOORS-ON AND ON THE LIST GOES-THIS HOME IS MOVE IN READY-YOU WON'T BE DISAPPOINTED-THE HOBBY ROOM COULD BE A 3RD BEDROOM-TV ROOM OR WHAT HAVE YOU-BRING YOUR ONE SMALL PET-NO AGE RESTRICTIONS HERE-LANGLEY GROVE ESTATES IS JUST A NICE COMMUNITY TO LIVE IN-CALL NOW FOR YOUR APPOINTMENT TO VIEW.","BASICALLY ALL RENOS DONE-DRYWALL-CABINETS-DOORS-WINDOWS,ETC.-VACANT AND READY- REALISTIC PRICING-","Fraser Valley","For Sale",,,,,,,,,"9/16/2014","$37,500","$50.74","0.94","9/23/2014","1","2","MHP","$39,900",,"135","0000","739","0.00","0.00","Langley","$50.74","0.84","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261016657/0/120/90/f92b8fc8445f151d459309134ffc86a6/13/18574de5779f966467e31e131e47c0d9/261016657.JPG","N236440","Land Only","S","DISCOVERY ROAD","Chief Lake Road",,,,,,,,"Mixed",,,"250-640-4112",,"PG Rural North (Zone 76)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"None Available","5/31/2015",,"PENNY",,,"$220.00",,,"Yes",,"5/28/2014","Not Available",,,,"005-221-528",,"V2K 5N8","No","BC","75+/- acres on beautiful, private Swamp Lake (nicer than it sounds). Less than 25 minutes to downtown Prince George. This is the recreational property you've been waiting for! The property was logged several years ago (no timber value left) , but has strongly regenerated and has its 'pretty' back. Varying topography offers a couple of nice building sites with views over the lake, perfect for your summer cabin. Trails throughout (and beyond). Hunting, fishing, ATV's or snowmobiles - whatever your hobby, this is the property for you. Access is down Discovery Rd. off Chief Lake Rd. and through Crown, easy to get to but a 4x4 is recommended.","Lot size from Regional District map - to be verified by buyer if important. Acce ss to be verified by buyer.","BC Northern","For Sale","None",,"None",,"No",,,"None","9/18/2014","$40,000",,"0.94","10/14/2014",,,"RU 1/2","$42,500",,"113",,,"0.00","75.00","Prince George Rural",,"0.83","Other"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260912095/0/120/90/b0bfaf5d8cc49a780ca63faea3c4de2d/13/2dea4002c3770c86bb92a582e2be8066/260912095.JPG","N234965","Residential Detached","S","23 1000 INVERNESS ROAD","Aberdeen PG","1989","Manufactured","1",,,,,,"25",,"250-552-5465",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,"INVER MOBILE ESTATES","225911",,"Detached",,"10/14/2014",,"Rick Kerbrat","Other","1","$673.00",,,,,"4/14/2014",,,"1",,"800-085-297",,"V2K 4V3",,"BC","Would like to be North of town in one of the best parks? This 2 bedroom and addition (could be a 3rd bedroom) mobile built in 1989 may be just what your looking for. Over 1000 sq ft of finished living space covered entry, newer flooring and paint. All new appliances, beautiful enclosed deck area and backing onto green space. Very clean - well worth a look. Electrical recently upgraded.","All showing must be confirmed. Easy to show. . Foundation is pillars. 48 Hours notice for all offers. Mobile has just recently been professionally leveled and re-blocked.","BC Northern","For Sale",,,,,,,,,"9/19/2014","$41,000","$37.55","0.89","9/26/2014","1","2","RS5","$45,900",,"158",,"1,092","0.00","0.00","City of Prince George","$37.55","0.82","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260974302/0/120/90/35326402903f631fbefdd2e5532e925b/15/78b9c58f8a80374daa62da571346ded4/260974302.JPG","F1411665","Land Only","S","298 8400 SHOOK ROAD","Hatzic",,,,,,,,"Road Access",,,"604-820-0555",,"Mission",,,,,"No","Not Available",,"Mission","Land",,"THE EVERGLADES RESORT",,"No",,"Available","5/12/2015",,"NANCY OLSON",,,"$1,503.00",,,"Yes",,"5/12/2014","Not Available",,,,"900-571-059","Recreational","V2V 7L5","No","BC","THE EVERGLADES RESORT -Nice lot at Hatzic Lake just steps away from common area. Lot includes a wooden deck with cover. Enjoy all lake activities in this gated community with its own clubhouse, boat launch and parks. Set up for summer call today!","Users Interest in Land & Flood Plain - call LR for more information. Possible financing availabe Call Nancy.","Fraser Valley","For Sale","Community",,"None",,"No",,,"Community","9/19/2014","$43,500",,"0.67","9/29/2014",,,"REC","$65,000","No","130",,,,"0.00","Mission",,"0.67","Recreational"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261171753/0/120/90/a54d13f16452449d35ab8b2c08a6d48a/13/24ad3e3e8ac0f46de551923173e40560/261171753.JPG","N238779","Land Only","S","LOT A QUICK STATION ROAD","Smithers - Rural",,,,,,,,"Road Access",,,"250-847-0335",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"Smithers","Land",,,,"No",,"At Lot Line","8/4/2015",,"RON LAPADAT",,,"$97.00",,,"Yes",,"8/5/2014","Not Available",,,,"024-839-841","House/Single Family","V0J 2X2","No","BC","Unique 5.5 acre property located on a no through road 25 minutes East of Smithers. Heavily treed level property would be a perfect place for your private rural hideaway or fishing cabin. Bulkley River with excellent fishing is across the road, hydro is located along the roadside.","All offers subject to the unconditional sale of the neighbouring home","BC Northern","For Sale","None",,"None",,"No",,,"None","9/13/2014","$44,500",,"0.89","9/22/2014",,,"H1","$49,900",,"39",,,"0.00","5.53","Smithers Rural",,"0.89","House/Single Family"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261243502/0/120/90/222421a48a79f055ab241c1c10c5e5c7/14/afa8501a90e97889e9fe2f9435b3d78f/261243502.JPG","H1403705","Residential Attached","S","209 9175 MARY STREET","Chilliwack W Young-Well","1976","Apartment/Condo","1",,,,,,"38",,"604-795-2955",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,,,,"Attached",,"11/30/2014",,"BONNIE OR STEPH","Concrete Perimeter","1","$564.00",,,,,"9/8/2014",,,"1",,"001-494-112",,"V2P 4H7",,"BC","WHAT A STEAL on this move in ready 1 bdrm 1 bath condo. Inviting neutral colours througout, laminate flooring in kitchen, hallwya & dining area, newer counter tops in kitchen & bath, tile back splash in kitchen with under cabinet lightin g & newer light fixtures. Large private deck looking onto greenery. TWO storage units, one in unit & one in common area. Sceure under building parking, building is close to shopping, recreation & medical offices. 55+, NO pets, NO rentals. Vacant, quick possession possible. WILL NOT LAST AT THIS PRICE..... view this condo today!","Measurements are approximate, Buyer to verify if deemed important.","Chilliwack","For Sale",,,,"$182.87",,,,,"9/18/2014","$45,000","$66.08","1.00","9/22/2014","1","1","R6","$45,000",,"10",,"681",,"0.00","Chilliwack","$66.08","1.00","Apartment/Condo"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260578491/0/120/90/4199a767edb8afd1735093eb628af7c3/15/a743a484c62068b6d5cd776c23a60e22/260578491.JPG","H1303898","Land Only","S","776 RIVER PARADE ROAD","Hope Center",,,,,,,,"Allowed Access",,,"778-565-1397",,"Hope",,,,,"No","Not Available",,"Hope","Land",,,,"No",,"At Lot Line","10/31/2014",,"CHUCK",,,"$1,170.00",,,"No",,"10/7/2013","At Lot Line",,,,"004-854-845",,"V0X 1L4","No","BC","Court ordered sale. Large building lot with great views of Coquihalla River.","SUBJECT TO COURT APPROVAL. All offers must have Schedule 'A' & please request all paperwork via email chuckmagnus@realtynuance.com) before writing all offers.","Chilliwack","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","9/16/2014","$45,600","$6.33","1.14","10/14/2014",,,"RS1","$40,000","No","344","100",,"72.00","0.17","Chilliwack","$6.33","0.51","Other"
