"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260878805/0/120/90/3ce7f4f8bc3acb9a34cdac1b769a71fc/13/f28d3c699ceb7a008a5e478ed22f9716/260878805.JPG","N234519","Residential Detached","S","12 4195 WILDWOOD ROAD","Williams Lake - Rural North","1981","Manufactured","1",,,,,,"33",,"250-398-0371",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,,"254068",,"Detached",,"8/26/2014",,"TANYA RANKIN","None","1","$143.00",,,,,"3/28/2014",,,"1",,"800-084-850",,"V2G 5G4",,"BC","Affordability at its finest! You can have it paid for in a real hurry if you stop paying rent! Make this 2 bedroom, 1 bathroom mobile your own! It's located north of town on the way to the Gibraltar mine, and is only a 2-minute walk to the Wildwood store and gas station. Home purchased as is where is. Come and check it out!",,"BC Northern","For Sale",,,,,,,,,"4/4/2014","$9,800","$10.61","1.00","4/15/2014","1","3","MHP","$9,800",,"7",,"924",,"0.00","Williams Lake","$10.61","1.00","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260880232/0/120/90/7f2e8778f711664c77978ffaae86b44f/15/a1803ecd07066db141e5af16a58c7e8c/260880232.JPG","F1407777","Residential Detached","S","1 3031 200TH STREET","Brookswood Langley","1975","Manufactured","1",,,,,,"39",,"604-889-8600",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"CEDAR CREEK ESTATES","81854",,"Detached",,"6/26/2014",,"Tom Devlin","Concrete Slab","1","$110.00",,,,,"3/28/2014",,,"1",,"900-570-630",,"V2Z 1N5",,"BC","Cedar Creek Estates 55+ adult complex. Wheelchair accessible. Public transport close by. Easy to view. Nice setting. Very active clubhouse with lots of activities.","*S.COMM. $750 FLAT FEE. MHR-9043,CSA-81854,SERIAL # 3D3039,SELLER WILL NOT ACCEPT ANY OFFERS FROM EMPLOYEES OF TD BANK OR ANY OF ITS SUB SIDIARIES.SCHEDULE A AND C MUST BE WITH ALL OFFERS.MEASUREMENTS ARE APPROX. AND IF DEEMED IMPORTANT SHOULD BE CONFIRMED BY PURCHASER.","Fraser Valley","For Sale",,,,,,,,,"4/4/2014","$12,000","$15.75","0.71","5/1/2014","1","2","MH-1","$16,900",,"7",,"762",,"0.00","Langley","$15.75","0.71","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260682749/0/120/90/1aeff0bc9d66f200db89ea288eda9165/15/fc445654f0d471792d2946c6439eb694/260682749.JPG","F1326868","Residential Detached","S","54 7850 KING GEORGE BOULEVARD","East Newton","1977","Manufactured","1",,,,,,"36",,"604-583-2000",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"Bear Creek Glen","39616",,"Detached",,"6/2/2014",,"Lana or Gary Shepherd","Other","2","$300.00",,,,,"12/2/2013",,,"1",,"900-569-544",,"V3W 5B2",,"BC","Great buy in Bear Creek Glen. Double wide with updated kitchen, 3 bedrooms and 2 full baths, large living room, separate formal dining room and eating area. Wheelchair ramp and a wide door for access to 3rd bedroom. Large covered deck fo r outdoor enjoyment and attached 9'x10' workshop with power for your hobbies. Well maintained 55 age park with small pet OK. Central location, close to transit, Superstore & shopping - Easy to show and quick possession possible. Pad rent $820, subject to change, annual taxes approximately $300. Buyer to verify all measurements and fees.","*S.COMM 3.22% to $100,000. minimum $1000.00 upon physical introduction otherwise $500.00 Buyer to verify all measurements and fees.","Fraser Valley","For Sale",,,,,,,,,"3/31/2014","$17,500","$14.23","0.88","4/15/2014","2","3","MHP","$20,000",,"119",,"1,230","0.00","0.00","Surrey","$14.23","0.70","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260643719/0/120/90/63c298e0d79af1b957d958c56b619fc1/15/3df89c29a2323aa67afb6220b1f7c187/260643719.JPG","H1304238","Residential Detached","S","122 3942 COLUMBIA VALLEY ROAD","Cultus Lake","1991","Manufactured","1",,,,,,"22",,"800-668-8661",,"Cultus Lake",,,"0","2",,,,"Cultus Lake","Residential Detached",,"CULTUS LAKE VILLAGE","431396",,"Detached",,"9/30/2014",,"CAROLE OR TOUCHBASE","Concrete Slab","1","$200.00",,,,,"11/6/2013",,,"1",,"700-001-439",,"V2R 5B3",,"BC","Owners says sell! Nice & tidy 2 bedroom mobile home in great park location. Newer appliances, air conditioning. Front and back access for parking. Call realtor for access. Immediate occupancy. Dogs allowed up to 14 at shoulder. Park ap proval required. Detached shop - Approx 8 ft X 8 ft.",,"Chilliwack","For Sale",,,,,,,,,"3/30/2014","$22,400","$28.57","0.90","4/7/2014","1","2","RMH","$24,900",,"144","0","784","0.00","0.00","Chilliwack","$28.57","0.75","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260750579/0/120/90/ec9e50bbef160e06abe1cdd816136b22/15/3a87818ade978f454004d72518d3bcbf/260750579.JPG","F1402224","Residential Detached","S","230 1840 160TH STREET","King George Corridor","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","41568",,"Detached",,"6/30/2014",,"LES WELLMAN","Concrete Block","1","$91.00",,,,,"1/27/2014",,,"1",,"900-569-909",,"V4A 4X4",,"BC","Breakaway Bays 2 bdrm in family park. Small pet ok. Painted throughout, newer floor covering (laminate) skylite, newer w/d, large storage/workshop. Home located on quiet cul de sac a stone throw to clubhouse and swimming pool. 5 minutes to U.S. border & White Rock Beach. Pad rent $867 includes electricity, water, sewer, garbage P/U & taxes on the land. You have door to door garbage & recycle and mail delivery. Taxes on mobile $91 per year. New tiled floor in bathroom. Just move in. New 40 gal H.W.T Jan 2014. New furnace motor 2013 corner large lot.",,"Fraser Valley","For Sale",,,,,,,,,"4/4/2014","$25,000","$32.55","0.84","4/17/2014","1","2","MHP","$29,900",,"67",,"768","0.00","0.00","Surrey","$32.55","0.84","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260452632/0/120/90/1a8f3b8516fd2e90be3f51ac1552eff2/13/800c15d3f6fba9bf8e4fa2344ed1df8b/260452632.JPG","N229993","Land Only","S","1368 FOREMAN ROAD","Tabor Lake",,,,,,,,"Road Access",,,"250-960-8425",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"At Lot Line","6/30/2014",,"OR TEXT TAGGART",,,"$450.00",,,"Yes",,"8/3/2013","At Lot Line",,,,"004-090-420","House/Single Family","V2K 5C5","No","BC","Located a short drive from downtown. This 1.64 acre property has access to city water and sewer services although connections will be needed.","GST applies","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","4/3/2014","$32,500",,"0.96","4/29/2014",,,"RS1","$34,000","Not Known","243",,,"0.00","1.64","City of Prince George",,"0.96","House/Single Family"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260836460/0/120/90/aee71a5b3a6694a0eb2304818d75c600/13/5f7c12c0632ecb6ef1141f8713c6b48a/260836460.JPG","N233951","Residential Detached","S","38 770 11TH AVENUE","Williams Lake - City","1976","Manufactured","1",,,,,,"38",,"250-398-0600",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"FRAN LEE MH PARK","93899",,"Detached",,"5/30/2014",,"Geordie or Cindy","Other","1","$471.00",,,,,"3/11/2014",,,"1",,"800-084-392",,"V2G 2M4",,"BC","Nice home in good park. Ready for you! Good sized addition with large entrance & extra room... Updates include: new roofing & extra insulation, central air conditioning, flooring, counters, some windows, paint. Master Bedroom has a nice large walk-in closet. Nice garden in front yard. Call today. This home is worth a look!","Foundation is wooden blocks.","BC Northern","For Sale",,,,,,,,,"4/5/2014","$34,000","$37.28","0.90","4/9/2014","1","3","MHP","$37,900",,"25",,"912","0.00","0.00","Williams Lake","$37.28","0.85","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260471633/0/120/90/eecb02a856f98fa573c47a06a25d6c31/13/1d9844ca4e3c3f7bc3e6a4b39d60c2cb/260471633.JPG","N230253","Land Only","S","GLEN ROAD","Terrace - Northwest/Rosswood",,,,,,,,"Allowed Access",,,"250-639-1400",,"Terrace (Zone 88)",,,,,"No","Not Available",,"Terrace","Land",,,,"No",,"Nearby","9/30/2014",,"MARC FREEMAN",,,"$1,287.00",,,"No",,"8/14/2013","Not Available",,,,"010-743-855","House/Single Family","V8G 0B3","No","BC","Take advantage of booming Terrace and build your dream home. This is treed and on a quiet end street. Wonderful peaceful area that will do just fine. Forget the cookie cutter homes and build the home you want, the way you want. This is the first piece of the dream home puzzle. take a look at this piece of property and consider the possibilities...","Taxes high because of water assessment of $1000 per year 20 years","BC Northern","For Sale","Unknown",,"None",,"No",,,"None","4/5/2014","$35,000",,"0.88","4/23/2014",,,"R2","$39,900","Not Known","234","150.00",,"100.00","0.00","Terrace Rural",,"1.08","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260578951/0/120/90/135880b8cb6e44b2916e2f5491a58541/13/dc8309392b1f1ed9917b4d1c3643ca2b/260578951.JPG","N231489","Residential Detached","S","21 4501 NAHANNI DRIVE","Fort Nelson -Town","1973","Manufactured","1",,,,,,"40",,"250-775-1019",,"Fort Nelson (Zone 64)",,,"0","3",,,,"Fort Nelson","Residential Detached",,,"34831",,"Detached",,"7/31/2014",,"MYRNA BLAKE","None","1","$310.00",,,,,"10/7/2013",,,"1",,"800-080-456",,"V0C 1R0",,"BC","It doesn't get any cheaper than this!! Why throw away your money on rent when you can enjoy your own space with this 3 bedroom mobile in good condition and the bonus of an addition providing room for all those extras as well as a great area for kicking off the work boots and heavy winter clothing! Recent BC Electrical has been completed so you know the wiring is up to date. Forget about the noisy apartments, the crowded camps or your sister's basement - immediate possession is possible! No appointments necessary to view..just call me today!","1973 14X70 Homco Ambassador Ser# 2797 BC Elec# 34831","BC Northern","For Sale",,,,,,,,,"4/1/2014","$35,000","$29.17","0.88","4/23/2014","1","3","M1","$39,900",,"176",,"1,200","0.00","0.00","Fort Nelson","$29.17","0.88","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260845146/0/120/90/fed38c8030feb75ee3df1ab86fb43baa/16/4c60e24bd088de5ecae935165dca69fa/260845146.JPG","V1053478","Residential Attached","S","421 4295 BLACKCOMB WAY","Whistler Village","1995","Apartment/Condo","1",,,,,,"19",,"604-935-9313",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"HOLIDAY INN",,,"Attached",,"9/15/2014",,"DEAN LINNELL","Concrete Perimeter","1","$1,202.00",,,,,"3/15/2014",,,"1",,"019-193-157",,"V0N 1B4",,"BC","Fabulous Phase II restricted Holiday Inn deluxe studio suite sleeps four and features a fireplace, full kitchen and bathroom with a washer/ dryer. Right in the heart of the Village and just steps from both gondolas. The Phase II usage restriction means that as the owner of this suite you can use it for 28 days in the winter and 28 days in the summer which is almost every weekend! When you're not using it, the hotel manages the rentals and you get a share of the revenues which will cover some of the ongoing monthly expenses. Call today for more details.","Call Dean to view 604-935-9313","Greater Vancouver","For Sale",,,,"$365.00",,,,,"3/31/2014","$40,000","$91.32","0.83","4/17/2014","1","0","RM1","$48,000",,"16",,"438",,"0.00","Whistler","$91.32","0.83","Apartment/Condo"
