"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261110476/0/120/90/ea91690a6239401f4e883c22a17abfc8/15/bac9e4adf03ad7eb820e4b77cb879853/261110476.JPG","F1417109","Residential Detached","S","75 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crispen Bays","241518",,"Detached",,"12/31/2014",,"Les Wellman","Concrete Block","1","$98.00",,,,,"7/8/2014",,,"1",,"900-571-806",,"V3W 5Y4",,"BC","Crispen Bays -2 bdrm in Family park & 2 small pets ok. Vacant, move tomorrow. 5 appliances, covered patio. Walk to all shopping, banking, stone throw to both schools grades 1 thru 12. On bus route only minutes to skytrain, pad rent $836. Tax $98 per year.",,"Fraser Valley","For Sale",,,,,,,,,"8/1/2014","$7,500","$9.19","0.50","8/18/2014","1","2","MHP","$14,900",,"24",,"816","0.00","0.00","Surrey","$9.19","0.50","Manufactured"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260542015/0/120/90/fddbfbde37685626f7868d50ab163e1b/13/c68c417df60e44ad74d94db09accaee5/260542015.JPG","N231093","Land Only","S","LOT 26 CAVERLY ROAD","Lac la Hache",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lac La Hache","Land",,"CAVERLY",,"No",,"Available","11/15/2014",,"DARREL WARMAN",,,"$112.00",,,"Yes",,"9/4/2013","Available",,,,"008-148-783","Other","V0K 1T1","No","BC","Quiet Caverly Road overlooking beautiful Lac La Hache, make this your next recreational property or build to suite your needs. Public lake accesses close by for launching your boat or swimming. Just a 10 minute drive from Hwy 97, on the we st side of the lake providing an ideal location for a cabin, RV site or new home, Lac la Hache is a well known lake for fishing and water sports, with other activities close by such as the 108 Golf Course, Mt Timothy Ski Lodge, trails that go. On forever for those with ATVs, snowmobiles or bikes, Nice area of seasonal and year round homes, for nice neighbourly mix. Triangular lot with 267 feet of road frontage. You won't even find a strata lot for your RV this cheap! Think about it.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/5/2014","$11,000",,"0.92","8/11/2014",,,"R1","$11,900",,"335",,,"267.00","0.34","Williams Lake Rural",,"0.45","Other"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261135639/0/120/90/f91ef2f1306ee6e6c397e294dfba29d6/13/9cc3e4091c78201003241c4991858f15/261135639.JPG","N238272","Land Only","S","1957 BRADFORD ROAD","Bouchie Lake",,,,,,,,"Allowed Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","10/15/2014",,"WILLIAM LACY",,,"$163.00",,,"No",,"7/18/2014","At Lot Line",,,,"023-185-015","House/Single Family","V2J 7B4","No","BC","3 acres of peaceful property, close to town, close to fishing and even closer to the golf course! Build your dream home and live out your days enjoying everything Quesnel and the Cariboo have to offer! With 3 acres there will be plenty of room for anything you can imagine, and priced right!","4634","BC Northern","For Sale","None",,"None",,"No",,,"None","7/27/2014","$15,000",,"0.75","8/5/2014",,,"RR3","$20,000","No","9","0",,"0.00","3.03","Quesnel Rural",,"0.75","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261051685/0/120/90/cfc936c2e14e658959a71fc955e434d0/13/c7235adb606de1235daceddc13f2c040/261051685.JPG","N237005","Residential Detached","S","11 7817 97 S HIGHWAY","Sintich","1973","Manufactured","1",,,,,,"41",,"250-981-2008",,"PG City South East (Zone 75)",,,"0","2",,,,"Prince George","Residential Detached",,"SINTICH TRAILER PARK","147517",,"Detached",,"6/26/2015",,"KAREN","Preserved Wood","1","$150.00",,,,,"6/5/2014",,,"1",,"800-086-808",,"V2N 6P6",,"BC","Good two bedroom home in adult park. Pad rent $330.00. 1973 Glenbrook 12x64 with porch. CSA 147517. Ser #SO565. MHR 10567.",,"BC Northern","For Sale",,,,,,,,,"7/28/2014","$15,000","$19.53","0.88","7/29/2014","1","2","MHP","$17,000",,"53",,"768",,"0.00","City of Prince George","$19.53","0.88","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260816923/0/120/90/85dd6c8098042e52846eb9d4fa99fede/13/ffd15f5cb109a224fe809fa96112f641/260816923.JPG","N233728","Land Only","S","LOT 37 MULLIGAN DRIVE","Horse Lake",,,,,,,,"Road Access",,,"250-395-0685",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,"ANDERSON SUBDIVISION",,"No",,"Available","10/31/2014",,"DIANE COBER",,,"$471.00",,,"Yes",,"3/3/2014","Available",,,,"007-882-581","House/Single Family","V0K 2E0","No","BC","Horse Lake view lot. This property has a view of Horse Lake down the lake access RD. Property is treed and has a small shed on the property. Located in Anderson Subdivision just minutes from 100 Mile House. Water is supplied by a community water system. Natural Gas available at the lot line. Fire hydrant at the corner of the property. Horse Lake is a great fishing and water sports lake, so come and build your home and enjoy all the recreational activities this area has to offer.",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","7/28/2014","$26,000",,"0.74","8/1/2014",,,"R1","$35,000","No","147","368",,"100.00","0.84","Williams Lake Rural",,"0.65","House/Single Family"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260876245/0/120/90/e4260f75a2177f8e6d4046a03d45ab06/15/73743984f7ca5ad712e52c8f4b4f5c98/260876245.JPG","F1407620","Residential Detached","S","63 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1976","Manufactured","1",,,,,,"38",,"604-530-4111",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","10254",,"Detached",,"10/4/2014",,"Touchbase Donna","Concrete Block","1","$147.00",,,,,"4/4/2014",,,"1",,"900-566-157",,"V3W 6E1",,"BC","Huge double wide in Crestway Bays family park. Lots of upgrades and ready for you to move in - THREE bedrms and a full bath. This home has it all! This home is in a great, well maintained park, one of the best locations in the park wit h one of the largest yards. Multiple car parking. Don't miss out on this home as its a lot of home for this price. Pets and family friendly. The location makes for easy commute to everything! Club house, on bus route, only minutes to skytrain. Come see for yourself!","One day's notice for showings required. Please touchbase all showing requests.","Fraser Valley","For Sale",,,,,,,,,"7/30/2014","$30,000","$30.00","0.92","8/19/2014","1","3","MHP","$32,500",,"117",,"1,000","0.00","0.00","Surrey","$30.00","0.80","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260987814/0/120/90/9841715afc1e991b410001cf9846713a/13/4a05d6b27d94592623bac677912e734e/260987814.JPG","N236034","Land Only","S","LOT 3 WELDON ROAD","Red Bluff/Dragon Lake",,,,,,,,"Road Access",,,"250-991-8170",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","8/31/2014",,"WAYNE SEALE",,,"$269.00",,,"Yes",,"5/14/2014","At Lot Line",,,,"019-041-543",,"V2J 4P8","No","BC","Almost 0.6 acres of level land near Dragon Lake. Very quiet residential area and close to school, shopping and recreational, yet feels rural. Sewer hookup at street. Mobiles are allowed, or build your dream home. Call LR for more info.","4541","BC Northern","For Sale","Available",,"None",,"No",,,"None","7/28/2014","$33,000",,"0.83","8/7/2014",,,"R2","$39,900",,"75",,,"0.00","0.59","Quesnel Rural",,"0.83","Other"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261107550/0/120/90/910b48d7bf5066e6567991d1415515e5/13/9651e8fd325b9f3499415b503492d46d/261107550.JPG","N237839","Land Only","S","10110 PAQUETTE AVENUE","Hudsons Hope",,,,,,,,"Road Access",,,"250-783-5791",,"Fort St. John (Zone 60)",,,,,"No","Not Available",,"Hudsons Hope","Land",,,,"No",,"At Lot Line","7/31/2015",,"ROBERT BACH",,,"$501.00",,,"Yes",,"7/4/2014","At Lot Line",,,,"012-203-122",,"V0C 1V0","No","BC","Look at this bargain...priced to sell! This residential building lot is centrally located in Hudson's Hope, and is within a short walking distance of all town services and amenities. The treed lot measures approx 61'x142', which gives you almost 0.20/acre, and is on all minicipal services: electricity, water, sewer, natural gas, telephone and cable TV. Current zoning is R2 (multi-unit residential), which allows flexibility for a variety of uses, including single family homes or townhouses, duplexes, apartments, etc. At this low price, this lot won't be on the market long, so act now and call for an information package. All dead-fall, debris and old structures on lot will be cleaned up by the seller. Great investment property!",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","7/28/2014","$35,000","$4.04","1.00","8/7/2014",,,"R2","$35,000","Yes","24","142",,"61.00","0.20","Hudsons Hope","$4.04","1.00","Other"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260970604/0/120/90/d422fcbba4935a2ef2b69dd034314718/13/b0251badc793b44b438cd693e9102697/260970604.JPG","N235757","Residential Detached","S","5 2155 E COMMODORE CRESCENT","Williams Lake - Rural North","1973","Manufactured","1",,,,,,"41",,"250-392-2670","2008","Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"EVERGREEN MHP","103819/1956",,"Detached",,"11/10/2014",,"HENRY","None","1","$233.00",,,,,"5/8/2014",,,"1",,"800-085-875",,"V2G 5E1",,"BC","Very clean, nicely decorated and well maintained 3 bedroom mobile home with addition. Just north of Williams Lake in Evergreen Mopbile Home Park in Commodore Heights area. Updated furnace, HWT, flooring and paint, and a n/gas free-standing heater make this little gem easy and affordable to own. Covered porch entrance overlooks fenced yard with storage shed and playground area ideal for kids or pets. Rural living within minutes of the city on well-maintained roads.","24 hours notice to view please. Roof resealer in 2010. Pad rental goes up $5.00 per mo July 1st, 2014 to $260.00","BC Northern","For Sale",,,,,,,,,"8/4/2014","$38,000","$36.96","0.96","8/25/2014","1","3","MHP","$39,500",,"88",,"1,028",,"0.00","Williams Lake Rural","$36.96","0.99","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261052291/0/120/90/bb2b794603d36147d0d53b9516751305/15/7c7ccd19dc5505368bc7237a959bf4ec/261052291.JPG","F1414763","Residential Detached","S","40 9080 198 STREET","Walnut Grove","1968","Manufactured","1",,,,,,"46",,"604-513-2300","2012","Langley",,,"0","2",,,,"Langley","Residential Detached",,"FOREST GREEN ESTATES","5150606",,"Detached",,"12/11/2014",,"Rosemary","Other","1","$250.00",,,,,"6/11/2014",,,"1",,"900-571-452",,"V1M 3A8",,"BC","The right size at the right price! Updated 2 BR home features bright, open kitchen/living room area, spacious family room with separate entry; recent improvements include vinyl windows and siding, roof, soaker tub in bath, enclosed workshop /storage/laundry, electrical, hot water tank, covered deck and more! Great yard area, 4 car parking, quiet location in park. Amenities include exercise & rec centre, doggy park and social activities. This gated community lifestyle is for those 55+ and 1 small pet; direct access to shops, restaurants and transit. Call soon, this good buy will soon be good bye!","day before notice to show, 1 owner must be 55 (within calendar year)","Fraser Valley","For Sale",,,,,,,,,"7/31/2014","$38,500","$33.77","0.91","8/11/2014","1","2","MH-1","$42,500",,"50",,"1,140","0.00","0.00","Langley","$33.77","0.91","Manufactured"
