"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260803197/0/120/90/3d126a3d4a055cc2cb5a924db73f3cc4/15/4944e45785fbc28faffd7a1adbfd93ba/260803197.JPG","F1404653","Residential Detached","S","170 7790 KING GEORGE BOULEVARD","East Newton","1974","Manufactured","1",,,,,,"40",,"604-312-0733",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crispen Bays","211759",,"Detached",,"8/30/2014",,"Sandra","Other","1","$110.00",,,,,"2/21/2014",,,"1",,"900-546-158",,"V3W 5Y4",,"BC","This 2bd, manufactured home is located in well cared for Crispen Bays complex with no age restriction and pets allowed. A nice bright layout with some updates and a professionally built extra room built on the porch area is complete with he at & cable for use as an office or den or just tons of extra storage. This family complex offers a pool, park area, clubhouse and is close to shopping& transit is right at the street. This unit is vacant and waiting for your offer,","Vacant & ready to go. Enclosed porch area professionally built & with park approval is calculated in sq footage. Bring all offers, must be sold.","Fraser Valley","For Sale",,,,,,,,,"5/8/2014","$8,000","$9.76","0.62","5/22/2014","1","2","RMM","$12,999",,"76",,"820","0.00","0.00","Surrey","$9.76","0.40","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260822483/0/120/90/0869d40ce85cf80d60eafbd7f68f3a5e/13/644b6b09a1e1ec98b952b3c2d8295371/260822483.JPG","N233780","Residential Detached","S","223 5130 NORTH NECHAKO ROAD","Nechako Bench","1977","Manufactured","1",,,,,,"37",,"250-617-8090","2012","PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,,"306498",,"Detached",,"6/28/2014",,"ROD OR JEN","Other","1","$325.00",,,,,"2/28/2014",,,"1",,"800-084-242",,"V2K 4W3",,"BC","Cheaper than rent! This nicely renovated mobile is located in Caledonia Park. New(er) furnace, hot water tank, roof (5yrs), windows. It was freshly painted a year or so ago, and new flooring, sundeck and windows were put in. At the top of the park, and the end of the road. This allows for greenbelt behind, and only 2 neighbors. Nobody across the road, or behind. A very private setting. Affordable, comfortable living. Hurry in!","Call listing agent for appts. Tenants absolutely need 24 hrs. Vacant April 1. All measurements approx., and should be verified by Buyer if deemed important. Foundation is pillers.","BC Northern","For Sale",,,,,,,,,"5/7/2014","$25,000","$27.47","0.78","5/21/2014","2","2","RS5","$31,900",,"68",,"910","0.00","0.00","City of Prince George","$27.47","0.76","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260068572/0/120/90/e47c59e93322ab3e1a24bdec692b11ff/13/2be614b7d495509bd488c2bf67f647fa/260068572.JPG","N224840","Land Only","S","LOT 11 BAYVIEW ROAD","Fraser Lake",,,,,,,,"Road Access",,,"250-567-9222",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"Available","11/30/2014",,"STAN IRVINE",,,"$185.00",,,"Yes",,"2/15/2013","Not Available",,,,"006-026-826",,"V0J 3A0","No","BC","2 acre lot on Dry William Lake ready to build on. Call for all the details.",,"BC Northern","For Sale","None",,"None",,"No",,,"Other","5/12/2014","$26,000",,"0.65","5/26/2014",,,"R-4","$39,900","Not Known","451","328",,"177.00","0.00","Vanderhoof Rural",,"0.62","Other"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260807907/0/120/90/0e2e8ec4138738a7994ecb553e69f5c4/13/6b823f7396ae0ec37863c2be276fb96a/260807907.JPG","N233628","Land Only","S","4758 POLLARD ROAD","Quesnel - Rural North",,,,,,,,"Road Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","7/31/2014",,"CLAUDIA/LESLIE",,,"$156.00",,,"No",,"2/25/2014","Nearby",,,,"004-394-941","House/Single Family","V2J 6X5","Yes - Agricultural Land Reserve","BC","Development has started on this 5 acres North of the city. Drilled well is in, driveway is in, cleared area for construction, approval for a lagoon has been obtained, natural gas is nearby. Mobile are allowed here so it's quick start to a h obby farm, or just a little piece of country living only 15 minutes from the city. Quiet, fresh air, birch trees and more for a reasonable price.","Well is reportedly slow producer and has a an easement for the neighbour. 4441","BC Northern","For Sale","None",,"None",,"No",,,"Well - Drilled","5/12/2014","$27,000",,"0.77","5/14/2014",,,"RR2","$35,000","No","76",,,"0.00","5.10","Quesnel Rural",,"0.77","House/Single Family"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260961302/0/120/90/34c3c270c4fcbb47a2b8e7403e974613/14/0492dd89c8045dd616e6e87f09324167/260961302.JPG","N235605","Land Only","S","ROSS MEADOW ROAD","Williams Lake - Rural West",,,,,,,,"Mixed",,,"604-491-1060",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"None Available","12/26/2014",,"FREDDY MARKS",,,"$5.00",,,"Yes",,"5/5/2014","Not Available",,,,"015-234-428",,"V2G 3A7","Yes - Agricultural Land Reserve","BC","40 acres of good land for the long term investor! Well priced for a quick sale!","Call for a full package!","BC Northern","For Sale","None",,"None",,"No",,,"None","5/7/2014","$27,200",,"1.00","5/9/2014",,,"R1","$27,200","No","2",,,"0.00","40.40","Williams Lake Rural",,"1.00","Other"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260890409/0/120/90/56a568720e0f0b850b008e420c8e3c39/16/89a39d23d6bb53210ff16392ed0e1d81/260890409.JPG","V1056742","Residential Detached","S","289 201 CAYER STREET","Maillardville","1972","Manufactured","1",,,,,,"42",,"604-671-4393","2014","Coquitlam",,,"0","2",,,,"Coquitlam","Residential Detached",,"Wildwood Park","37145",,"Detached",,"7/31/2014",,"Brian Power","Other","1","$180.00",,,,,"4/3/2014",,,"1",,"800-084-984",,"V3K 5A9",,"BC","Nicely remodeled 2 bedroom single wide with new laminate floors throughout most of the area. Freshly painted. Bright spacious kitchen has new butcher block counters. Newly refinished bathroom. Some newer appliances. Covered front deck & 300 square feet of workshops space attached along side of home.3 good sized sheds. Spacious rear yard with lawn & greenery. Plenty of parking. Quiet complex with recreation facilities including pool, tennis courts & club house.",,"Greater Vancouver","For Sale",,,,,,,,,"5/8/2014","$30,000","$39.06","0.86","5/22/2014","1","2","RMH-1","$35,000",,"35",,"768",,"0.00","Coquitlam","$39.06","0.86","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260448778/0/120/90/b545449b9d590be56f6d174e4dd212e6/13/da36d49e31ea2963d9f348d3861debc1/260448778.JPG","N229945","Land Only","S","LOT 2 E 16 HIGHWAY","Burns Lake - Rural East",,,,,,,,"Road Access",,,"250-692-7288",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"Nearby","7/22/2014",,"REMAX WRIGHTWAY",,,"$227.00",,,"Yes",,"7/29/2013","Not Available",,,,"029-086-671","House/Single Family","V0J 1E0","No","BC","How about 15 acres with highway access and frontage. This property is located minutes East of Burns Lake in the Northern interior of BC. A small meadow in the North Western corner makes a perfect home location. More than one way to look at property. Call today to discuss your ideas.","Subject property recently subdivided. Gross taxes are estimate only.","BC Northern","For Sale","None",,"None",,"No",,,"None","5/10/2014","$33,750",,"0.87","7/22/2014",,,"H-1","$39,000","No","285",,,"0.00","14.63","Houston Rural",,"0.87","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260916004/0/120/90/ad1bad77a6fce892d438d36ad2b8d089/15/590035b511652ff070bc592260ac355d/260916004.JPG","H1401523","Land Only","S","49600 CHAUMOX ROAD","Boston Bar - Lytton",,,,,,,,"Road Access",,,"800-668-8661",,"Hope",,,,,"No","Not Available",,"Boston Bar","Land",,,,"No",,"Nearby","5/31/2015",,"KYLE",,,"$147.00",,,"Yes",,"4/9/2014","Not Available",,,,"014-632-292",,"V0X 1K0","No","BC","Private 13 acres*** Over 88 acres total in Boston Bar, pristine lush location with views of the Fraser River and a flat excavated buliding site perfect for your future home! Just minutes from town, perfect road access. Just minutes fro m the Hwy, Brunswick Creek & Gowen Creek run thru properties, complete with water license... perfect for mini hydro set-up. Nice metal shop located on Prcl A. Forestry investment opportunities are here as well. Activities in the area are plentiful, including: fishing, hunting, boating, hiking, camping, kayaking, canoeing, and whitewate rafting. The varied terrain of the Vanc Coastal & mountains region of BC accomodate every outdoor recreation activity you could imagine!","Property owner would prefer to be sold together with other two parcels - pid #'s 014-632-331 & 014-632-292. Prime for forestry/logging! No restrictions. water licenses available. Call Kyle for more info & package 604-626-7119","Chilliwack","For Sale","Available",,"None",,"No",,,"Other","5/8/2014","$35,000","$0.06","0.88","5/29/2014",,,"RR4","$39,800",,"29",,,,"13.13","Chilliwack","$0.06","0.88","Other"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260934622/0/120/90/3c424a705b6fa9fcf60ccc494dc82884/13/71ab1c988964eeff1ae7cf73df61bb4e/260934622.JPG","N235222","Land Only","S","LOT 1 BRADFORD ROAD","Bouchie Lake",,,,,,,,"Road Access",,,,,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Available","10/31/2014",,,,,"$6.00",,,"Yes",,"4/24/2014","Available",,,,"023-184-990","House/Single Family","V2J 7B4","No","BC","5 acre lot on the corner of Blackwater Road and Bradford Road just before Rocky's General Store. Fenced with culvert and gate. Small cabin (of little or no value). Lot offers excellent privacy and many good building sites. Walking distance to Elementary School and shopping. Fire protection, community hall, pub all within a minute.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","5/9/2014","$41,000",,"0.82","5/13/2014",,,"RR1","$49,900","No","15",,,"0.00","4.99","Quesnel Rural",,"0.82","House/Single Family"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260966733/0/120/90/f8084469abf67233701aea924838d103/13/372a67830b3280ab485a9aeb8358976e/260966733.JPG","N235680","Land Only","S","LOT 5 CHESTNUT STREET","Telkwa",,,,,,,,"Road Access",,,"250-847-0335",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"Telkwa","Land",,"WOODLAND PARK",,"No",,"Available","5/31/2015",,"RON LAPADAT",,,"$719.00",,,"No",,"5/2/2014","Available",,,,"023-572-175","House/Single Family","V0J 2X0","No","BC","Great Telkwa view lot on the bench on Chestnut Street in popular Woodland Park neighbourhood. Level building site, 0.257 acre lot with full services available. Quiet cul-de-sac location and great views of Hudson's Bay Mountain.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","5/10/2014","$42,000","$3.74","0.93","5/16/2014",,,"R-4","$45,000","Not Known","8",,,"68.50","0.26","Telkwa","$3.74","0.93","House/Single Family"
