"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261245956/0/120/90/c516b3c70dd7d38229c1453d6cdcf0f8/15/5961cec82936ad15cb617aee8b30ea54/261245956.JPG","F1422440","Residential Detached","S","80 1840 160TH STREET","King George Corridor","1973","Manufactured","1",,,,,,"41",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","81607",,"Detached",,"12/31/2015",,"LES WELLMAN","Concrete Block","1","$100.00",,,,,"9/5/2014",,,"1",,"900-572-469",,"V4A 4X4",,"BC","Breakaway Bays. Location, location, location. 2 bdrm facing south with a yard to kill for. Newer furnace. Roof recoated 3 yrs ago. F/S, W/D, and window covering all included. Covered patio and carport. Pad rent $861 includes electricity, water, sewer garbage and taxes on the land. $100 a year taxes on mobile, family park, small pet ok. Clubhouse exercise room, recreation room, pool, library, video room. 5 minutes to beach and U.S. border.","leswellman@shaw.ca","Fraser Valley","For Sale",,,,,,,,,"10/1/2014","$21,000","$24.39","0.91","10/15/2014","1","2","MHP","$22,999",,"26",,"861","0.00","0.00","Surrey","$24.39","0.91","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261153848/0/120/90/3d18ee1f5f98ec3c0a42ffbc3ac69796/15/b5ad5334cee5528e676fb3c08f2c3ade/261153848.JPG","F1418698","Residential Detached","S","13 3300 HORN STREET","Central Abbotsford","1975","Manufactured","1",,,,,,"39",,"604-615-6598",,"Abbotsford",,,"0","3",,,,"Abbotsford","Residential Detached",,"GEORGIAN PARK","208432",,"Detached",,"1/21/2015",,"Dale Kler","Concrete Slab","1","$209.00",,,,,"7/23/2014",,,"1",,"900-572-081",,"V4S 6Y9",,"BC","Georgian Park is a 55+ retirement community located in Central Abbotsford and close to all amenities-shopping, churches, recreation, parks & trails. This home is being sold as a fixer-upper and is priced accordingly, it needs paint, new flooring, other cosmetic fixes as well as some landscaping to make it your own. Once done, you will have a great sized 3 bedroom, 1 bath home in a nice area of the city. Most of the windows were updated in 2012 and the roof has been in repair. Call me today to view.","Would love to do a deal with you. Park approval is required.","Fraser Valley","For Sale",,,,,,,,,"10/1/2014","$24,900","$21.10","0.96","10/16/2014","1","3","MHP","$25,900",,"70",,"1,180","0.00","0.00","Abbotsford","$21.10","0.96","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260956021/0/120/90/f311a7469b107d2077dbd06c66a657d3/15/06891d42756c7a56eb4ea6c762f1e282/260956021.JPG","F1411003","Residential Detached","S","3 8953 SHOOK ROAD","Hatzic","1977","Manufactured","1",,,,,,"37",,"604-751-2020","2013","Mission",,,"0","1",,,,"Mission","Residential Detached",,,"39654",,"Detached",,"11/1/2014",,"Use Touchbase / Cyndi","Other","1","$232.00",,,,,"5/1/2014",,,"1",,"900-530-877",,"V2V 5M2",,"BC","The QUIET life only 7 minutes to town. This home is nestled in a small MHP with only 7 units and waterfront access; walk your canoe or kayak 40 feet to the lake! Low pad rent, low taxes. 18 x 11 covered deck extends your enjoyment of thi s 840 sqft, 1 bedroom plus den, 1 bathroom home. Lots of updates including appliances, some flooring and paint, and a gorgeous new kitchen. Some renovating left for your personal touches. Don't Delay, call today!","*$500 SELLING BONUS if Sold before June 30, 2014. Electrical updated. New Silver Seal September 2013 #39654. Leave reasonable acceptance time for offers.","Fraser Valley","For Sale",,,,,,,,,"10/4/2014","$37,000","$44.05","0.84","10/21/2014","1","2","MHP","$44,000",,"156","0","840","0.00","0.00","Mission","$44.05","0.84","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260597043/0/120/90/15deea654d994f3ce1fc7bf7f191e933/13/85ee8ece45985a1abe295b5047b594a3/260597043.JPG","N231660","Residential Detached","S","33 562 ELM STREET","Red Bluff/Dragon Lake","1986","Manufactured","1",,,,,,"27",,"250-991-2787",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"Poplar Grove MHP","444644",,"Detached",,"10/31/2014",,"RAY","Other","1","$468.00",,,,,"10/17/2013",,,"1",,"800-080-861",,"V2J 3X1",,"BC","Excellent condition, open floor plan. Could be 3 bedroom. 1986 mobile with addition. Has ramp entry either/or steps. Workshop, greenhouse, storage, single garage. Lots of raspberries. In Poplar Grove MHP. Pad rent is $210.",,"BC Northern","For Sale",,,,,,,,,"9/29/2014","$45,000","$45.92","0.87","10/28/2014","1","2","MHP","$51,500",,"347",,"980","0.00","0.00","Quesnel","$45.92","0.82","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261062380/0/120/90/1859ea2e682b0b152b36dfbfacd41402/13/a5c4e5d08871f4b1bd68d0f4c71e1193/261062380.JPG","N237168","Residential Detached","S","12 955 13TH AVENUE","Valemount - Town","1992","Manufactured","1",,,,,,"22",,"250-566-1025",,"Robson Valley (Zone 81)",,,"0","2",,,,"Valemount","Residential Detached",,,"CSA#427591",,"Detached",,"10/31/2014",,"TAMMY VANDENOBELEN","Concrete Block","1","$590.00",,,,,"6/14/2014",,,"1",,"800-086-948",,"V0E 2Z0",,"BC","Well maintained home! This 2 bedroom mobile is located in a quiet mobile home park on the edge of town. Nice and bright, sunken living room with a bay window and laminate flooring. Yard is fenced and has a storage shed. This one is priced for a quick sale. Call LR to view.",,"BC Northern","For Sale",,,,,,,,,"10/2/2014","$45,500","$48.51","0.94","10/29/2014","1","2","MHP","$48,500",,"110",,"938","0.00","0.00","Valemount","$48.51","0.94","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261052965/0/120/90/a3cb0cf9eb147fbee822f9cfe4889a34/15/90b1cbdc81740abc040c0597f77164ec/261052965.JPG","H1402489","Residential Attached","S","311 45749 SPADINA AVENUE","Chilliwack W Young-Well","1980","Apartment/Condo","1",,,,,,"34",,"866-855-0800",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,"CHILLIWACK GARDENS",,,"Attached",,"6/30/2015",,"MIKE/LISA","Concrete Perimeter","1","$480.00",,,,,"6/9/2014",,,"1",,"016-033-361",,"V2P 1T5",,"BC","Investors or first time home owner! Rentable 1 bedroom unit in Chilliwack Gardens. Close to downtown. Shared laundry, top floor unit. Long term tenant would like to stay currently paying $559./mth.","Tenants rights apply - please give proper notice. Measurements taken from strata plan, pls verify if important.","Chilliwack","For Sale",,"3",,"$216.38",,,,,"9/29/2014","$52,000","$91.23","0.91","10/23/2014","1","1","R5","$56,900",,"112",,"570",,"0.00","Chilliwack","$91.23","0.89","Apartment/Condo"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261025009/0/120/90/ea2303746a5243c6864dfc2426992081/13/1a5bd21a58ff083aeac0b40ef33c51e7/261025009.JPG","N236546","Residential Detached","S","50 654 NORTH FRASER DRIVE","Quesnel - Town","1994","Manufactured","1",,,,,,"20",,"250-878-5677","2011","Quesnel (Zone 28)",,,"0","3",,,,"Quesnel","Residential Detached",,"RIVER WALK MHP PARK","249469",,"Detached",,"6/1/2015",,"ALANNAH","None","2","$560.00",,,,,"6/2/2014",,,"1",,"800-086-402",,"V2J 1Z6",,"BC","This well loved home in the family section of River Walk MHP offers 3 bedrooms and 2 bathrooms and a great floor plan! A new roof, covered sundeck, and large mud room make this home ready for many years of easy living. Located closed to all your shopping needs. Pets are welcome with approval. Pad rent is $272/month which includes water, sewer and garbage collection. You will appreciate the 2 x 6 construction and generous sized pad. Close to the Quesnel Golf Club and connected to the Quesnel River Front walking loop make this an ideal location to settle in and live affordably. Price to include a fenced yard, and vendor financing available to qualified buyers. Call LS to arrange a viewing.","3 bdrm, 2 bath, great floor plan incl. a lrg mud room, covered sundeck and large pad. New roof, 2x6 construction.& a fully-fenced yard. Pets welcome w/approval & pad rent of $272 inc. water, sewer & garbage collection. Vendor financing avail to qualified buyers. REALTOR owned.","BC Northern","For Sale",,,,,,,,,"10/2/2014","$62,900","$61.43","1.00","10/28/2014","2","3","MHP","$62,900",,"122","90","1,024","45.00","0.90","Quesnel","$61.43","0.91","Manufactured"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261195667/0/120/90/6aafb5acee2acc43e44a73df0571d4a1/13/ebcdb6d227c749d6820723306a5fd2b2/261195667.JPG","N239091","Residential Detached","S","1829 ALDER ROAD","Red Bluff/Dragon Lake","1977","Manufactured with Land","1",,,,,,"37",,"250-991-8170",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,,"CSA#37955",,"Detached",,"11/21/2014",,"WAYNE SEALE","Other","1","$675.00",,,,,"8/15/2014",,,"1",,"016-519-671",,"V2J 3T4",,"BC","Affordable starter home on quiet, dead-end street south of town. 2 bedrooms, good-sized addition, electrical updated.Large .74 acre lot for gardening and outdoor activities.Addition with permit could be 3rd bedrm.Quick possession possible.","Registered easement on title for well. 1977 Bendix Leader SN 74AGF07789. Lockbox inside porch.","BC Northern","For Sale",,,,,,,,,"10/1/2014","$65,000","$68.86","0.87","10/15/2014","1","2","R2","$74,500",,"47",,"944","0.00","0.74","Quesnel Rural","$68.86","0.87","Manufactured with Land"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261161648/0/120/90/822b9ba26751c92d92cc78025e243d8d/15/9d30e60f604bb6c9b304ad22fa24cb8c/261161648.JPG","F1418967","Residential Detached","S","31 7850 KING GEORGE BOULEVARD","East Newton","1979","Manufactured","1",,,,,,"35",,"604-315-5759","2001","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"BEAR CREEK GLEN","37563",,"Detached",,"10/31/2014",,"KRYSTYNA WATTS","Other","1",,,,,,"7/14/2014",,,"1",,"900-572-109",,"V3W 5B2",,"BC","Welcome to Bear Creek Glen - for those with champagne taste on a beer budget! 24x48 D/W 1384 sqft. Totally rebuilt 12 yrs ago (gutted to framing) incl plumbing, electrical insulation & drywall, roof replaced 2 yrs ago, modern kitchen with w hite appliances & cabinets, lots of crown moldings & baseboards, molded one pc tub/shower plus 2 pc ensuite. Addition currently used as bed-sitting/hobby room but could be second Mbdrm or Famrm. Master bedroom was 2 bdrm now a beautiful huge bedroom with 4x8'10 ensuite. Low maintenance landscaping with crushed gravel plus 10x12 insulated workshop. Professional appraisal done in May 2014. This is a well maintained home (occupied 6 mos annually). Motivated sellers!. Try your offer! Easy to show!","Age restriction 55+, pets allowed with restrictions.","Fraser Valley","For Sale",,,,,,,,,"9/28/2014","$66,000","$47.69","0.94","10/9/2014","2","2","MHP","$69,900",,"76",,"1,384","0.00","0.00","Surrey","$47.69","0.76","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261282361/0/120/90/766b0b14e3dd65e82fccaea97da83dcf/16/18dfa55601f7067ba65a0a3fd7bd7f73/261282361.JPG","V1087390","Residential Detached","S","1 201 CAYER STREET","Maillardville","1973","Manufactured","1",,,,,,"41",,"604-307-5937",,"Coquitlam",,,"0","4",,,,"Coquitlam","Residential Detached",,"WILDWOOD PARK","BCE 37176",,"Detached",,"12/25/2014",,"ROBERT PHILLIPS","Concrete Slab","1","$191.00",,,,,"9/26/2014",,,"1",,"800-089-217",,"V3K 5A9",,"BC","Beautifully updated & well cared for Over 1150 sqft. 4 bdrm double wide manufactured home situated on large lot in Wildwood Park newer Gourmet kitchen w/island spacious living rm. & dining rm. Living rm has gas fireplace & French doors leading out to huge covered 12x20 sundeck, Great for those summer bbq. Laminate flooring in L/R, D/R & kitchen. Updated 4 pc washrm. Newer vinyl window thru-out, property has 10x12 insulated w/power workshop +16x12 garden shed. Wildwood Park has wonderful recreation facilities plus indoor pool. Close to transportation, shops & School. Open HOuse Sunday Oct. 5th from 2-4pm.","Please note all offers must be submitted w/the following attachments Schedules A & C contact Realtor for futher details. Property is vacant lock box on. Please call before showing. OPEN HOUSE Sun Oct 5, from 2-4 pm.","Greater Vancouver","For Sale",,,,,,,,,"10/5/2014","$70,000","$60.76","0.94","10/9/2014","1","4","MNF HO","$74,900",,"9",,"1,152","0.00","0.03","Coquitlam","$60.76","0.94","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261242386/0/120/90/2ec4e70b197e46f14ee1cccfef328e71/15/375725fbaa66deeca91cb049932aab58/261242386.JPG","F1422279","Residential Attached","S","102 33598 GEORGE FERGUSON WAY","Central Abbotsford","1982","Apartment/Condo","1",,,,,,"32",,,,"Abbotsford",,,"0","1",,,,"Abbotsford","Residential Attached",,"NELSON MANOR",,,"Attached",,"9/30/2015",,"MINDY","Concrete Perimeter","1","$666.00",,,,,"9/9/2014",,,"1",,"001-999-001",,"V2S 2L8",,"BC","Attention First Time Buyers!!! It doesn't get any more affordable to own than this!!! Only $69,900!!! Nice corner unit with huge deck (very private). Walk to shopping, restaurants and most amenities in the great 'Old Town Abbotsford'. No ag e restrictions!!! Priced to sell!!!","*S.Comm 3.2% 1st 100K/1.15% Bal based on 1st physical introduction, otherwise $250. Touchbase all showings. Email offers to mindy@mindymcpherson.com . All meas, sqft & age are approx, should be verified by buyer/selling agent. Tenant very cooperative, but needs some notice.","Fraser Valley","For Sale",,"3",,"$210.00",,,,,"10/4/2014","$70,500","$125.00","1.01","10/21/2014","1","1","MULTI","$69,900",,"25",,"564",,"0.00","Abbotsford","$125.00","1.01","Apartment/Condo"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261240032/0/120/90/4ce132e00b86ebad0dfe283377a30aaf/13/a4d6f526c10e2b46b3ffd0f9be20a452/261240032.JPG","N239624","Residential Detached","S","6830 LANGER CRESCENT","Emerald","1970","Manufactured with Land","1",,,,,,"44",,"250-960-8338","9999","PG City North (Zone 73)",,,"0","3",,,,"Prince George","Residential Detached",,"Emerald","1139",,"Detached",,"3/31/2015",,"or text Verna","Other","1","$1,300.00",,,,,"9/8/2014",,,"1",,"010-428-313",,"V2K 2N4",,"BC","Very affordable 3-bedroom home - could be a great starter or empty nest. Cozy decor, clean & well kept. Mud room, dining room, extra bedroom and laundry in addition. Electrical upgraded to 100 amp in 2014. 1/4 acre lot is partially fenc ed and has garden area and large storage shed. Nice homes in area. (Square footage & room sizes approximate - buyer to verify.)","Electrical upgraded from 60 amp to 100 amp July 2014. ly 2914. Trussed metal roof approx 25 years old by history. MH has reg # but exempted as of September 1996. Foundation concrete pillars for mobile, wood for addition.","BC Northern","For Sale",,,,,,,,,"10/1/2014","$72,500","$63.32","0.91","11/12/2014","2","3","RS1M","$79,900",,"23",,"1,145",,"0.25","City of Prince George","$63.32","0.91","Manufactured with Land"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261277048/0/120/90/1833957ca1a4e314b4505cfa31da1f12/16/11853ebd0bd9ed31a9bd572927b7bb26/261277048.JPG","V1087005","Residential Attached","S","314 4122 VILLAGE GROVE","Whistler Village","1987","Apartment/Condo","1",,,,,,"27",,"604-905-4009",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"ADARA HOTEL",,,"Attached",,"4/30/2015",,"ADARA HOTEL FRONT DESK","Concrete Perimeter","1","$1,497.00",,,,,"9/25/2014",,,"1",,"006-932-703",,"V0N 1B4",,"BC","The Adara Hotel is a Phase II property and this is a studio loft with village and mountain views to the North. The suite offersa kitchenette with bar fridge, microwave, coffee facilities and an electric fireplace. This central location lets you park the car,walk to the ski hill and enjoy Village festivities. This property is also pet friendly. Revenues will cover expenses. Outdoorpool and hot tub.","Courtesy call to LR Laura 905-8777 or Doug 905-8626. Adara Front desk for availa bility 905-4009","Greater Vancouver","For Sale",,,,"$452.00",,,,,"10/4/2014","$73,000","$139.31","0.94","10/20/2014","1","1","CC1","$78,000",,"9",,"524",,"0.00","Whistler","$139.31","0.94","Apartment/Condo"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261287408/0/120/90/33d442457e3967ee63c0dd6c1f138bee/14/b7e9b5e30b6fbc0b18ebe460037994f6/261287408.JPG","H1403974","Residential Attached","S","13 46260 HARFORD STREET","Chilliwack N Yale-Well","1982","Apartment/Condo","1",,,,,,"32",,"604-858-7179",,"Chilliwack",,,"0","2",,,,"Chilliwack","Residential Attached",,"Colonial Courts",,,"Attached",,"1/31/2015",,"Michelle or Bill","Concrete Perimeter","1","$932.00",,,,,"10/1/2014",,,"1",,"015-722-708",,"V2P 2W3",,"BC","Investors and first time buyers alert! Buy this competly renovated 2 bedroom condo with-in walking distance of schools and shopping. Brand new kitchen, bathroom, new tile and carpet and flooring, new paint and blinds. Includes 5 new applia nces including washer and dryer. Nothing to do but move in and enjoy the affordable accommodations or cash in on the profit",,"Chilliwack","For Sale",,,,"$144.14",,,,,"10/5/2014","$74,000","$84.96","0.93","10/17/2014","1","2","R4","$79,900",,"4",,"871","0.00","0.00","Chilliwack","$84.96","0.93","Apartment/Condo"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261273891/0/120/90/087381a0a01c70107ded313c891970dd/13/0e5b8a3f1dd72c973035fdc4d2ea6e50/261273891.JPG","N240011","Residential Attached","S","106 3777 MASSEY DRIVE","Pinecone","9999","Apartment/Condo","1",,,,,,"999",,"250-565-1170",,"PG City West (Zone 71)",,,"0","1",,,,"Prince George","Residential Attached",,,,,"Attached",,"1/31/2015",,"ANDY","Concrete Perimeter","1","$1,085.00",,,,,"9/23/2014",,,"1",,"023-283-548",,"V2N 4J6",,"BC","Attractive 1-bedroom condo has all new flooring; fresh paint; new, mirrored closet doors; and the kitchen sports a new built-in microwave. The fridge and stove are in good shape. The complex has an indoor pool, hot tub, sauna and outdoor tennis courts. Very affordable and close to the bus route and Pine Center Mall.","Tenanted, so 24 hours notice please.","BC Northern","For Sale",,,,"$181.21",,,,,"9/29/2014","$74,000","$109.14","0.96","10/14/2014","1","1","RM3","$77,500",,"6",,"678",,"0.00","City of Prince George","$109.14","0.96","Apartment/Condo"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260915390/0/120/90/bb2c31cf0137e22a6528a9f70bbd46b0/16/1230c6a982d134e2f814265be6dcac72/260915390.JPG","V1058987","Residential Attached","S","151 4050 WHISTLER WAY","Whistler Village","2005","Apartment/Condo","0",,,,,,"9",,"604-932-1982",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"Whistler Village",,,"Attached",,"11/14/2014",,"ART AMKHITARYAN","Concrete Slab","1","$1,726.00",,,,,"4/15/2014",,,"1",,"013-200-267",,"V0N 1B4",,"BC","A relaxing getaway is what you can look forward to with this unit! Located in the Hilton Whistler Resort & Spa, in the heart of Whistler Village, this unit provides you with all your needs and wants including shopping, recreation or just relaxing with a good book! Named as the 10th top resort hotel in Canada by Conde Nast, you are steps away from lifts to both mountains. When you aren't using the unit, you can generate revenue potential through Hilton Management.","Court Ordered Sale - where is, as is. Measurements to be verified by Buyer if needed. Schedules A & C to be attached to all offers.","Greater Vancouver","For Sale",,,,"$324.04",,,,,"9/29/2014","$76,000","$213.48","0.88","11/4/2014","1","0","CC1","$86,900",,"167",,"356",,"0.00","Whistler","$213.48","0.69","Apartment/Condo"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260562051/0/120/90/b51e0442d6a67ae6d48bddc7027dac0c/13/b6d45e8fdfe3150c048388597fe64017/260562051.JPG","N231262","Land Only","S","18400 HUGHES ROAD","Blackwater",,,,,,,,"Road Access",,,"250-981-3100",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,"BLACKWATER/WEST LAKE",,"No",,"At Lot Line","10/31/2014",,"CALL/TEXT MIKE",,,"$391.00",,,"Yes",,"9/30/2013","At Lot Line",,,,"028-368-339","House/Single Family","V2N 6S2","No","BC","This 15 acres parcel is overlooking Beaverly Creek and is very private yet only 10 minutes to town and shopping. There is a great 7 acre treed private building site with the remainder of the lot being a creekside open meadow with some majes tic vistas. Natural gas, telephone, and power are at the lot line and the adjacent lots have had good perc tests for septic. Mobiles are allowed and property is not in the ALR. Lot size is taken from BC Assessment.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/1/2014","$76,000","$0.12","0.85","10/10/2014",,,"SH","$89,900","Not Known","366",,,"0.00","15.05","Prince George Rural","$0.12","0.85","House/Single Family"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261286553/0/120/90/41daaecb0b22efdd3295825f227d8b22/15/ffd6a9319e961dde898a38861a621679/261286553.JPG","F1423961","Residential Attached","S","308 32055 OLD YALE ROAD","Abbotsford West","1981","Apartment/Condo","1",,,,,,"33",,"604-855-0800",,"Abbotsford",,,"0","1",,,,"Abbotsford","Residential Attached",,"THE NOTTINGHAM",,,"Attached",,"1/30/2015",,"RICK EDEN","Concrete Perimeter","1","$634.00",,,,,"9/29/2014",,,"1",,"001-778-935",,"V2T 2C8",,"BC","Top Floor, corner unit at 'The Nottingham'. Adult oriented, restricted to 45+ years. Very well kept and beautifully landscaped complex. Immaculate 1 bedroom suite. Nice maple kitchen with new countertops & tiled backsplash. Newer Maytag washer and dryer. Living room has 12' glass sliding door to covered sundeck with view of Mt.Baker. Roof only 4 years old. Storage in both unit and locker storage. 2 parking spot available for $15/month. Bonus, maintenance fee includes electricity, heat and hotwater. Shows Great!","*S.Comm. 3.22% 1st 100K/1.15% balance upon first physical introduction.","Fraser Valley","For Sale",,"3",,"$218.00",,,"36",,"10/5/2014","$78,500","$103.02","0.98","10/27/2014","1","1","MF","$79,900",,"6",,"762",,"0.00","Abbotsford","$103.02","0.98","Apartment/Condo"
