"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260607667/0/120/90/2e8651b9fbf39cb3b55ec1f7ef1b6454/14/0b1a468d135b69e92a787b4cc35654af/260607667.JPG","H1304043","Residential Detached","S","9 44565 MONTE VISTA DRIVE","Vedder S Watson-Promontory","1976","Manufactured","1",,,,,,"37",,"604-819-8583",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"MOUNTAINVIEW MOBILE PARK","25259",,"Detached",,"4/19/2014",,"MICHELLE CLEMENT","Concrete Block","1","$342.00",,,,,"10/19/2013",,,"1",,"700-008-789",,"V2R 5Y4",,"BC","Located in Mountainview Mobile Home Park. This 1000 square foot two bedroom plus den/storage home has open floor plan, lots of light and wood stove to save on your heating costs. Covered deck, carport and storage shed. Fantastic Sardis loca tion is quiet and convenient.","Measurements approx. Buyer to verify if concerned.","Chilliwack","For Sale",,,,,,,,,"2/8/2014","$18,750","$18.75","0.75","3/6/2014","1","2","RMH","$24,900",,"112",,"1,000","0.00","0.00","Chilliwack","$18.75","0.63","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260342080/0/120/90/8a348b4fb3f7027a0271a5192335dc93/13/4895761c4687ea253bf822edaa322189/260342080.JPG","N228497","Residential Attached","S","2016 HEMLOCK CRESCENT","Masset","9999","1/2 Duplex","1",,,,,,"999",,"250-622-7653",,"Prince Rupert (Zone 52)",,,"0","4",,,,"Masset","Residential Attached",,,,,"Attached",,"6/12/2014",,"DOROTHY","Concrete Slab","1","$974.00",,,,,"6/13/2013",,,"3",,"024-082-694",,"V0T 1M0",,"BC","Half duplex on 5845 sq ft lot, locatated in a central area in a quiet cul-de-sac, 4 bedrooms; 1 1/2 baths, home requires renovations- great for the handy person to hone their skills. Can be sold with adjoining property/duplex check these ou t!","This building has had various leaks in the past and presently, both plumbing( th e water is shut off) and through the roof/windows. There is plenty of visible mold throughout requiring extensive renovations. The basement appears dry. There is currently no heat or electricity.","BC Northern","For Sale",,,,,,,,,"2/4/2014","$21,300","$11.87","1.07","2/11/2014","2","4","R1","$20,000",,"236",,"1,794","0.00","0.13","Masset","$11.87","1.07","1/2 Duplex"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260298292/0/120/90/7ca89fa481a9e79815da004d8efdc530/13/611e5aecf5379e3a47f4dc0c2b39965c/260298292.JPG","N227874","Residential Detached","S","27 3614 KALUM STREET","Terrace - City","1971","Manufactured","1",,,,,,"42",,"250-615-1350","2011","Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"HOWE CREEK MOBILE HOME PARK","45792",,"Detached",,"4/1/2014",,"DARREN BEAULIEU","Other","1","$129.00",,,,,"5/27/2013",,,"1",,"800-076-966",,"V8G 4E2",,"BC","Updated 2 bedroom home just 2 blocks from downtown Terrace. This mobile has had many recent updates including siding, skirting, windows, flooring, bathroom, and appliances. This home uses electric heat, no gas bills! Pad fees are only $250. Call or Click today for more information or an appointment to view. Seller is motivated!!!",,"BC Northern","For Sale",,,,,,,,,"2/4/2014","$34,900","$42.67","1.00","2/20/2014","1","2","MHP","$34,900",,"253",,"818","0.00","0.00","Terrace","$42.67","0.70","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260230148/0/120/90/209895489e28ee4c97ebf736b2e8f653/13/47fb43f88cb85d12d4198903f08427c8/260230148.JPG","N226784","Residential Detached","S","6572 WUTKE ROAD","100 Mile House - Rural","9999","House/Single Family","1",,,,,,"999",,"250-706-2518",,"100 Mile House (Zone 10)",,,"0","1",,,,"100 Mile House","Residential Detached",,,,,"Detached",,"4/18/2014",,"BRENDA","Other","2","$677.00",,,,,"4/25/2013",,,"1",,"013-498-100",,"V0K 2E0",,"BC","Lovely level 1 1/4 acres just a couple of KM south of 100 Mile. Easy access off the highway. Home is of little value. As is where is. L6452","Please check measurements if important. As is where is. No knowledge of septic, well, roof etc. Only 60 AMP services!","BC Northern","For Sale",,,,,,,,,"2/6/2014","$35,000","$27.87","0.88","2/11/2014","2","1","R2","$39,900",,"287","0","1,256","0.00","1.25","Williams Lake Rural","$27.87","0.50","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259329322/0/120/90/1c800d2f6bf48c3bc4673dec345f3547/13/efd591d70d2dceea46c782b3f9185241/259329322.JPG","N216589","Residential Detached","S","84 HAYS VALE DRIVE","Prince Rupert - City","1973","Manufactured with Land","1",,,,,,"39",,"250-627-7551",,"Prince Rupert (Zone 52)",,,"0","2",,,,"Prince Rupert","Residential Detached",,"HAYS VALE SUB.","39472",,"Detached",,"1/31/2015",,"Keith Lambourne","Other","1","$596.00",,,,,"3/15/2012",,,"1",,"012-980-960",,"V8J 3Z1",,"BC","Are you looking for affordable housing, phone for a viewing of this well maintained two, possible three, one bath manufactured home in Hays Vale Subdivision. Updated countertops in 2010, torch on roofing material 2001, and a gas fireplace i n the living room for heating. There is a covered deck for your summer BBQ's, also detached workshop for the handy person in the family, and extra parking for your cars and toys.","Furnace has been removed, ducting is still in place. Gas fireplace and plug in e lectric heaters used for heating.","BC Northern","For Sale",,,,"$145.00",,,,,"2/5/2014","$45,000","$48.70","0.92","2/20/2014","1","2","RMH","$49,000",,"692",,"924","100.00","0.14","Prince Rupert","$48.70","0.54","Manufactured with Land"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260727927/0/120/90/da30040146c006c5462ed5705e849996/16/2864bd4a2037c7aab91bad9f4de613a2/260727927.JPG","V1042450","Residential Detached","S","262 201 CAYER STREET","Maillardville","9999","Manufactured","1",,,,,,"999",,"604-833-6814",,"Coquitlam",,,"0","2",,,,"Coquitlam","Residential Detached",,,"1666",,"Detached",,"8/31/2014",,"JOE KOGLER","Concrete Slab","1","$226.00",,,,,"1/14/2014",,,"1",,"800-082-984",,"V3K 2X8",,"BC","Affordable housing couldn't get any better than this double wide Manufactured home. Is a great economical way to own your own home in very desirable mobile home park. Wildwood Park is only steps away from Superstore, Cineplex and bus stop. Park has indoor pool, clubhouse, playground & tennis court. Two small pets allowed. Don't miss this opportunity.","All measurements approximate, to be verified.","Greater Vancouver","For Sale",,,,,,,,,"2/10/2014","$50,000","$43.48","0.91","2/20/2014","2","2","MHP","$55,000",,"27",,"1,150","0.00","0.00","Coquitlam","$43.48","0.91","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259980941/0/120/90/9e3194f103f501d3a3294ab7c0326529/13/32ebc3866f2c43d0d5ceee91bbd91cb1/259980941.JPG","N224048","Residential Detached","S","5038 S LIKELY ROAD","Horsefly","1983","House with Acreage","1",,,,,,"30",,"250-267-4371",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,,,,"Detached",,"12/30/2014",,"JANETTE RENNIE","Concrete Slab","1","$577.00",,,,,"1/7/2013",,,"1",,"013-889-109",,"V0L 1N0",,"BC","Recreational delight! in this log home directly across from well known Quesnel River South Likely Road. Located directly across from the Town of Likely, general store, hotel. Featuring spacious living room, 3 bedrooms, kitchen, 3 pc bath, l arge deck with a view of the river and one step away to the river. Surrounded by mountains. Year round living or summer. Must be seen to be appreciated.",,"BC Northern","For Sale",,,,,,,,,"2/4/2014","$55,000","$55.11","0.73","3/4/2014","1","3","R2","$75,000",,"393",,"998","0.00","1.74","Williams Lake Rural","$55.11","0.73","House with Acreage"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260322141/0/120/90/901bcff7f33f18c89ae179444b5e4d38/13/7cd2f6b5e7fcc72959cebb6c761f061a/260322141.JPG","N228234","Residential Detached","S","26 HAYS VALE DRIVE","Prince Rupert - City","1973","Manufactured with Land","1",,,,,,"40",,"250-627-6116",,"Prince Rupert (Zone 52)",,,"0","2",,,,"Prince Rupert","Residential Detached",,,"110074",,"Detached",,"6/6/2014",,"JEFF CLARKE","Other","1","$332.00",,,,,"6/6/2013",,,"1",,"009-032-142",,"V8J 3Z1",,"BC","Situated on its own large lot on quiet cul-de-sac overlooking the playground this extensively renovated 2 bedroom home offers new torch-on roof, vinyl windows and siding, 2 decks, 9x12 insulated shed, ample parking, new 200 amp panel and ba seboard heaters, kitchen cabinets, drywall and laminate flooring. The groundwork has been done to accommodate a large deck and an addition for a growing family. Ample storage in the crawl space can be easily accessed through 2 doors. Extra parking may be available for an RV or boat. The seller would also consider the right truck and/or 5th wheel as partial payment.",,"BC Northern","For Sale",,,,"$155.00",,,,,"2/8/2014","$57,500","$70.47","0.97","2/28/2014","1","2","RMH","$59,500",,"247",,"816",,"0.15","Prince Rupert","$70.47","0.79","Manufactured with Land"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260193921/0/120/90/6172564e58409ba878cb2bf512c0b1c8/16/6ff1db8818940b9668f9f544cd36d1a5/260193921.JPG","V1001761","Residential Attached","S","534C 2036 LONDON LANE","Whistler Creek","1999","Apartment/Condo","1",,,,,,"14",,"604-905-8912",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"LEGENDS",,,"Attached",,"4/12/2014",,"LISA ASHCROFT","Concrete Slab","1","$2,959.00",,,,,"4/12/2013",,,"1",,"025-173-936",,"V0N 1B2",,"BC","Own your own piece of Whistler Paradise! This 1 bedroom plus den quartershare is a great way to own your first place in Whistler. Useage includes 1 week per month on rotation basis, with this year 2013 you have 2 weeks at Christmas/New Year s to enjoy or to rent out. Legends features an outdoor heated pool, 2 hot tubs, fitness areas, games & media room, 24 hour front desk/concierge service, A/C, kids club, bike & ski storage & walk out your door to the slopes! Its just a short stroll to Franzs Trail Shops & Alpha Lake Park. Monthly strata fee covers property tax, TW fees & utilities. Call today for more information or to arrange a viewing.","Call Lisa to view 604-905-8912.","Greater Vancouver","For Sale",,,,"$0.00",,,,,"2/7/2014","$59,000","$74.31","0.92","2/11/2014","1","1","CC2","$64,000",,"301",,"794",,"0.00","Whistler","$74.31","0.76","Apartment/Condo"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/258169142/0/120/90/15998b9b28c8a091ba0ba4c1880138e6/13/63b4ee47d0b4441da6d3e63dd2ef0b18/258169142.JPG","N204999","Land Only","S","LOT 2 E 16 HIGHWAY","Valemount - Rural West",,,,,,,,"Road Access",,,"250-566-4438",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"Nearby","7/31/2014",,"JOHN PETERSON",,,"$728.00",,,"Yes",,"9/21/2010","Not Available",,,,"007-748-604",,"V0E 2Z0","Yes - Agricultural Land Reserve","BC","Approximately 13 acres in the vicinity of Tete Jaune. Nicely treed lot with view of Cariboo Mountains. Creek through property.",,"BC Northern","For Sale","None",,"None",,"No",,,"Other","2/6/2014","$62,000",,"0.83","2/17/2014",,,"SH","$75,000",,"1234",,,"0.00","13.74","Prince George Rural",,"0.54","Other"
