"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260112788/0/120/90/e04056123d3695858e1bdbb7304f0133/15/bd1d2fb0954973695b0bf2c86d439953/260112788.JPG","F1305723","Residential Detached","S","74 7850 KING GEORGE BOULEVARD","East Newton","1976","Manufactured","1",,,,,,"37",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"BEAR CREEK GLEN","302961",,"Detached",,"5/31/2014",,"LES WELLMAN","Concrete Block","1","$138.00",,,,,"3/11/2013",,,"1",,"900-565-975",,"V3W 5B2",,"BC","Bear Creek Glen 2 bdrm in 55+ age restricted park, small pets ok. F/S, W/D, D/W, A/C unit and some furniture with wired workshop and huge covered patio all included. Roof redone 1991, HWT 2010, furnace 2010, washer 2010. Nothing to do just move in. Pad rent $743 includes water, sewer, garbage and taxes on the land. Great location in the park. Close to the entrance and clubhouse. Walk to Costco, Superstore, restaurants, banking and more on bus route. Only 10 minutes to KG Skytrain station. Bus stop out front.",,"Fraser Valley","For Sale",,,,,,,,,"5/3/2014","$12,000","$15.63","0.86","5/20/2014","1","2","MHP","$13,900",,"418",,"768","0.00","0.00","Surrey","$15.63","0.55","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260785749/0/120/90/dd1e7888e3af2ac029d6a85359d00042/13/ba97a4cc4099ae7b94549043be13861f/260785749.JPG","N233434","Residential Detached","S","4935 7TH AVENUE","Hazelton","9999","House/Single Family","1",,,,,,"999",,"250-842-8176",,"Smithers And Area (Zone 54)",,,"0","0",,,,"New Hazelton","Residential Detached",,,,,"Detached",,"5/30/2014",,"KELLY MATTSON","Concrete Perimeter","0","$1,473.00",,,,,"2/17/2014",,,"1",,"014-017-172",,"V0J 2J0",,"BC","Court sale two R-1 residential lots located in the District of New Hazelton (house structure is deemed uninhabitable by sellers). Nice location with municipal water, municipal sewer, paved road & mtn views. Property is sold as is , where is and subject to court approval. Call LR for more information and/ or access to property.","Additional PID # 014-015-811.This property is being sold for land value only due to the condition of the improvements. No house measurements taken by listing REALTOR. Property as is where is and. subject to court sale. Call listing REALTOR for more info and/or access to property.","BC Northern","For Sale",,,,,,,,,"5/5/2014","$15,175",,"1.87","5/12/2014","0","0","R-1","$8,100",,"77","120","0","66.00","0.18","New Hazelton",,"1.87","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260885083/0/120/90/9e08b2739875f7b32b05f98e3a1ebeb1/16/866c1ee805b52e584bfd28271554d4a4/260885083.JPG","V1056362","Residential Detached","S","57 40157 GOVERMENT ROAD","Garibaldi Estates","1973","Manufactured","1",,,,,,"41",,"604-815-6826",,"Squamish",,,"0","2",,,,"Squamish","Residential Detached",,"SPIRAL TRAILER COURT","37086",,"Detached",,"10/30/2014",,"NANCI","Other","1","$272.00",,,,,"4/1/2014",,,"1",,"800-084-920",,"V8B 0K8",,"BC","Perfect home for starting out or your weekend getaway home in the Outdoor Recreation Capital of Canada. 2 bedroom mobile home with large detached garage for all the toys! Upgraded electrical, siding, roof, oil tank, hot water tank, some flo oring and appliances. Backs onto designated park. Quiet park in a central location in Garibaldi Estates West. Close to shops, trails, river, and transportation.","Easy to show. Call Nanci for lockbox location and code.","Greater Vancouver","For Sale",,,,,,,,,"4/30/2014","$26,000","$43.33","0.88","4/30/2014","1","2","MHP1","$29,500",,"29",,"600",,"0.00","Dist. of Squamish","$43.33","0.88","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260747431/0/120/90/ced39118948c03dd6db6942c17cc9d61/15/d7ad9e02cffe52a25028ed070ad197c7/260747431.JPG","F1402092","Residential Detached","S","39 2035 MARTENS STREET","Poplar","1975","Manufactured","1",,,,,,"39",,"604-859-2341",,"Abbotsford",,,"0","1",,,,"Abbotsford","Residential Detached",,"Maplewood Estates","043795",,"Detached",,"10/23/2014",,"Susan Pelzer","Other","1","$152.00",,,,,"1/23/2014",,,"1",,"900-569-891",,"V2T 6M4",,"BC","Well maintained, clean mobile in Maplewood Estates. Large living room and extension, nice U-shaped kitchen, large den and masterbedroom. Spacious bathroom has door to master bedroom. The double lot has a 10x10 wired garden shed plus an addition. The 10x20 covered deck offers lovely outdoor living and there is a 10x10 laundry room attached. Quiet peaceful country setting 10 minutes to shopping and easy freeway access. Age restricted 55+ and no pets allowed.","All measurements approximate. Buyer to verify, if important.","Fraser Valley","For Sale",,,,,,,,,"4/30/2014","$30,000","$34.09","0.75","5/13/2014","1","1","MHP","$39,900",,"97",,"880","0.00","0.00","Abbotsford","$34.09","0.75","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260722306/0/120/90/e879f4ffb5795444d6b2ef96b87d7310/13/5520d6748ce1d549029599e7383b9087/260722306.JPG","N232816","Residential Detached","S","14 2963 KLAHANNI DRIVE","Fort Nelson -Town","1976","Manufactured","1",,,,,,"38",,"250-774-7411",,"Fort Nelson (Zone 64)",,,"0","2",,,,"Fort Nelson","Residential Detached",,,"21431",,"Detached",,"7/14/2014",,"SANDY","Other","1","$309.00",,,,,"1/13/2014",,,"1",,"800-082-884",,"V0C 1R0",,"BC","One smart start! Get out of the rent race and build down payment equity on your future home! This established mobile in rural Klahanni Park has had multiple upgrades including roof, siding, most windows, wired & insulated 10'x20' shed, floo ring, paint... You'll be amazed how fast your investment will build cash equity toward your future.",,"BC Northern","For Sale",,,,,,,,,"5/1/2014","$42,000","$47.30","0.88","5/28/2014","1","2","RMH","$47,900",,"108",,"888","0.00","0.00","Fort Nelson","$47.30","0.88","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260352564/0/120/90/f2fc89577d1f68ffef3ed942ec576ce2/14/44b69cc8255365dcf2034af5cbefe951/260352564.JPG","N228694","Land Only","S","DL 9961 SPOKIN LAKE ROAD","Williams Lake - Rural East",,,,,,,,"Road Access",,,"604-491-1060",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"None Available","6/30/2014",,"LINDA OR FREDDY",,,"$333.00",,,"Yes",,"6/21/2013","Not Available",,,,"015-289-737",,"V0K 2G0","Yes - Agricultural Land Reserve","BC","Wildlife right in front of your doorstep! Surrounded by remote wilderness in the Cariboo Region. These 80 acres are great for a private cabin/hobby ranch or hunting property. Great investment opportunity for the long term investor. Call for an information package today!","Buyer to verify measurements if deemed important.","BC Northern","For Sale","None",,"None",,"No",,,"None","5/4/2014","$42,250",,"0.72","5/15/2014",,,"R/A","$59,000",,"317",,,"0.00","80.00","Williams Lake Rural",,"0.61","Other"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260874124/0/120/90/da3d22e8855be945877746d5a34484a1/14/c02ee1bf307b6f71082a1439986b789f/260874124.JPG","H1401172","Residential Detached","S","37 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","1977","Manufactured","1",,,,,,"37",,"604-858-7179",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"Chilliwack River Estates","401845",,"Detached",,"9/1/2014",,"Mark","Concrete Slab","1","$194.00",,,,,"3/31/2014",,,"1",,"746-484-315",,"V2R 3R8",,"BC","World Class fishing, close to nature and just minutes from shopping, what more could you ask for. This well cared for home, in a adult oriented community is waiting for you. Featuring 980 sqft of comfortable living space, with a large, part ially covered patio and an attached work shop. There have been some upgrades within the past 10-years to this 2-bedroom home, such a newer wood pellet stove, propane furnace, renovated bathroom, newer windows, and much more. Neat, clean and ready for immediate possession...You will love getting back closer to nature. Small pets are welcome, pad rental is only $412.00 per month. Call today to have a look.","CSA # 401845 SER. # 75BBGO 8049 MODEL MO70 M.H. REG # 24854 MHP ROLL # 15-733-01 248.400","Chilliwack","For Sale",,,,,,,,,"5/1/2014","$48,000","$48.98","0.98","5/20/2014","1","2","RMH","$49,000",,"31","0","980","0.00","0.00","Chilliwack","$48.98","0.98","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260509214/0/120/90/27c40f8247f65ffb1cd7bf9ddd38b9cc/13/3a09263fcd156b14cb2f403f05f44c83/260509214.JPG","N230686","Land Only","S","S CANIM-MAHOOD ROAD","Canim/Mahood Lake",,,,,,,,"Road Access",,,"250-395-6196",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Canim Lake","Land",,,,"No",,"Available","9/5/2014",,"DAVE HICKEY",,,"$406.00",,,"Yes",,"9/5/2013","Not Available",,,,"013-317-971",,"V0K 1J0","Yes - Agricultural Land Reserve","BC","Waterfront acreage. Private setting nestled in the trees, facing south over 330 feet of your own waterfront! Roserim is a clear, quiet fishing lake a little over 2 km lon g. Property drops quickly down from the road to a gently rolling and nicely treed acreage by the lake. Canoe, boat, fish, or just enjoy your tranquil, natural setting. Imagine your cottage by the lake here. Call for your lot drawing and let's go have a look! L6643",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/30/2014","$54,500",,"0.92","5/5/2014",,,"RR1","$59,500",,"237",,,"0.00","1.64","Williams Lake Rural",,"0.81","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260491116/0/120/90/4ad2ce6ab58e57f6301ed497b0b1a0b1/15/322312aa8c0174b5081d7c61d7661330/260491116.JPG","H1303360","Land Only","S","26543 APOSTOLIC WAY","Hope Center",,,,,,,,"Road Access",,,,,"Hope",,,,,"No","Not Available",,"Hope","Land",,"DOGWOOD VALLEY",,"No",,"At Lot Line","8/28/2014",,"TOUCHBASE",,,"$1,117.00",,,"No",,"8/26/2013","Not Available",,,,"024-044-962","House/Single Family","V0X 1L3","No","BC","Serene Dogwood Valley is a small rural 22 lot community located in the picturesque Fraser Canyon only mins from Hope & approx 1.75 hours from Vancouver. This treed, 130 ft X 198 ft flat .591 acre lot with a paved road frontage & R-1 zoning is ideal for a log, family, recreation or modular home. Great price, seller may consider a building contract...hurry!","Bare land so no appt necessary. Feel free to walk about. Email or fax offers to 604-676-2800.","Chilliwack","For Sale","Septic",,"At Lot Line",,"No",,,"Community","4/30/2014","$60,000","$2.33","0.86","5/12/2014",,,"R1","$69,898",,"247","198/.591 AC",,"130.00","0.59","Chilliwack","$2.33","0.86","House/Single Family"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260687009/0/120/90/9649398944301ed5ae11fb937f10849a/16/2de6c0f3f204acf5f743f3e0ce98c445/260687009.JPG","F1327003","Residential Detached","S","83 1840 160 STREET","Sunnyside Park Surrey","1975","Manufactured","1",,,,,,"38",,"604-530-6090",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,,"254132",,"Detached",,"12/7/2014",,"Carol DeBoer","Concrete Block","1","$286.00",,,,,"12/7/2013",,,"1",,"900-569-535",,"V2Z 4X4",,"BC","Completely renovated 2 bedroom home in Breakaway Bays. This home shines with new laminate flooring, 2 ceiling fans, wall to wall closet organizer, marble vanity, jetted bath tub, and new appliances. All windows are security linked double glazed. You are welcomed from the main deck with the glass front door, with another deck to enjoy as well, looking at the manicured garden year round. Your pad rent includes water, sewer, garbage, electricity, taxes on land, clubhouse, library, computer room, pool, exercise room & activity center, show 10 out of 10. A pleasure to show!","OPEN HOUSE SATURDAY MARCH 15 1:00 to 4:00 pm.","Fraser Valley","For Sale",,,,,,,,,"4/30/2014","$62,800","$76.59","0.97","6/5/2014","1","2","MHP","$65,000",,"144",,"820","0.00","0.00","Surrey","$76.59","0.86","Manufactured"
